,TimeFrame 1,TimeFrame2,Equity,Nbre Winners,Nbre Loosers,Average lenght of trade,Cumul pnl
EUR/USD,m30,H1,200742.5,5,5,15.6,742.5000000000126
GBP/USD,m30,H1,202195.5,7,2,25.88,1453.000000000004
EUR/GBP,m30,H1,202163.95,6,11,15.62,-31.550000000000026
EUR/JPY,m30,H1,201768.64,4,9,18.83,-395.30999999999995
GBP/JPY,m30,H1,202197.3,8,9,11.27,428.66
EUR/AUD,m30,H1,202971.29,8,8,23.27,773.9899999999999
EUR/CAD,m30,H1,203359.76,10,10,17.67,388.46999999999986
AUD/JPY,m30,H1,203697.1,5,5,13,337.34
CAD/JPY,m30,H1,203569.52,7,12,21.69,-127.57999999999994
NZD/JPY,m30,H1,203287.27,7,17,9.84,-282.25
GBP/CAD,m30,H1,204833.88,11,12,11.95,1546.61
GBP/AUD,m30,H1,205771.29,6,4,19.67,937.4100000000001
AUD/NZD,m30,H1,205907.67,7,10,20.87,136.38000000000005
EUR/SEK,m30,H1,205123.6,5,16,20.67,-784.0699999999999
EUR/NZD,m30,H1,206080.6,7,6,18.17,957.0000000000002
