,TimeFrame 1,TimeFrame2,Equity,Nbre Winners,Nbre Loosers,Average lenght of trade,Cumul pnl
EUR/USD,m30,H1,201485.0,5,5,15.6,742.5000000000126
USD/JPY,m30,H1,200918.35,3,12,34.77,-566.65
GBP/USD,m30,H1,202371.35,7,2,25.88,1453.000000000004
AUD/USD,m30,H1,201639.35,4,10,8.73,-732.0000000000105
USD/CAD,m30,H1,201467.55,4,10,30.25,-171.80000000000004
NZD/USD,m30,H1,201089.55,5,9,9.09,-378.00000000000614
EUR/GBP,m30,H1,201058.0,6,11,15.62,-31.54999999999997
EUR/JPY,m30,H1,200662.69,4,9,18.83,-395.31000000000006
GBP/JPY,m30,H1,201091.43,8,9,11.27,428.73999999999995
EUR/AUD,m30,H1,201865.44,8,8,23.27,774.01
EUR/CAD,m30,H1,202253.92,10,10,17.67,388.47999999999985
AUD/CAD,m30,H1,201805.63,4,14,11.67,-448.2900000000001
AUD/JPY,m30,H1,202143.06,5,5,13,337.43
CAD/JPY,m30,H1,202015.44,7,12,21.69,-127.61999999999996
NZD/JPY,m30,H1,201733.16,7,17,9.84,-282.28000000000003
GBP/CAD,m30,H1,203279.95,11,12,11.95,1546.7899999999997
GBP/NZD,m30,H1,202523.28,5,10,6.62,-756.6700000000003
GBP/AUD,m30,H1,203460.89,6,4,19.67,937.6100000000001
AUD/NZD,m30,H1,203597.28,7,10,20.87,136.38999999999996
USD/SEK,m30,H1,202946.43,2,9,9,-650.85
EUR/SEK,m30,H1,202163.51,5,16,20.67,-782.9200000000001
EUR/NZD,m30,H1,203120.53,7,6,18.17,957.0200000000002
