,Date,Compte,Ticker,Type,Quantité,Exposition,Latent PnL
49,2020-01-09,DU1507430,GS,Stock,-172.0,-39747.48,-1093.9199999999987
50,2020-01-10,DU1507430,PXD,Stock,66.0,10152.780000000002,-235.61999999999958
51,2020-01-10,DU1507430,HRB,Stock,-3432.0,-79999.92,-630.6300000000041
52,2019-12-31,DU1507430,LRCX,Stock,34.0,9918.14,23.459999999999923
53,2020-01-10,DU1507430,CAG,Stock,-922.0,-30575.84,-344.42000000000115
54,2020-01-08,DU1507430,CVX,Stock,-504.0,-60278.4,-227.64000000000422
55,2020-01-10,DU1507430,HES,Stock,-27.0,-270.27000000000044,-1929.8100000000045
56,2020-01-10,DU1507430,RTN,Stock,-270.0,-61103.7,-252.4499999999993
57,2020-01-10,DU1507430,GS,Stock,-215.0,-49684.35000000001,-1567.7799999999993
58,2020-01-10,DU1507430,PXD,Stock,264.0,39981.48,-828.9599999999982
59,2020-01-10,DU1507430,HRB,Stock,-4290.0,-99999.90000000001,-973.8300000000042
60,2019-12-31,DU1507430,LRCX,Stock,34.0,9918.14,23.459999999999923
61,2020-01-10,DU1507430,CAG,Stock,-1550.0,-50690.68,-281.6200000000001
62,2020-01-13,DU1507430,CVX,Stock,-590.0,-70293.1,-245.7000000000037
63,2020-01-10,DU1507430,HES,Stock,114.0,9742.14,-2282.3100000000045
64,2020-01-10,DU1507430,RTN,Stock,-360.0,-81471.6,-297.89999999999895
65,2020-01-10,DU1507430,GS,Stock,-301.0,-69558.09000000001,-2648.8
