,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,80.88,79.17
1,AAL,American Airlines Gp,Industrials,76.39,83.93
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,90.16,93.75
3,ABC,Amerisourcebergen Corp,Health Care,87.5,75.76
4,ADI,Analog Devices,Information Technology,76.83,75.93
5,ADM,Archer Daniels Midland,Consumer Staples,100.0,83.78
6,ADP,Automatic Data Procs,Information Technology,69.01,100.0
7,ADSK,Autodesk Inc,Information Technology,78.87,86.96
8,AEE,Ameren Corp,Utilities,91.3,100.0
9,AES,The Aes Corp,Utilities,77.36,100.0
10,AFL,Aflac Incorporated,Financials,72.22,95.65
11,AGN,Allergan Plc,Health Care,70.83,81.82
12,AIG,American International Group,Financials,97.44,83.33
13,AIV,Apartment Investment and Management,Real Estate,82.35,72.22
14,AKAM,Akamai Technologies,Information Technology,80.3,70.37
15,ALB,Albemarle Corp,Materials,83.05,79.03
16,ALK,Alaska Air Group,Industrials,98.08,76.67
17,ALLE,Allegion Plc,Industrials,74.63,85.37
18,ALXN,Alexion Pharm Inc,Health Care,88.52,78.82
19,AMAT,Applied Materials,Information Technology,73.49,93.02
20,AMD,Adv Micro Devices,Information Technology,88.89,74.55
21,AMGN,Amgen Inc,Health Care,72.41,72.97
22,AMP,Ameriprise Financial Services,Financials,94.23,76.79
23,AMZN,Amazon.com Inc,Consumer Discretionary,82.14,86.67
24,ANET,Arista Networks Inc,None,76.0,89.47
25,ANSS,Ansys Inc,Information Technology,83.78,95.24
26,ANTM,Anthem Inc,Health Care,82.35,84.78
27,AON,AON Plc,Financials,86.05,75.0
28,AOS,Smith [A.O.] Corp,Industrials,80.43,84.78
29,APA,Apache Corp,Energy,85.29,92.5
30,APH,Amphenol Corp,Information Technology,95.35,82.5
31,APTV,Aptiv Plc,Consumer Discretionary,70.93,86.67
32,ARNC,Arconic Inc,Industrials,94.87,94.74
33,ATO,Atmos Energy Corp,None,84.38,76.92
34,ATVI,Activision Blizzard,Information Technology,85.71,100.0
35,AVB,Avalonbay Communities,Real Estate,100.0,96.77
36,AVGO,Broadcom Ltd,Information Technology,100.0,86.84
37,AVY,Avery Dennison Corp,Materials,83.72,78.05
38,AWK,American Water Works,Utilities,88.24,70.45
39,AXP,American Express Company,Financials,71.88,95.24
40,AZO,Autozone,Consumer Discretionary,72.88,81.82
41,BA,Boeing Company,Industrials,89.8,72.15
42,BAC,Bank of America Corp,Financials,76.92,72.5
43,BBT,BB&T Corp,Financials,95.24,79.07
44,BBY,Best Buy CO,Consumer Discretionary,90.48,73.02
45,BDX,Becton Dickinson and Company,Health Care,88.0,77.08
46,BEN,Franklin Resources,Financials,69.7,74.58
47,BIIB,Biogen Inc,Health Care,70.83,86.05
48,BK,Bank of New York Mellon Corp,Financials,86.21,95.65
49,BKNG,Booking Holdings Inc,Consumer Discretionary,80.3,94.29
50,BLL,Ball Corp,Materials,75.0,84.21
51,BSX,Boston Scientific Corp,Health Care,74.65,78.57
52,BWA,Borgwarner Inc,Consumer Discretionary,76.54,78.95
53,BXP,Boston Properties,Real Estate,78.12,96.55
54,C,Citigroup Inc,Financials,95.83,95.0
55,CAG,Conagra Brands Inc,Consumer Staples,97.5,84.62
56,CAH,Cardinal Health,Health Care,94.34,91.67
57,CB,Chubb Ltd,Financials,77.78,73.47
58,CBOE,CBOE Global Markets Inc,Financials,84.0,81.58
59,CBRE,CBRE Group Inc,Real Estate,81.63,69.77
60,CBS,CBS Corp,Consumer Discretionary,76.09,100.0
61,CCI,Crown Castle International Corp,Real Estate,86.49,83.87
62,CCL,Carnival Corp,Consumer Discretionary,81.25,96.15
63,CDNS,Cadence Design Sys,Information Technology,90.91,71.43
64,CE,Celanese Corp,None,97.5,76.6
65,CELG,Celgene Corp,Health Care,78.95,78.57
66,CERN,Cerner Corp,Health Care,84.75,96.67
67,CFG,Citizens Financial Group Inc/Ri,Financials,94.74,74.19
68,CHD,Church & Dwight Company,Consumer Staples,100.0,100.0
69,CHRW,C.H. Robinson Ww,Industrials,80.0,94.0
70,CHTR,Charter Communicatio,Consumer Discretionary,71.23,93.75
71,CI,Cigna Corp,Health Care,92.75,85.71
72,CL,Colgate-Palmolive Company,Consumer Staples,80.0,93.1
73,CLX,Clorox Company,Consumer Staples,76.27,82.76
74,CMA,Comerica Inc,Financials,74.24,82.69
75,CMG,Chipotle Mexican Grill,Consumer Discretionary,79.66,69.05
76,CNC,Centene Corp,Health Care,76.39,83.05
77,COF,Capital One Financial Corp,Financials,84.29,84.62
78,COG,Cabot Oil & Gas Corp,Energy,90.48,90.7
79,COO,Cooper Companies,Health Care,69.74,82.14
80,COP,Conocophillips,Energy,80.95,74.14
81,COTY,Coty Inc,Consumer Staples,72.73,89.29
82,CPB,Campbell Soup Company,Consumer Staples,76.27,87.5
83,CPRI,Capri Holdings Ltd,None,69.23,97.22
84,CRM,Salesforce.com Inc,Information Technology,75.38,76.27
85,CSCO,Cisco Systems Inc,Information Technology,77.27,93.1
86,CSX,CSX Corp,Industrials,81.36,88.0
87,CTSH,Cognizant Tech Sol,Information Technology,97.56,90.0
88,CVS,CVS Corp,Consumer Staples,69.86,82.35
89,CVX,Chevron Corp,Energy,96.0,90.7
90,CXO,Concho Resources Inc,Energy,77.78,92.31
91,D,Dominion Resources,Utilities,84.91,100.0
92,DAL,Delta Air Lines Inc,Industrials,88.64,77.5
93,DD,Du Pont De.Nemours Inc,None,91.67,79.71
94,DE,Deere & Company,Industrials,70.13,88.37
95,DFS,Discover Financial Services,Financials,93.94,91.18
96,DGX,Quest Diagnostics Inc,Health Care,70.51,88.1
97,DHI,D.R. Horton,Consumer Discretionary,97.56,79.66
98,DIS,Walt Disney Company,Consumer Discretionary,90.32,100.0
99,DISCA,Discovery Comm A,Consumer Discretionary,97.5,93.62
100,DISCK,Discovery Comm Inc,Consumer Discretionary,96.88,72.88
101,DISH,Dish Network Corp,Consumer Discretionary,80.7,70.37
102,DLR,Digital Realty Trust,Real Estate,78.43,94.74
103,DLTR,Dollar Tree Inc,Consumer Discretionary,75.32,100.0
104,DOV,Dover Corp,Industrials,96.97,74.36
105,DRI,Darden Restaurants,Consumer Discretionary,91.49,100.0
106,DTE,Dte Energy Company,Utilities,95.0,100.0
107,DUK,Duke Energy Corp,Utilities,100.0,90.48
108,DVA,Davita Healthcare Partners Inc,Health Care,94.55,90.24
109,EA,Electronic Arts Inc,Information Technology,97.78,88.46
110,EBAY,Ebay Inc,Information Technology,93.55,97.06
111,ED,Consolidated Edison Company of New York,Utilities,91.43,79.41
112,EFX,Equifax Inc,Industrials,97.67,100.0
113,EIX,Edison International,Utilities,69.14,90.24
114,EL,Estee Lauder Companies,Consumer Staples,100.0,85.0
115,EMN,Eastman Chemical Company,Materials,80.0,70.42
116,EMR,Emerson Electric Company,Industrials,85.94,77.59
117,EOG,Eog Resources,Energy,69.33,93.75
118,EQIX,Equinix Inc,Real Estate,77.46,82.22
119,EQR,Equity Residential,Real Estate,70.0,100.0
120,ESS,Essex Property Trust,Real Estate,76.67,95.0
121,ETFC,E*Trade Finl Corp,Financials,85.94,73.47
122,ETN,Eaton Corp,Industrials,100.0,78.12
123,ETR,Entergy Corp,Utilities,100.0,100.0
124,EVRG,Evergy Inc,None,81.25,70.37
125,EW,Edwards Lifesciences Corp,Health Care,71.64,91.67
126,EXC,Exelon Corp,Utilities,100.0,72.34
127,EXPD,Expeditors Intl,Industrials,71.43,87.23
128,EXPE,Expedia Group Inc,Consumer Discretionary,92.68,95.45
129,EXR,Extra Space Storage Inc,Real Estate,69.77,90.91
130,F,Ford Motor Company,Consumer Discretionary,97.14,100.0
131,FANG,Diamondback Energy,None,84.72,81.97
132,FAST,Fastenal Company,Industrials,77.08,75.0
133,FB,Facebook Inc,Information Technology,87.3,87.5
134,FBHS,Fortune Brands Home & Security,Industrials,75.95,96.43
