,Symb.,Name,Sector,Precision_up,Precision_down
0,AAL,American Airlines Gp,Industrials,78.85,79.49
1,AAP,Advance Auto Parts Inc,Consumer Discretionary,91.3,100.0
2,ABC,Amerisourcebergen Corp,Health Care,74.68,69.44
3,ADSK,Autodesk Inc,Information Technology,71.93,71.11
4,AIG,American International Group,Financials,100.0,96.67
5,AKAM,Akamai Technologies,Information Technology,79.03,89.47
6,ALK,Alaska Air Group,Industrials,92.16,71.19
7,ALXN,Alexion Pharm Inc,Health Care,84.38,84.38
8,AMP,Ameriprise Financial Services,Financials,79.03,70.37
9,ANET,Arista Networks Inc,None,75.0,83.33
10,APTV,Aptiv Plc,Consumer Discretionary,75.76,76.74
11,ARNC,Arconic Inc,Industrials,82.14,72.0
12,ATVI,Activision Blizzard,Information Technology,70.67,100.0
13,AVGO,Broadcom Ltd,Information Technology,95.24,90.48
14,BDX,Becton Dickinson and Company,Health Care,87.04,72.55
15,BIIB,Biogen Inc,Health Care,69.51,73.68
16,BK,Bank of New York Mellon Corp,Financials,76.27,85.71
17,BLK,Blackrock,Financials,75.81,74.51
18,BWA,Borgwarner Inc,Consumer Discretionary,74.63,72.88
19,BXP,Boston Properties,Real Estate,69.35,83.72
20,C,Citigroup Inc,Financials,92.68,88.57
21,CAG,Conagra Brands Inc,Consumer Staples,93.88,70.42
22,CAH,Cardinal Health,Health Care,72.41,69.09
23,CB,Chubb Ltd,Financials,78.38,73.33
24,CBRE,CBRE Group Inc,Real Estate,75.0,71.88
25,CBS,CBS Corp,Consumer Discretionary,70.0,84.38
26,CCL,Carnival Corp,Consumer Discretionary,72.22,90.91
27,CERN,Cerner Corp,Health Care,78.33,83.33
28,CHD,Church & Dwight Company,Consumer Staples,73.08,72.73
29,CHRW,C.H. Robinson Ww,Industrials,90.0,82.98
30,CI,Cigna Corp,Health Care,90.57,84.09
31,CINF,Cincinnati Financial,Financials,88.57,80.0
32,CL,Colgate-Palmolive Company,Consumer Staples,77.78,95.0
33,CMA,Comerica Inc,Financials,87.5,81.82
34,CNC,Centene Corp,Health Care,71.43,72.22
35,COG,Cabot Oil & Gas Corp,Energy,93.75,83.87
36,COP,Conocophillips,Energy,82.35,90.0
37,CPB,Campbell Soup Company,Consumer Staples,76.67,70.59
38,CPRI,Capri Holdings Ltd,None,70.27,88.89
39,CTSH,Cognizant Tech Sol,Information Technology,80.43,74.29
40,CVX,Chevron Corp,Energy,92.0,77.36
41,CXO,Concho Resources Inc,Energy,85.71,91.67
42,D,Dominion Resources,Utilities,87.1,100.0
43,DE,Deere & Company,Industrials,72.88,73.68
44,DFS,Discover Financial Services,Financials,83.33,71.43
45,DGX,Quest Diagnostics Inc,Health Care,83.78,72.73
46,DIS,Walt Disney Company,Consumer Discretionary,71.15,85.0
47,DISCA,Discovery Comm A,Consumer Discretionary,90.32,91.18
48,DISCK,Discovery Comm Inc,Consumer Discretionary,80.56,89.47
49,DLR,Digital Realty Trust,Real Estate,76.6,76.92
50,DLTR,Dollar Tree Inc,Consumer Discretionary,72.6,94.59
51,DRI,Darden Restaurants,Consumer Discretionary,80.0,92.31
52,DTE,Dte Energy Company,Utilities,74.07,69.23
53,DUK,Duke Energy Corp,Utilities,76.19,89.47
54,DVA,Davita Healthcare Partners Inc,Health Care,89.36,78.0
55,EA,Electronic Arts Inc,Information Technology,73.13,76.0
56,EBAY,Ebay Inc,Information Technology,82.35,94.12
57,EFX,Equifax Inc,Industrials,97.14,100.0
58,EIX,Edison International,Utilities,69.62,75.0
59,EOG,Eog Resources,Energy,72.58,95.65
60,EQIX,Equinix Inc,Real Estate,72.22,75.61
61,EQR,Equity Residential,Real Estate,77.14,100.0
62,ETN,Eaton Corp,Industrials,100.0,75.0
63,ETR,Entergy Corp,Utilities,93.33,100.0
64,EVRG,Evergy Inc,None,100.0,90.0
65,EXPE,Expedia Group Inc,Consumer Discretionary,72.73,70.0
66,EXR,Extra Space Storage Inc,Real Estate,88.24,71.88
67,F,Ford Motor Company,Consumer Discretionary,74.07,75.0
68,FANG,Diamondback Energy,None,78.38,79.37
69,FAST,Fastenal Company,Industrials,70.21,70.97
70,FB,Facebook Inc,Information Technology,71.62,90.91
71,FBHS,Fortune Brands Home & Security,Industrials,100.0,100.0
72,FCX,Freeport-Mcmoran Inc,Materials,69.49,80.0
73,FFIV,F5 Networks Inc,Information Technology,78.72,96.43
74,FLS,Flowserve Corp,Industrials,74.65,76.27
75,FLT,Fleetcor Technologies,None,88.0,91.67
76,FRT,Federal Realty Investment Trust,Real Estate,75.0,73.33
77,FTI,Technipfmc Plc,Energy,81.03,84.62
78,FTV,Fortive Corp,Industrials,70.18,70.59
79,GILD,Gilead Sciences Inc,Health Care,81.97,80.85
80,GIS,General Mills,Consumer Staples,81.25,93.1
81,GM,General Motors Company,Consumer Discretionary,87.8,74.0
82,GOOG,Alphabet Cl C,Information Technology,75.41,90.0
83,GOOGL,Alphabet Cl A,Information Technology,78.0,80.0
84,GPC,Genuine Parts Company,Consumer Discretionary,77.78,90.91
85,GPS,Gap Inc,Consumer Discretionary,82.86,70.0
86,GS,Goldman Sachs Group,Financials,96.43,75.76
87,HAS,Hasbro Inc,Consumer Discretionary,73.97,86.49
88,HCA,Hca Holdings Inc,Health Care,88.24,100.0
89,HCP,HCP Inc,Real Estate,78.95,76.19
90,HES,Hess Corp,Energy,97.44,82.86
91,HIG,Hartford Financial Services Group,Financials,79.49,87.5
92,HII,Huntington Ingalls Industries,Industrials,100.0,96.67
93,HOG,Harley-Davidson Inc,Consumer Discretionary,93.55,89.29
94,HP,Helmerich & Payne,Energy,69.35,80.7
