,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,81.82,81.82
1,AAL,American Airlines Gp,Industrials,75.47,75.56
2,AAPL,Apple Inc,Information Technology,71.43,100.0
3,ABC,Amerisourcebergen Corp,Health Care,87.88,74.19
4,ABMD,Abiomed Inc,None,76.6,88.89
5,ABT,Abbott Laboratories,Health Care,77.27,100.0
6,ADI,Analog Devices,Information Technology,70.97,95.45
7,ADM,Archer Daniels Midland,Consumer Staples,74.07,84.62
8,ADP,Automatic Data Procs,Information Technology,95.45,75.0
9,AES,The Aes Corp,Utilities,97.92,86.67
10,AGN,Allergan Plc,Health Care,73.08,73.21
11,AIG,American International Group,Financials,92.31,71.43
12,AIV,Apartment Investment and Management,Real Estate,82.35,71.79
13,AIZ,Assurant Inc,Financials,82.35,70.59
14,ALK,Alaska Air Group,Industrials,76.67,84.62
15,ALLE,Allegion Plc,Industrials,72.73,100.0
16,ALXN,Alexion Pharm Inc,Health Care,90.91,95.74
17,AMCR,Amcor Plc,None,96.15,100.0
18,AMD,Adv Micro Devices,Information Technology,81.13,87.27
19,AME,Amtek Inc,Industrials,82.86,91.67
20,AMG,Affiliated Managers Group,Financials,100.0,100.0
21,AMP,Ameriprise Financial Services,Financials,94.44,75.0
22,AMT,American Tower Corp,Real Estate,100.0,100.0
23,ANTM,Anthem Inc,Health Care,100.0,100.0
24,APA,Apache Corp,Energy,81.08,71.15
25,APH,Amphenol Corp,Information Technology,100.0,100.0
26,APTV,Aptiv Plc,Consumer Discretionary,92.31,100.0
27,ARE,Alexandria Real Estate Equities,Real Estate,73.08,83.33
28,ARNC,Arconic Inc,Industrials,90.0,88.46
29,ATO,Atmos Energy Corp,None,84.62,90.0
30,AVB,Avalonbay Communities,Real Estate,90.0,85.71
31,AXP,American Express Company,Financials,100.0,70.0
32,BA,Boeing Company,Industrials,81.82,100.0
33,BDX,Becton Dickinson and Company,Health Care,69.23,70.27
34,BHGE,Baker Hughes A Ge Co. Cl A,Energy,75.0,77.78
35,BIIB,Biogen Inc,Health Care,88.89,73.53
36,BLK,Blackrock,Financials,85.19,100.0
37,BLL,Ball Corp,Materials,78.57,88.89
38,BMY,Bristol-Myers Squibb Company,Health Care,85.29,86.67
39,BXP,Boston Properties,Real Estate,84.62,78.95
40,CAG,Conagra Brands Inc,Consumer Staples,72.22,100.0
41,CAT,Caterpillar Inc,Industrials,100.0,100.0
42,CBS,CBS Corp,Consumer Discretionary,69.57,95.83
43,CCI,Crown Castle International Corp,Real Estate,69.23,100.0
44,CCL,Carnival Corp,Consumer Discretionary,80.0,78.95
45,CDNS,Cadence Design Sys,Information Technology,86.36,77.78
46,CE,Celanese Corp,None,88.89,84.21
47,CELG,Celgene Corp,Health Care,79.07,75.76
48,CERN,Cerner Corp,Health Care,87.5,78.57
49,CFG,Citizens Financial Group Inc/Ri,Financials,93.75,94.12
50,CHD,Church & Dwight Company,Consumer Staples,81.48,100.0
51,CHRW,C.H. Robinson Ww,Industrials,82.76,80.0
52,CHTR,Charter Communicatio,Consumer Discretionary,81.25,100.0
53,CI,Cigna Corp,Health Care,92.31,100.0
54,CL,Colgate-Palmolive Company,Consumer Staples,90.48,90.0
55,CLX,Clorox Company,Consumer Staples,77.78,100.0
56,CMG,Chipotle Mexican Grill,Consumer Discretionary,71.43,88.89
57,CMS,Cms Energy Corp,Utilities,81.25,92.31
58,CNC,Centene Corp,Health Care,93.75,94.12
59,COO,Cooper Companies,Health Care,85.71,82.05
60,COST,Costco Wholesale,Consumer Staples,100.0,73.91
61,COTY,Coty Inc,Consumer Staples,94.74,69.57
62,CPB,Campbell Soup Company,Consumer Staples,91.67,93.75
63,CRM,Salesforce.com Inc,Information Technology,83.33,100.0
64,CTL,Centurylink,Telecommunication Services,92.31,84.38
65,CTXS,Citrix Systems Inc,Information Technology,100.0,77.27
66,CVS,CVS Corp,Consumer Staples,77.27,87.5
67,D,Dominion Resources,Utilities,100.0,76.92
68,DAL,Delta Air Lines Inc,Industrials,94.44,78.38
69,DD,Du Pont De.Nemours Inc,None,72.73,85.71
70,DFS,Discover Financial Services,Financials,100.0,78.95
71,DG,Dollar General Corp,Consumer Discretionary,100.0,90.91
72,DHI,D.R. Horton,Consumer Discretionary,94.29,100.0
73,DIS,Walt Disney Company,Consumer Discretionary,86.96,96.15
74,DISCK,Discovery Comm Inc,Consumer Discretionary,75.0,81.82
75,DLR,Digital Realty Trust,Real Estate,85.19,80.95
76,DLTR,Dollar Tree Inc,Consumer Discretionary,70.45,72.73
77,DOV,Dover Corp,Industrials,85.71,100.0
78,DUK,Duke Energy Corp,Utilities,81.82,100.0
79,EBAY,Ebay Inc,Information Technology,70.59,83.33
80,ECL,Ecolab Inc,Materials,90.0,100.0
81,ED,Consolidated Edison Company of New York,Utilities,76.19,86.67
82,EFX,Equifax Inc,Industrials,80.0,94.85
83,EIX,Edison International,Utilities,100.0,69.7
84,EMN,Eastman Chemical Company,Materials,79.31,100.0
85,EQR,Equity Residential,Real Estate,72.22,100.0
86,ESS,Essex Property Trust,Real Estate,94.12,100.0
87,ETN,Eaton Corp,Industrials,80.0,72.22
88,ETR,Entergy Corp,Utilities,70.27,85.71
89,EVRG,Evergy Inc,None,73.08,75.0
90,EW,Edwards Lifesciences Corp,Health Care,100.0,90.91
91,EXPE,Expedia Group Inc,Consumer Discretionary,72.09,89.29
92,EXR,Extra Space Storage Inc,Real Estate,74.29,93.75
93,F,Ford Motor Company,Consumer Discretionary,100.0,85.71
94,FANG,Diamondback Energy,None,72.34,83.33
95,FAST,Fastenal Company,Industrials,82.93,76.32
96,FBHS,Fortune Brands Home & Security,Industrials,69.7,85.71
97,FCX,Freeport-Mcmoran Inc,Materials,77.27,75.44
98,FDX,Fedex Corp,Industrials,79.17,87.5
99,FFIV,F5 Networks Inc,Information Technology,87.5,75.0
100,FISV,Fiserv Inc,Information Technology,72.73,100.0
101,FLIR,Flir Systems Inc,Information Technology,86.96,94.74
102,FLT,Fleetcor Technologies,None,87.5,87.5
103,FRT,Federal Realty Investment Trust,Real Estate,81.58,75.61
104,FTI,Technipfmc Plc,Energy,69.39,100.0
105,FTNT,Fortinet Inc,None,78.05,84.21
106,FTV,Fortive Corp,Industrials,100.0,100.0
107,GILD,Gilead Sciences Inc,Health Care,93.75,89.29
108,GIS,General Mills,Consumer Staples,77.78,75.0
109,GL,Globe Life Inc.,None,72.73,71.43
110,GM,General Motors Company,Consumer Discretionary,85.19,100.0
111,GPC,Genuine Parts Company,Consumer Discretionary,81.25,85.71
112,GPS,Gap Inc,Consumer Discretionary,95.65,86.36
113,GS,Goldman Sachs Group,Financials,80.65,73.91
114,HAL,Halliburton Company,Energy,88.89,94.74
115,HAS,Hasbro Inc,Consumer Discretionary,71.43,100.0
116,HBAN,Huntington Bcshs,Financials,78.57,71.74
117,HCA,Hca Holdings Inc,Health Care,82.05,89.74
118,HES,Hess Corp,Energy,90.7,84.0
119,HFC,Hollyfrontier Corp,None,84.62,71.88
120,HII,Huntington Ingalls Industries,Industrials,88.24,78.57
121,HOG,Harley-Davidson Inc,Consumer Discretionary,100.0,88.78
122,HOLX,Hologic Inc,Health Care,93.33,85.42
123,HON,Honeywell International Inc,Industrials,82.35,100.0
124,HP,Helmerich & Payne,Energy,92.11,70.37
125,HRL,Hormel Foods Corp,Consumer Staples,80.0,100.0
126,HSIC,Henry Schein Inc,Health Care,71.88,69.05
127,HST,Host Marriott Financial Trust,Real Estate,90.48,75.86
128,ICE,Intercontinental Exchange,Financials,95.0,75.0
129,IDXX,Idexx Laboratories,Health Care,100.0,83.87
130,IFF,International Flavors & Fragrances,Materials,69.23,85.0
131,ILMN,Illumina Inc,Health Care,92.31,94.74
132,INCY,Incyte Corp,Health Care,73.91,88.64
133,INTU,Intuit Inc,Information Technology,76.92,75.0
134,IPG,Interpublic Group of Companies,Consumer Discretionary,72.73,90.24
