,Date du Relevé,Compte,Type,Ticker,Quantité,Average Cost,Exposition,Date,Close,Latent PnL
0,2019-12-27,DU1507426,Stock,JNPR,-412.0,24.33,-10023.96,2019-12-26,24.49,-65.92000000000007
1,2019-12-27,DU1507426,Stock,MXIM,-163.0,61.16,-9969.08,2019-12-26,61.69,-86.39000000000019
2,2019-12-27,DU1507426,Stock,GPC,-95.0,105.49,-10021.55,2019-12-26,106.0,-48.45000000000049
3,2019-12-27,DU1507426,Stock,KEY,-492.0,20.31,-9992.52,2019-12-26,20.37,-29.520000000001122
4,2019-12-27,DU1507426,Stock,WDC,-161.0,62.11,-9999.71,2019-12-26,62.8,-111.08999999999963
5,2019-12-27,DU1507426,Stock,C,-127.0,78.7,-9994.9,2019-12-26,79.83,-143.50999999999942
6,2019-12-27,DU1507426,Stock,CXO,-117.0,85.82,-10040.94,2019-12-26,86.06,-28.080000000001068
7,2019-12-27,DU1507426,Stock,FITB,-323.0,30.97,-10003.31,2019-12-26,31.12,-48.450000000000685
8,2019-12-27,DU1507426,Stock,ABC,-117.0,85.24,-9973.08,2019-12-26,85.05,22.229999999999734
9,2019-12-27,DU1507426,Stock,JWN,-248.0,40.41,-10021.68,2019-12-26,41.15,-183.5200000000005
10,2019-12-27,DU1507426,Stock,OKE,-132.0,75.6,-9979.2,2019-12-26,76.13,-69.96000000000015
11,2019-12-27,DU1507426,Stock,SLG,-109.0,91.54,-9977.86,2019-12-26,92.9,-148.23999999999995
12,2019-12-27,DU1507426,Stock,KR,-344.0,29.06,-9996.64,2019-12-26,28.89,58.479999999999364
13,2019-12-27,DU1507426,Stock,DVA,133.0,75.14,9993.62,2019-12-26,74.77,-49.21000000000061
14,2019-12-27,DU1507426,Stock,AOS,-211.0,47.5,-10022.5,2019-12-26,47.74,-50.64000000000042
15,2019-12-27,DU1507426,Stock,FBHS,-153.0,65.17,-9971.01,2019-12-26,65.49,-48.95999999999896
16,2019-12-27,DU1507426,Stock,LNT,-185.0,54.25,-10036.25,2019-12-26,54.22,5.5500000000002085
17,2019-12-27,DU1507426,Stock,XRX,267.0,37.44,9996.48,2019-12-26,37.48,10.679999999999774
18,2019-12-27,DU1507426,Stock,XLNX,-102.0,98.58,-10055.16,2019-12-26,98.68,-10.20000000000087
19,2019-12-27,DU1507426,Stock,NCLH,-172.0,58.25,-10019.0,2019-12-26,59.11,-147.9199999999999
20,2019-12-27,DU1507426,Stock,UPS,-85.0,118.48,-10070.8,2019-12-26,119.04,-47.60000000000019
21,2019-12-27,DU1507426,Stock,WFC,-186.0,54.0,-10044.0,2019-12-26,54.15,-27.89999999999973
22,2019-12-27,DU1507426,Stock,SCHW,-206.0,48.67,-10026.02,2019-12-26,48.57,20.600000000000293
23,2019-12-27,DU1507426,Stock,FTV,-131.0,76.67,-10043.77,2019-12-26,76.29,49.77999999999941
24,2019-12-27,DU1507426,Stock,MAS,-209.0,48.12,-10057.08,2019-12-26,48.17,-10.450000000000893
25,2019-12-27,DU1507426,Stock,CLX,-66.0,152.16,-10042.56,2019-12-26,152.94,-51.480000000000075
26,2019-12-27,DU1507426,Stock,VLO,-105.0,95.19,-9994.95,2019-12-26,94.42,80.84999999999958
27,2019-12-27,DU1507426,Stock,NLSN,496.0,20.16,9999.36,2019-12-26,20.28,59.52000000000049
28,2019-12-29,DU1507426,Stock,JNPR,-412.0,24.33,-10023.96,2019-12-27,24.41,-32.96000000000076
29,2019-12-29,DU1507426,Stock,MXIM,-163.0,61.16,-9969.08,2019-12-27,61.54,-61.94000000000042
30,2019-12-29,DU1507426,Stock,GPC,-95.0,105.49,-10021.55,2019-12-27,106.24,-71.25
31,2019-12-29,DU1507426,Stock,KEY,-492.0,20.31,-9992.52,2019-12-27,20.28,14.759999999998813
32,2019-12-29,DU1507426,Stock,WDC,-161.0,62.11,-9999.71,2019-12-27,62.13,-3.220000000000504
33,2019-12-29,DU1507426,Stock,C,-127.0,78.7,-9994.9,2019-12-27,79.67,-123.18999999999987
34,2019-12-29,DU1507426,Stock,CXO,-117.0,85.82,-10040.94,2019-12-27,85.37,52.649999999998684
35,2019-12-29,DU1507426,Stock,FITB,-323.0,30.97,-10003.31,2019-12-27,30.9,22.610000000000092
36,2019-12-29,DU1507426,Stock,ABC,-117.0,85.24,-9973.08,2019-12-27,84.91,38.60999999999979
37,2019-12-29,DU1507426,Stock,JWN,-248.0,40.41,-10021.68,2019-12-27,40.9,-121.5200000000005
38,2019-12-29,DU1507426,Stock,OKE,-132.0,75.6,-9979.2,2019-12-27,75.71,-14.519999999999929
39,2019-12-29,DU1507426,Stock,SLG,-109.0,91.54,-9977.86,2019-12-27,92.45,-99.18999999999964
40,2019-12-29,DU1507426,Stock,KR,-344.0,29.06,-9996.64,2019-12-27,28.76,103.19999999999901
41,2019-12-29,DU1507426,Stock,DVA,133.0,75.14,9993.62,2019-12-27,74.75,-51.870000000000076
42,2019-12-29,DU1507426,Stock,AOS,-211.0,47.5,-10022.5,2019-12-27,47.81,-65.41000000000048
43,2019-12-29,DU1507426,Stock,FBHS,-153.0,65.17,-9971.01,2019-12-27,65.59,-64.26000000000026
44,2019-12-29,DU1507426,Stock,LNT,-185.0,54.25,-10036.25,2019-12-27,54.34,-16.65000000000063
45,2019-12-29,DU1507426,Stock,XRX,267.0,37.44,9996.48,2019-12-27,37.31,-34.709999999998786
46,2019-12-29,DU1507426,Stock,XLNX,-102.0,98.58,-10055.16,2019-12-27,98.42,16.319999999999652
47,2019-12-29,DU1507426,Stock,NCLH,-172.0,58.25,-10019.0,2019-12-27,59.11,-147.9199999999999
48,2019-12-29,DU1507426,Stock,UPS,-85.0,118.48,-10070.8,2019-12-27,118.94,-39.09999999999947
49,2019-12-29,DU1507426,Stock,WFC,-186.0,54.0,-10044.0,2019-12-27,53.92,14.879999999999685
50,2019-12-29,DU1507426,Stock,SCHW,-206.0,48.67,-10026.02,2019-12-27,48.34,67.97999999999965
51,2019-12-29,DU1507426,Stock,FTV,-131.0,76.67,-10043.77,2019-12-27,76.58,11.790000000000449
52,2019-12-29,DU1507426,Stock,MAS,-209.0,48.12,-10057.08,2019-12-27,48.13,-2.0900000000010692
53,2019-12-29,DU1507426,Stock,CLX,-66.0,152.16,-10042.56,2019-12-27,153.53,-90.4200000000003
54,2019-12-29,DU1507426,Stock,VLO,-105.0,95.19,-9994.95,2019-12-27,93.2,208.94999999999948
55,2019-12-29,DU1507426,Stock,NLSN,496.0,20.16,9999.36,2019-12-27,20.19,14.880000000000566
56,2019-12-31,DU1507426,Stock,JNPR,-412.0,24.33,-10023.96,2019-12-30,24.5,-70.0400000000007
57,2019-12-31,DU1507426,Stock,MXIM,-163.0,61.16,-9969.08,2019-12-30,61.63,-76.61000000000098
58,2019-12-31,DU1507426,Stock,GPC,-95.0,105.49,-10021.55,2019-12-30,106.02,-50.35000000000011
59,2019-12-31,DU1507426,Stock,PH,-48.0,206.65,-9919.2,2019-12-30,205.76,42.72000000000071
60,2019-12-31,DU1507426,Stock,BKNG,-5.0,2069.06,-10345.3,2019-12-30,2053.87,75.95000000000027
61,2019-12-31,DU1507426,Stock,KEY,-492.0,20.31,-9992.52,2019-12-30,20.22,44.27999999999993
62,2019-12-31,DU1507426,Stock,CI,49.0,203.49,9971.01,2019-12-30,202.97,-25.4800000000005
63,2019-12-31,DU1507426,Stock,C,-127.0,78.7,-9994.9,2019-12-30,79.51,-102.87000000000029
