,Compte,Type,conId,Ticker,Quantité,Average Cost
0,DU1507426,Stock,6248722,JNPR,-406.0,24.75436845
1,DU1507426,Stock,272207,MXIM,-163.0,61.16247975
2,DU1507426,Stock,11094,PH,-48.0,206.65476875
3,DU1507426,Stock,276329,ZION,-194.0,51.6636567
4,DU1507426,Stock,13681,WDC,-161.0,62.25616955
5,DU1507426,Stock,87335484,C,-127.0,78.70037795
6,DU1507426,Stock,4457287,IT,65.0,152.9453846
7,DU1507426,Stock,11032,PFG,-183.0,54.54328745
8,DU1507426,Stock,1714996,ABC,-118.0,85.1796432
9,DU1507426,Stock,181764593,EQIX,-17.0,581.26902355
10,DU1507426,Stock,12225,AOS,-211.0,47.50389765
11,DU1507426,Stock,9690,MLM,-36.0,278.13634445
12,DU1507426,Stock,6477749,FLS,201.0,49.765
13,DU1507426,Stock,233674866,CHTR,-21.0,485.3222143
14,DU1507426,Stock,129348126,NWSA,-708.0,14.1145887
15,DU1507426,Stock,6585,DTE,-78.0,128.60439745
16,DU1507426,Stock,11697,ROK,-49.0,203.2752653
17,DU1507426,Stock,204429726,NLSN,496.0,20.155
18,DU1507426,Stock,7745,GPC,-95.0,105.48717055
19,DU1507426,Stock,8809,KEY,-492.0,20.31446035
20,DU1507426,Stock,346403540,CI,49.0,203.49040815
21,DU1507426,Stock,12814,TJX,-164.0,61.0503244
22,DU1507426,Stock,45182651,CXO,-117.0,85.81955725
23,DU1507426,Stock,269318,FITB,-323.0,30.97423965
24,DU1507426,Stock,272428,JWN,-248.0,40.41404435
25,DU1507426,Stock,10794,OKE,-132.0,75.6031644
26,DU1507426,Stock,1035459,DVA,133.0,75.1425564
27,DU1507426,Stock,13535,VNO,-152.0,65.77167695
28,DU1507426,Stock,375796353,XRX,267.0,37.445
29,DU1507426,Stock,276222,XLNX,-102.0,98.58078135
30,DU1507426,Stock,120643512,NCLH,-172.0,58.25286105
31,DU1507426,Stock,10375,WFC,-186.0,53.9987629
32,DU1507426,Stock,236074120,FTV,-131.0,76.67325575
33,DU1507426,Stock,9360,MAS,-209.0,48.11780815
34,DU1507426,Stock,5794,CLX,-66.0,152.1615788
35,DU1507426,Stock,13497,VLO,-108.0,92.76092315
