,Date,Starting NAV,Ending NAV,Daily PNL in $,Daily PNL in %,Cumulative Daily P&L
0,2019-10-03,489309.09,489535.25,226.16,0.05,226.16
1,2019-10-04,489535.25,489392.36,-142.89,-0.03,83.27
2,2019-10-07,489392.36,488290.87,-1101.49,-0.23,-1018.22
3,2019-10-08,488290.87,484041.33,-4249.54,-0.87,-5267.76
4,2019-10-09,484041.33,485499.1,1457.77,0.3,-3809.99
5,2019-10-10,485499.1,485268.15,-230.95,-0.05,-4040.94
6,2019-10-14,490643.57,488257.66,-2385.91,-0.49,-6426.85
7,2019-10-15,488257.66,490306.57,2048.91,0.42,-4377.94
8,2019-10-16,490306.57,489268.62,-1037.95,-0.21,-5415.89
9,2019-10-17,489268.62,487416.43,-1852.19,-0.38,-7268.08
10,2019-10-18,487416.43,484552.72,-2863.71,-0.59,-10131.79
11,2019-10-21,484552.72,482871.61,-1681.11,-0.35,-11812.9
12,2019-10-22,482871.61,477144.02,-5727.59,-1.19,-17540.49
13,2019-10-23,477144.02,475206.43,-1937.59,-0.41,-19478.08
14,2019-10-24,475206.43,479540.26,4333.83,0.91,-15144.25
15,2019-10-25,479540.26,477494.71,-2045.55,-0.43,-17189.8
16,2019-10-28,477494.71,479160.61,1665.9,0.35,-15523.9
17,2019-10-29,479160.61,479245.18,84.57,0.02,-15439.33
