Local time,Open,High,Low,Close,Volume
01.06.2011 00:00:00.000 GMT+0200,0.85375,0.85375,0.85361,0.85372,199.88
01.06.2011 00:05:00.000 GMT+0200,0.85372,0.85372,0.85366,0.85366,79.74000000000001
01.06.2011 00:10:00.000 GMT+0200,0.85366,0.85366,0.85319,0.85321,506.38
01.06.2011 00:15:00.000 GMT+0200,0.85321,0.85330,0.85276,0.85289,600.2099999999999
01.06.2011 00:20:00.000 GMT+0200,0.85289,0.85297,0.85265,0.85291,246.64
01.06.2011 00:25:00.000 GMT+0200,0.85282,0.85289,0.85266,0.85266,783.18
01.06.2011 00:30:00.000 GMT+0200,0.85266,0.85271,0.85253,0.85254,185.89000000000001
01.06.2011 00:35:00.000 GMT+0200,0.85251,0.85278,0.85198,0.85265,767.0400000000001
01.06.2011 00:40:00.000 GMT+0200,0.85269,0.85302,0.85251,0.85258,728.58
01.06.2011 00:45:00.000 GMT+0200,0.85258,0.85273,0.85245,0.85252,348.83
01.06.2011 00:50:00.000 GMT+0200,0.85253,0.85274,0.85253,0.85271,161.72
01.06.2011 00:55:00.000 GMT+0200,0.85271,0.85297,0.85261,0.85297,126.13
01.06.2011 01:00:00.000 GMT+0200,0.85294,0.85308,0.85294,0.85294,242.34
01.06.2011 01:05:00.000 GMT+0200,0.85294,0.85309,0.85293,0.85302,269.79
01.06.2011 01:10:00.000 GMT+0200,0.85302,0.85302,0.85222,0.85227,533.89
01.06.2011 01:15:00.000 GMT+0200,0.85232,0.85241,0.85177,0.85209,494.58
01.06.2011 01:20:00.000 GMT+0200,0.85209,0.85219,0.85184,0.85205,362.02000000000004
01.06.2011 01:25:00.000 GMT+0200,0.85198,0.85222,0.85180,0.85188,175.07
01.06.2011 01:30:00.000 GMT+0200,0.85186,0.85204,0.85158,0.85203,279.57
01.06.2011 01:35:00.000 GMT+0200,0.85203,0.85206,0.85149,0.85188,357.62
01.06.2011 01:40:00.000 GMT+0200,0.85189,0.85202,0.85181,0.85189,226.32000000000002
01.06.2011 01:45:00.000 GMT+0200,0.85189,0.85193,0.85158,0.85158,141.68
01.06.2011 01:50:00.000 GMT+0200,0.85158,0.85166,0.85147,0.85154,174.23
01.06.2011 01:55:00.000 GMT+0200,0.85152,0.85174,0.85140,0.85165,127.81
01.06.2011 02:00:00.000 GMT+0200,0.85163,0.85171,0.85137,0.85151,472.44
01.06.2011 02:05:00.000 GMT+0200,0.85152,0.85205,0.85148,0.85202,350.2
01.06.2011 02:10:00.000 GMT+0200,0.85199,0.85207,0.85157,0.85187,261.24
01.06.2011 02:15:00.000 GMT+0200,0.85188,0.85195,0.85162,0.85181,226.21
01.06.2011 02:20:00.000 GMT+0200,0.85179,0.85211,0.85179,0.85193,205.24999999999997
01.06.2011 02:25:00.000 GMT+0200,0.85196,0.85204,0.85180,0.85186,178.38
01.06.2011 02:30:00.000 GMT+0200,0.85189,0.85204,0.85189,0.85200,104.93
01.06.2011 02:35:00.000 GMT+0200,0.85200,0.85204,0.85193,0.85193,283.24
01.06.2011 02:40:00.000 GMT+0200,0.85193,0.85204,0.85193,0.85198,132.79000000000002
01.06.2011 02:45:00.000 GMT+0200,0.85198,0.85227,0.85198,0.85223,244.72
01.06.2011 02:50:00.000 GMT+0200,0.85223,0.85223,0.85186,0.85203,187.91
01.06.2011 02:55:00.000 GMT+0200,0.85204,0.85237,0.85204,0.85233,174.89
01.06.2011 03:00:00.000 GMT+0200,0.85232,0.85232,0.85217,0.85226,291.07
01.06.2011 03:05:00.000 GMT+0200,0.85226,0.85231,0.85216,0.85220,207.89000000000001
01.06.2011 03:10:00.000 GMT+0200,0.85218,0.85223,0.85218,0.85218,109.10000000000001
01.06.2011 03:15:00.000 GMT+0200,0.85218,0.85230,0.85178,0.85178,301.02
01.06.2011 03:20:00.000 GMT+0200,0.85176,0.85211,0.85175,0.85198,236.59
01.06.2011 03:25:00.000 GMT+0200,0.85198,0.85215,0.85196,0.85196,131.63
01.06.2011 03:30:00.000 GMT+0200,0.85196,0.85204,0.85177,0.85203,374.82
01.06.2011 03:35:00.000 GMT+0200,0.85203,0.85226,0.85199,0.85207,426.29999999999995
01.06.2011 03:40:00.000 GMT+0200,0.85207,0.85262,0.85206,0.85258,423.12
01.06.2011 03:45:00.000 GMT+0200,0.85262,0.85262,0.85241,0.85249,197.89000000000001
01.06.2011 03:50:00.000 GMT+0200,0.85247,0.85253,0.85216,0.85252,97.25
01.06.2011 03:55:00.000 GMT+0200,0.85253,0.85270,0.85250,0.85270,306.92
01.06.2011 04:00:00.000 GMT+0200,0.85271,0.85279,0.85243,0.85249,501.02
01.06.2011 04:05:00.000 GMT+0200,0.85249,0.85301,0.85242,0.85297,309.86
01.06.2011 04:10:00.000 GMT+0200,0.85297,0.85304,0.85278,0.85285,298.7
01.06.2011 04:15:00.000 GMT+0200,0.85287,0.85289,0.85242,0.85243,197.22
01.06.2011 04:20:00.000 GMT+0200,0.85245,0.85266,0.85225,0.85227,259.15
01.06.2011 04:25:00.000 GMT+0200,0.85227,0.85255,0.85227,0.85245,199.65
01.06.2011 04:30:00.000 GMT+0200,0.85234,0.85274,0.85220,0.85272,232.64
01.06.2011 04:35:00.000 GMT+0200,0.85272,0.85272,0.85252,0.85255,107.36
01.06.2011 04:40:00.000 GMT+0200,0.85253,0.85261,0.85252,0.85255,159.67
01.06.2011 04:45:00.000 GMT+0200,0.85254,0.85267,0.85237,0.85238,156.73999999999998
01.06.2011 04:50:00.000 GMT+0200,0.85238,0.85276,0.85228,0.85228,367.25
01.06.2011 04:55:00.000 GMT+0200,0.85228,0.85271,0.85223,0.85265,172.84
01.06.2011 05:00:00.000 GMT+0200,0.85263,0.85272,0.85263,0.85270,115.02000000000001
01.06.2011 05:05:00.000 GMT+0200,0.85270,0.85300,0.85268,0.85298,222.17
01.06.2011 05:10:00.000 GMT+0200,0.85296,0.85296,0.85288,0.85288,306.82000000000005
01.06.2011 05:15:00.000 GMT+0200,0.85289,0.85289,0.85254,0.85257,387.24
01.06.2011 05:20:00.000 GMT+0200,0.85254,0.85259,0.85241,0.85249,258.53999999999996
01.06.2011 05:25:00.000 GMT+0200,0.85251,0.85280,0.85237,0.85243,306.12
01.06.2011 05:30:00.000 GMT+0200,0.85243,0.85260,0.85243,0.85260,224.48000000000002
01.06.2011 05:35:00.000 GMT+0200,0.85259,0.85260,0.85244,0.85244,164.54
01.06.2011 05:40:00.000 GMT+0200,0.85246,0.85306,0.85246,0.85290,466.76
01.06.2011 05:45:00.000 GMT+0200,0.85292,0.85292,0.85250,0.85250,209.60999999999999
01.06.2011 05:50:00.000 GMT+0200,0.85250,0.85275,0.85250,0.85272,296.62
01.06.2011 05:55:00.000 GMT+0200,0.85272,0.85288,0.85259,0.85259,184.56000000000003
01.06.2011 06:00:00.000 GMT+0200,0.85259,0.85269,0.85248,0.85265,118.23
01.06.2011 06:05:00.000 GMT+0200,0.85267,0.85275,0.85260,0.85267,260.83
01.06.2011 06:10:00.000 GMT+0200,0.85267,0.85268,0.85237,0.85246,199.13
01.06.2011 06:15:00.000 GMT+0200,0.85246,0.85267,0.85244,0.85245,270.59000000000003
01.06.2011 06:20:00.000 GMT+0200,0.85244,0.85288,0.85233,0.85287,416.86
01.06.2011 06:25:00.000 GMT+0200,0.85288,0.85290,0.85270,0.85284,386.72
01.06.2011 06:30:00.000 GMT+0200,0.85285,0.85287,0.85263,0.85278,272.16
01.06.2011 06:35:00.000 GMT+0200,0.85278,0.85278,0.85270,0.85273,241.01000000000002
01.06.2011 06:40:00.000 GMT+0200,0.85273,0.85308,0.85267,0.85284,422.65
01.06.2011 06:45:00.000 GMT+0200,0.85286,0.85304,0.85270,0.85292,343.58
01.06.2011 06:50:00.000 GMT+0200,0.85292,0.85307,0.85283,0.85304,264.98
01.06.2011 06:55:00.000 GMT+0200,0.85304,0.85322,0.85285,0.85294,345.02
01.06.2011 07:00:00.000 GMT+0200,0.85294,0.85301,0.85275,0.85276,253.71
01.06.2011 07:05:00.000 GMT+0200,0.85275,0.85275,0.85259,0.85265,126.46
01.06.2011 07:10:00.000 GMT+0200,0.85265,0.85296,0.85264,0.85286,170.07
01.06.2011 07:15:00.000 GMT+0200,0.85290,0.85295,0.85279,0.85291,277.72
01.06.2011 07:20:00.000 GMT+0200,0.85292,0.85292,0.85260,0.85272,262.95
01.06.2011 07:25:00.000 GMT+0200,0.85273,0.85284,0.85269,0.85279,213.55
01.06.2011 07:30:00.000 GMT+0200,0.85279,0.85307,0.85278,0.85305,356.88
01.06.2011 07:35:00.000 GMT+0200,0.85305,0.85308,0.85277,0.85279,456.08000000000004
01.06.2011 07:40:00.000 GMT+0200,0.85280,0.85299,0.85280,0.85289,423.27
01.06.2011 07:45:00.000 GMT+0200,0.85291,0.85298,0.85276,0.85276,391.87000000000006
01.06.2011 07:50:00.000 GMT+0200,0.85276,0.85276,0.85233,0.85249,682.7900000000001
01.06.2011 07:55:00.000 GMT+0200,0.85249,0.85279,0.85238,0.85275,435.84000000000003
01.06.2011 08:00:00.000 GMT+0200,0.85272,0.85273,0.85234,0.85268,199.79999999999998
01.06.2011 08:05:00.000 GMT+0200,0.85268,0.85283,0.85266,0.85270,271.59999999999997
01.06.2011 08:10:00.000 GMT+0200,0.85271,0.85339,0.85271,0.85296,293.78000000000003
01.06.2011 08:15:00.000 GMT+0200,0.85293,0.85293,0.85264,0.85270,215.14000000000001
01.06.2011 08:20:00.000 GMT+0200,0.85269,0.85296,0.85269,0.85289,229.64000000000001
01.06.2011 08:25:00.000 GMT+0200,0.85289,0.85295,0.85257,0.85266,304.89
01.06.2011 08:30:00.000 GMT+0200,0.85266,0.85409,0.85263,0.85377,994.79
01.06.2011 08:35:00.000 GMT+0200,0.85377,0.85422,0.85345,0.85384,892.8699999999999
01.06.2011 08:40:00.000 GMT+0200,0.85383,0.85397,0.85342,0.85370,941.68
01.06.2011 08:45:00.000 GMT+0200,0.85366,0.85411,0.85366,0.85391,507.82000000000005
01.06.2011 08:50:00.000 GMT+0200,0.85390,0.85395,0.85364,0.85366,418.92999999999995
01.06.2011 08:55:00.000 GMT+0200,0.85366,0.85374,0.85339,0.85353,282.85
01.06.2011 09:00:00.000 GMT+0200,0.85353,0.85375,0.85287,0.85307,464.44
01.06.2011 09:05:00.000 GMT+0200,0.85306,0.85308,0.85274,0.85304,544.84
01.06.2011 09:10:00.000 GMT+0200,0.85305,0.85310,0.85251,0.85263,555.4200000000001
01.06.2011 09:15:00.000 GMT+0200,0.85263,0.85291,0.85133,0.85141,914.6099999999999
01.06.2011 09:20:00.000 GMT+0200,0.85141,0.85156,0.85076,0.85098,985.43
01.06.2011 09:25:00.000 GMT+0200,0.85098,0.85105,0.85008,0.85067,850.89
01.06.2011 09:30:00.000 GMT+0200,0.85067,0.85067,0.84944,0.84944,870.2600000000001
01.06.2011 09:35:00.000 GMT+0200,0.84944,0.84982,0.84914,0.84954,436.48
01.06.2011 09:40:00.000 GMT+0200,0.84954,0.84961,0.84863,0.84886,661.57
01.06.2011 09:45:00.000 GMT+0200,0.84886,0.84912,0.84853,0.84875,628.9
01.06.2011 09:50:00.000 GMT+0200,0.84876,0.84985,0.84870,0.84983,907.3499999999999
01.06.2011 09:55:00.000 GMT+0200,0.84983,0.84985,0.84949,0.84970,727.41
01.06.2011 10:00:00.000 GMT+0200,0.84967,0.84967,0.84925,0.84932,618.5400000000001
01.06.2011 10:05:00.000 GMT+0200,0.84932,0.84946,0.84911,0.84916,624.41
01.06.2011 10:10:00.000 GMT+0200,0.84918,0.84920,0.84851,0.84897,757.92
01.06.2011 10:15:00.000 GMT+0200,0.84895,0.84942,0.84893,0.84913,808.4
01.06.2011 10:20:00.000 GMT+0200,0.84914,0.84914,0.84851,0.84853,575.62
01.06.2011 10:25:00.000 GMT+0200,0.84855,0.84883,0.84831,0.84846,624.83
01.06.2011 10:30:00.000 GMT+0200,0.84848,0.84852,0.84698,0.84702,861.0199999999999
01.06.2011 10:35:00.000 GMT+0200,0.84709,0.84766,0.84707,0.84750,570.8
01.06.2011 10:40:00.000 GMT+0200,0.84750,0.84810,0.84750,0.84810,462.42
01.06.2011 10:45:00.000 GMT+0200,0.84809,0.84811,0.84757,0.84808,489.1599999999999
01.06.2011 10:50:00.000 GMT+0200,0.84808,0.84848,0.84794,0.84848,539.65
01.06.2011 10:55:00.000 GMT+0200,0.84848,0.84851,0.84815,0.84842,438.93000000000006
01.06.2011 11:00:00.000 GMT+0200,0.84844,0.84848,0.84784,0.84784,560.55
01.06.2011 11:05:00.000 GMT+0200,0.84784,0.84873,0.84784,0.84836,589.48
01.06.2011 11:10:00.000 GMT+0200,0.84837,0.84870,0.84821,0.84836,423.65999999999997
01.06.2011 11:15:00.000 GMT+0200,0.84839,0.84849,0.84777,0.84790,403.94
01.06.2011 11:20:00.000 GMT+0200,0.84787,0.84840,0.84777,0.84840,469.82
01.06.2011 11:25:00.000 GMT+0200,0.84840,0.84840,0.84778,0.84793,436.95000000000005
01.06.2011 11:30:00.000 GMT+0200,0.84791,0.84804,0.84779,0.84793,383.45000000000005
01.06.2011 11:35:00.000 GMT+0200,0.84791,0.84825,0.84784,0.84791,466.52000000000004
01.06.2011 11:40:00.000 GMT+0200,0.84792,0.84836,0.84787,0.84794,562.53
01.06.2011 11:45:00.000 GMT+0200,0.84794,0.84815,0.84782,0.84807,453.8299999999999
01.06.2011 11:50:00.000 GMT+0200,0.84807,0.84830,0.84799,0.84810,460
01.06.2011 11:55:00.000 GMT+0200,0.84811,0.84847,0.84801,0.84816,480.77000000000004
01.06.2011 12:00:00.000 GMT+0200,0.84816,0.84835,0.84797,0.84813,324.38
01.06.2011 12:05:00.000 GMT+0200,0.84811,0.84811,0.84777,0.84787,252.41
01.06.2011 12:10:00.000 GMT+0200,0.84787,0.84801,0.84759,0.84793,302.53000000000003
01.06.2011 12:15:00.000 GMT+0200,0.84793,0.84822,0.84769,0.84817,471.52
01.06.2011 12:20:00.000 GMT+0200,0.84817,0.84822,0.84768,0.84771,500.55999999999995
01.06.2011 12:25:00.000 GMT+0200,0.84770,0.84797,0.84713,0.84738,746.74
01.06.2011 12:30:00.000 GMT+0200,0.84738,0.84778,0.84649,0.84697,730.73
01.06.2011 12:35:00.000 GMT+0200,0.84697,0.84721,0.84687,0.84708,544.56
01.06.2011 12:40:00.000 GMT+0200,0.84708,0.84744,0.84701,0.84736,629.26
01.06.2011 12:45:00.000 GMT+0200,0.84737,0.84757,0.84688,0.84688,463.09000000000003
01.06.2011 12:50:00.000 GMT+0200,0.84688,0.84705,0.84634,0.84638,346.34999999999997
01.06.2011 12:55:00.000 GMT+0200,0.84638,0.84687,0.84636,0.84659,460.51000000000005
01.06.2011 13:00:00.000 GMT+0200,0.84663,0.84711,0.84656,0.84666,628.5500000000001
01.06.2011 13:05:00.000 GMT+0200,0.84666,0.84679,0.84620,0.84664,456.72999999999996
01.06.2011 13:10:00.000 GMT+0200,0.84664,0.84680,0.84465,0.84485,717.9
01.06.2011 13:15:00.000 GMT+0200,0.84486,0.84548,0.84423,0.84548,760.64
01.06.2011 13:20:00.000 GMT+0200,0.84553,0.84660,0.84527,0.84609,833.73
01.06.2011 13:25:00.000 GMT+0200,0.84609,0.84618,0.84567,0.84574,556.34
01.06.2011 13:30:00.000 GMT+0200,0.84572,0.84585,0.84539,0.84585,661.7099999999999
01.06.2011 13:35:00.000 GMT+0200,0.84588,0.84600,0.84567,0.84581,245.95
01.06.2011 13:40:00.000 GMT+0200,0.84581,0.84581,0.84534,0.84544,266.12
01.06.2011 13:45:00.000 GMT+0200,0.84544,0.84546,0.84508,0.84539,410.74
01.06.2011 13:50:00.000 GMT+0200,0.84538,0.84546,0.84511,0.84518,360.21000000000004
01.06.2011 13:55:00.000 GMT+0200,0.84518,0.84560,0.84502,0.84549,398.39000000000004
