;;;;
; PRODUCT:INDEX;;EXCHANGE: Cboe;
DATE;CALL;PUT;TOTAL;P/C Ratio
09/30/2014;515106;710023;1225129;1.38
10/01/2014;937627;1202015;2139642;1.28
10/02/2014;1025655;1030155;2055810;1
10/03/2014;936735;973797;1910532;1.04
10/06/2014;555792;709453;1265245;1.28
10/07/2014;776268;844118;1620386;1.09
10/08/2014;1023866;1172657;2196523;1.15
10/09/2014;1291949;1116261;2408210;0.86
10/10/2014;1492649;1586027;3078676;1.06
10/13/2014;1324061;1896963;3221024;1.43
10/14/2014;1867208;1647145;3514353;0.88
10/15/2014;2067098;2667763;4734861;1.29
10/16/2014;1870739;1799477;3670216;0.96
10/17/2014;807972;1375376;2183348;1.7
10/20/2014;975667;1084275;2059942;1.11
10/21/2014;1206830;1669005;2875835;1.38
10/22/2014;881698;1193674;2075372;1.35
10/23/2014;1180237;904833;2085070;0.77
10/24/2014;668302;639187;1307489;0.96
10/27/2014;387910;547211;935121;1.41
10/28/2014;991922;1102092;2094014;1.11
10/29/2014;841461;949372;1790833;1.13
10/30/2014;674174;763457;1437631;1.13
10/31/2014;1119665;1092384;2212049;0.98
11/03/2014;687980;741079;1429059;1.08
11/04/2014;522295;541795;1064090;1.04
11/05/2014;570452;605969;1176421;1.06
11/06/2014;606091;669707;1275798;1.1
11/07/2014;568372;747103;1315475;1.31
11/10/2014;599705;711466;1311171;1.19
11/11/2014;557291;548886;1106177;0.98
11/12/2014;657652;603771;1261423;0.92
11/13/2014;684872;886347;1571219;1.29
11/14/2014;586880;790155;1377035;1.35
11/17/2014;490062;587734;1077796;1.2
11/18/2014;670099;1006333;1676432;1.5
11/19/2014;750545;788136;1538681;1.05
11/20/2014;548870;836393;1385263;1.52
11/21/2014;807130;851929;1659059;1.06
11/24/2014;423945;515808;939753;1.22
11/25/2014;376449;502445;878894;1.33
11/26/2014;463300;551786;1015086;1.19
11/28/2014;393833;667766;1061599;1.7
12/01/2014;537318;728687;1266005;1.36
12/02/2014;422395;759465;1181860;1.8
