,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,90.48,96.15
1,AAL,American Airlines Gp,Industrials,86.11,79.63
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,72.73,73.08
3,AAPL,Apple Inc,Information Technology,89.47,70.0
4,ABBV,Abbvie Inc,Health Care,93.33,96.3
5,ABC,Amerisourcebergen Corp,Health Care,88.24,92.68
6,ADI,Analog Devices,Information Technology,74.29,73.68
7,ADM,Archer Daniels Midland,Consumer Staples,79.31,100.0
8,ADS,Alliance Data Systems Corp,Information Technology,71.79,70.31
9,ADSK,Autodesk Inc,Information Technology,73.68,77.55
10,AEE,Ameren Corp,Utilities,81.82,78.57
11,AEP,American Electric Power Company,Utilities,84.38,77.78
12,AES,The Aes Corp,Utilities,75.0,87.1
13,AIG,American International Group,Financials,79.31,93.55
14,AIV,Apartment Investment and Management,Real Estate,82.61,80.0
15,AIZ,Assurant Inc,Financials,85.71,96.15
16,AKAM,Akamai Technologies,Information Technology,76.19,85.0
17,ALB,Albemarle Corp,Materials,77.78,80.0
18,ALK,Alaska Air Group,Industrials,75.68,91.89
19,ALLE,Allegion Plc,Industrials,78.12,76.09
20,ALXN,Alexion Pharm Inc,Health Care,85.71,75.56
21,AMAT,Applied Materials,Information Technology,80.0,100.0
22,AMD,Adv Micro Devices,Information Technology,76.92,79.17
23,AME,Amtek Inc,Industrials,96.67,85.53
24,AMG,Affiliated Managers Group,Financials,69.7,90.0
25,AMP,Ameriprise Financial Services,Financials,78.87,71.15
26,AMT,American Tower Corp,Real Estate,74.07,80.77
27,AMZN,Amazon.com Inc,Consumer Discretionary,75.0,96.83
28,AOS,Smith [A.O.] Corp,Industrials,80.0,86.36
29,APA,Apache Corp,Energy,70.83,96.77
30,APTV,Aptiv Plc,Consumer Discretionary,95.16,88.64
31,ARE,Alexandria Real Estate Equities,Real Estate,75.0,70.73
32,ARNC,Arconic Inc,Industrials,86.11,81.25
33,AVB,Avalonbay Communities,Real Estate,81.82,98.55
34,AVGO,Broadcom Ltd,Information Technology,71.74,90.48
35,AZO,Autozone,Consumer Discretionary,69.64,70.59
36,BAC,Bank of America Corp,Financials,72.22,76.0
37,BBT,BB&T Corp,Financials,75.51,78.95
38,BBY,Best Buy CO,Consumer Discretionary,70.37,85.71
39,BEN,Franklin Resources,Financials,93.75,77.27
40,BIIB,Biogen Inc,Health Care,92.86,82.86
41,BK,Bank of New York Mellon Corp,Financials,72.73,94.12
42,BKNG,Booking Holdings Inc,Consumer Discretionary,73.53,94.12
43,BLK,Blackrock,Financials,77.78,96.15
44,BLL,Ball Corp,Materials,75.56,98.44
45,BMY,Bristol-Myers Squibb Company,Health Care,90.32,72.97
46,BSX,Boston Scientific Corp,Health Care,93.1,98.08
47,BWA,Borgwarner Inc,Consumer Discretionary,86.67,82.86
48,BXP,Boston Properties,Real Estate,75.0,90.7
49,C,Citigroup Inc,Financials,70.59,80.49
50,CAG,Conagra Brands Inc,Consumer Staples,78.95,72.41
51,CAT,Caterpillar Inc,Industrials,76.47,100.0
52,CB,Chubb Ltd,Financials,77.14,80.0
53,CBOE,CBOE Global Markets Inc,Financials,80.36,96.55
54,CCI,Crown Castle International Corp,Real Estate,75.76,90.48
55,CCL,Carnival Corp,Consumer Discretionary,82.76,96.15
56,CERN,Cerner Corp,Health Care,96.15,85.71
57,CF,Cf Industries Holdings,Materials,85.71,81.82
58,CFG,Citizens Financial Group Inc/Ri,Financials,90.0,89.47
59,CHD,Church & Dwight Company,Consumer Staples,90.48,100.0
60,CHTR,Charter Communicatio,Consumer Discretionary,84.21,77.42
61,CI,Cigna Corp,Health Care,84.85,92.31
62,CL,Colgate-Palmolive Company,Consumer Staples,86.96,85.29
63,CLX,Clorox Company,Consumer Staples,73.68,92.98
64,CMG,Chipotle Mexican Grill,Consumer Discretionary,69.57,86.11
65,CMI,Cummins Inc,Industrials,85.29,75.58
66,CMS,Cms Energy Corp,Utilities,100.0,89.47
67,CNC,Centene Corp,Health Care,70.27,75.0
68,COF,Capital One Financial Corp,Financials,72.73,85.71
69,COG,Cabot Oil & Gas Corp,Energy,75.68,91.18
70,COO,Cooper Companies,Health Care,87.5,71.93
71,COP,Conocophillips,Energy,77.78,77.42
72,CPRI,Capri Holdings Ltd,None,71.79,73.77
73,CRM,Salesforce.com Inc,Information Technology,77.08,76.74
74,CTL,Centurylink,Telecommunication Services,73.21,100.0
75,CTSH,Cognizant Tech Sol,Information Technology,71.43,72.0
76,CVS,CVS Corp,Consumer Staples,89.19,85.51
77,CVX,Chevron Corp,Energy,87.5,85.71
78,CXO,Concho Resources Inc,Energy,93.75,90.32
79,D,Dominion Resources,Utilities,91.3,75.51
80,DAL,Delta Air Lines Inc,Industrials,78.95,75.0
81,DFS,Discover Financial Services,Financials,69.05,86.21
82,DG,Dollar General Corp,Consumer Discretionary,92.59,73.91
83,DISCA,Discovery Comm A,Consumer Discretionary,81.48,93.67
84,DISCK,Discovery Comm Inc,Consumer Discretionary,88.89,80.0
85,DLTR,Dollar Tree Inc,Consumer Discretionary,82.05,81.25
