,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-11-12,499055.06,499490.61,435.55,0.09,435.55,0.09
1,2019-11-13,499490.61,499321.15,-169.46,-0.03,266.09,0.05
2,2019-11-14,499321.15,498754.28,-566.87,-0.11,-300.78,-0.06
3,2019-11-15,498754.28,498357.43,-396.85,-0.08,-697.63,-0.14
4,2019-11-18,498357.43,497228.63,-1128.8,-0.23,-1826.43,-0.37
5,2019-11-19,497228.63,495699.76,-1528.87,-0.31,-3355.3,-0.67
6,2019-11-20,495699.76,494570.68,-1129.08,-0.23,-4484.38,-0.9
7,2019-11-21,494570.68,494809.56,238.88,0.05,-4245.5,-0.85
8,2019-11-22,494809.56,493865.09,-944.47,-0.19,-5189.97,-1.04
9,2019-11-25,493865.09,493997.99,132.9,0.03,-5057.07,-1.01
10,2019-11-25,493865.09,493997.99,132.9,0.03,-4924.17,-0.99
11,2019-11-26,493997.99,492017.72,-1980.27,-0.4,-6904.44,-1.38
12,2019-11-27,492017.72,491712.97,-304.75,-0.06,-7209.19,-1.45
13,2019-11-28,491712.97,491712.97,0.0,0.0,-7209.19,-1.45
14,2019-11-29,491712.97,491434.08,-278.89,-0.06,-7488.08,-1.5
15,2019-12-05,491919.61,490931.62,-987.99,-0.2,-8476.07,-1.7
16,2019-12-06,490931.62,492630.76,1699.14,0.35,-6776.93,-1.36
17,2019-12-09,492630.76,492484.47,-146.29,-0.03,-6923.22,-1.39
