,date,account,contract,marketPrice,marketValue,averageCost,unrealizedPNL,realizedPNL
0,2019-09-16,DU1640450,ADBE,281.08999635,5059.62,278.40555555,48.32,0.0
1,2019-09-16,DU1640450,ADSK,154.4700012,5097.51,153.51030305,31.67,0.0
2,2019-09-16,DU1640450,ALK,65.0,-4940.0,65.8553596,65.01,0.0
3,2019-09-16,DU1640450,ALLE,101.45531465,4971.31,102.26040815,-39.45,0.0
4,2019-09-16,DU1640450,AVGO,288.6199951,4906.54,290.37882355,-29.9,0.0
5,2019-09-16,DU1640450,BK,46.84999845,4966.1,46.90943395,-6.3,0.0
6,2019-09-16,DU1640450,BKNG,2050.0,4100.0,2064.4,-28.8,0.0
7,2019-09-16,DU1640450,C,69.98000335,-4968.58,70.3743394,28.0,0.0
8,2019-09-16,DU1640450,CAH,48.22999955,-5015.92,48.20926745,-2.16,0.0
9,2019-09-16,DU1640450,CBRE,54.08000185,-5029.44,53.9880105,-8.56,0.0
10,2019-09-16,DU1640450,CCL,49.40999985,4891.59,50.560101,-113.86,0.0
11,2019-09-16,DU1640450,CHD,71.2099991,4913.49,71.99449275,-54.13,0.0
12,2019-09-16,DU1640450,CNC,45.84000015,-5042.4,45.3898503,-49.52,0.0
13,2019-09-16,DU1640450,COG,18.01000025,-4790.66,18.80449165,211.33,0.0
14,2019-09-16,DU1640450,CPRI,32.59999845,-5085.6,32.00280815,-93.16,0.0
15,2019-09-16,DU1640450,DHI,49.7200012,5021.72,49.499901,22.23,0.0
16,2019-09-16,DU1640450,DISCA,27.79999925,4976.2,27.8955866,-17.11,0.0
17,2019-09-16,DU1640450,DISCK,26.19000055,4976.1,26.30526315,-21.9,0.0
18,2019-09-16,DU1640450,DISH,35.8600006,5092.12,35.26704225,84.2,0.0
19,2019-09-16,DU1640450,DRI,127.55999755,-4974.84,127.31160405,-9.69,0.0
20,2019-09-16,DU1640450,EFX,141.1199951,-4939.2,141.26838465,5.19,0.0
21,2019-09-16,DU1640450,EMN,75.5699997,-4987.62,75.45316725,-7.71,0.0
22,2019-09-16,DU1640450,FANG,103.94000245,5404.88,96.74923075,373.92,0.0
23,2019-09-16,DU1640450,FLS,49.6100006,5109.83,48.54970875,109.21,0.0
24,2019-09-16,DU1640450,HCA,129.2400055,5040.36,129.09564105,5.63,0.0
25,2019-09-16,DU1640450,HFC,52.4300003,5085.71,51.3903093,100.85,0.0
26,2019-09-16,DU1640450,HPE,15.22999955,4964.98,15.325,-30.97,0.0
27,2019-09-16,DU1640450,HRL,42.81000135,4965.96,42.9886207,-20.72,0.0
28,2019-09-16,DU1640450,IPGP,145.41000365,4943.94,146.36941175,-32.62,0.0
29,2019-09-16,DU1640450,JNPR,24.37999915,5022.28,24.275,21.63,0.0
30,2019-09-16,DU1640450,JPM,119.8199997,-5032.44,120.2035827,16.11,0.0
31,2019-09-16,DU1640450,KO,54.0699997,4974.44,54.27086955,-18.48,0.0
32,2019-09-16,DU1640450,LNC,61.72999955,5000.13,61.6823457,3.86,0.0
33,2019-09-16,DU1640450,LUV,55.79999925,4966.2,55.80123595,-0.11,0.0
34,2019-09-16,DU1640450,MAA,127.79263305,4983.91,126.98564105,31.47,0.0
35,2019-09-16,DU1640450,MRK,81.8488693,4910.93,82.62666665,-46.67,0.0
36,2019-09-16,DU1640450,MXIM,59.15999985,4969.44,59.60190475,-37.12,0.0
37,2019-09-16,DU1640450,NI,29.12999915,5010.36,29.04581395,14.48,0.0
38,2019-09-16,DU1640450,NOV,23.8299999,5218.77,22.815,222.28,0.0
39,2019-09-16,DU1640450,PG,120.0400009,4921.64,122.14439025,-86.28,0.0
40,2019-09-16,DU1640450,PHM,35.09000015,-4982.78,35.24210905,21.6,0.0
41,2019-09-16,DU1640450,PM,72.41999815,-4996.98,72.8838792,32.01,0.0
42,2019-09-16,DU1640450,PPG,115.83000185,-4864.86,119.3536003,147.99,0.0
43,2019-09-16,DU1640450,PPL,30.69000055,-4971.78,30.87306895,29.66,0.0
44,2019-09-16,DU1640450,RE,253.75,-5075.0,256.33457375,51.69,0.0
45,2019-09-16,DU1640450,RHI,56.59000015,-4979.92,56.74734245,13.85,0.0
46,2019-09-16,DU1640450,ROK,166.72999575,5001.9,166.78333335,-1.6,0.0
47,2019-09-16,DU1640450,SEE,41.1100006,-4850.98,42.39052875,151.1,-0.0
48,2019-09-16,DU1640450,SHW,530.75,-4776.75,541.3975604,95.83,0.0
49,2019-09-16,DU1640450,SPG,153.6000061,-5068.8,153.8963916,9.78,0.0
50,2019-09-16,DU1640450,SWK,145.66000365,-4952.44,146.21744185,18.95,0.0
51,2019-09-16,DU1640450,TIF,98.0299988,-4999.53,98.25823875,11.64,0.0
52,2019-09-16,DU1640450,TRIP,40.91999815,4992.24,40.8281967,11.2,0.0
53,2019-09-16,DU1640450,TROW,117.76000215,-4945.92,118.9136094,48.45,0.0
54,2019-09-16,DU1640450,TTWO,127.55000305,5102.0,125.125,97.0,0.0
55,2019-09-16,DU1640450,TXT,52.0809326,5051.85,51.4103093,65.05,0.0
56,2019-09-16,DU1640450,ULTA,229.69999695,-5053.4,226.80973045,-63.59,0.0
57,2019-09-16,DU1640450,UTX,138.4299927,4983.48,138.0877778,12.32,0.0
