,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-10-03,523031.81,523014.26,-17.55,-0.0,-17.55,-0.0
1,2019-10-04,523014.26,523077.64,63.38,0.01,45.83,0.01
2,2019-10-07,523077.64,523124.6,46.96,0.01,92.79,0.02
3,2019-10-08,523124.6,523093.24,-31.36,-0.01,61.43,0.01
4,2019-10-09,523093.24,523109.4,16.16,0.0,77.59,0.02
5,2019-10-10,523109.4,523182.83,73.43,0.01,151.02,0.03
6,2019-10-11,523182.83,523207.2,24.37,0.0,175.39,0.04
7,2019-10-14,523207.2,523301.68,94.48,0.02,269.87,0.05
8,2019-10-15,523301.68,523319.74,18.06,0.0,287.93,0.06
9,2019-10-16,523319.74,517733.39,-5586.35,-1.07,-5298.42,-1.06
10,2019-10-17,517733.39,516833.41,-899.98,-0.17,-6198.4,-1.24
11,2019-10-18,516833.41,517306.39,472.98,0.09,-5725.42,-1.15
12,2019-10-21,517306.39,516410.29,-896.1,-0.17,-6621.52,-1.33
13,2019-10-22,516410.29,520070.96,3660.67,0.71,-2960.85,-0.59
14,2019-10-23,520070.96,521143.5,1072.54,0.21,-1888.31,-0.38
15,2019-10-24,521143.5,507909.3,-13234.2,-2.54,-15122.51,-3.03
16,2019-10-25,507909.3,503946.8,-3962.5,-0.78,-19085.01,-3.83
17,2019-10-28,503946.8,503828.05,-118.75,-0.02,-19203.76,-3.85
18,2019-10-29,503828.05,504382.7,554.65,0.11,-18649.11,-3.74
19,2019-10-30,504382.7,506156.12,1773.42,0.35,-16875.69,-3.38
20,2019-10-31,506156.12,504832.39,-1323.73,-0.26,-18199.42,-3.65
21,2019-11-01,504832.39,520542.86,15710.47,3.11,-2488.95,-0.5
22,2019-11-04,520542.86,517126.42,-3416.44,-0.66,-5905.39,-1.18
