Date,Date,Move Up,Confiance up,Move Down,Confiance Down,Actual,Actual.S,Open.S,DMP_CP
2018-07-30,2018-07-30,1,75.49539,0,0.16327798,1779.219970703125,1773.4989,1786.489990234375,99.56838
2018-07-31,2018-07-31,1,99.789795,0,0.005799532,1777.43994140625,1798.2777,1784.0,99.98838
2018-08-01,2018-08-01,1,99.97974,0,0.014561415,1797.1700439453125,1830.0833,1788.77001953125,99.97087
2018-08-02,2018-08-02,0,7.9414964,0,5.7067633,1834.3299560546875,1822.5045,1837.739990234375,16.373758
2018-08-03,2018-08-03,1,99.87099,0,0.08144975,1823.2900390625,1848.5149,1825.81005859375,99.83702
2018-08-06,2018-08-06,1,99.87715,0,0.06464422,1847.75,1861.4978,1854.530029296875,99.870636
2018-08-07,2018-08-07,1,99.971214,0,0.023585558,1862.47998046875,1881.4631,1861.0,99.952835
2018-08-08,2018-08-08,1,99.76552,0,0.026839972,1886.52001953125,1900.1049,1882.0,99.946205
2018-08-09,2018-08-09,1,92.52246,0,7.2037816,1898.52001953125,1888.0032,1888.510009765625,85.55289
2018-08-10,2018-08-10,1,99.27462,0,0.07097721,1886.300048828125,1899.8364,1898.5,99.85711
2018-08-13,2018-08-13,1,91.43673,0,0.088611245,1896.199951171875,1919.6256,1919.3900146484373,99.80637
2018-08-14,2018-08-14,0,1.6480803,1,77.33774,1919.6500244140625,1878.6641,1909.550048828125,-95.8269
2018-08-15,2018-08-15,1,94.11971,0,0.004348159,1882.6199951171875,1899.815,1903.93994140625,99.99076
2018-08-16,2018-08-16,1,57.29954,0,0.2322495,1886.52001953125,1885.3104,1885.800048828125,99.19262
2018-08-17,2018-08-17,0,38.14127,0,0.039038062,1882.219970703125,1873.6346,1890.5699462890625,99.795494
2018-08-20,2018-08-20,1,55.734432,0,0.0011444092,1876.7099609375,1881.4514,1880.0,99.995895
2018-08-21,2018-08-21,1,81.12971,0,0.00019073486,1883.4200439453125,1899.8364,1876.6400146484373,99.99953
2018-08-22,2018-08-22,0,19.986477,0,0.927642,1904.9000244140625,1899.8364,1907.1700439453125,91.12903
2018-08-23,2018-08-23,1,97.14454,0,0.06990731,1902.9000244140625,1912.6312,1910.510009765625,99.85618
2018-08-24,2018-08-24,1,99.27982,0,0.011062622,1905.3900146484373,1912.6312,1915.0,99.977715
2018-08-27,2018-08-27,1,91.75926,0,0.06271899,1927.6800537109373,1926.7153,1937.72998046875,99.86339
2018-08-28,2018-08-28,1,99.99045,0,6.854534e-05,1932.8199462890625,1986.4753,1953.449951171875,99.99986
2018-08-29,2018-08-29,0,33.717197,0,0.35165548,1998.0999755859373,1994.0035,1997.4200439453125,97.93563
2018-08-30,2018-08-30,1,78.35842,0,0.26766062,2002.3800048828125,2008.5045,2007.0,99.31915
2018-08-31,2018-08-31,1,73.28502,0,1.014334,2012.7099609375,2008.5045,2026.5,97.2696
2018-09-04,2018-09-04,0,0.45201182,1,96.711296,2039.510009765625,1995.6328,2038.1099853515625,-99.06958
2018-09-05,2018-09-05,0,3.1776905,1,51.673817,1994.8199462890625,1965.3308,2006.510009765625,-88.41347
2018-09-06,2018-09-06,1,60.298832,0,0.08461177,1958.31005859375,1962.2107,1938.7099609375,99.71976
2018-09-07,2018-09-07,0,31.31717,1,75.60711,1952.0699462890625,1940.6884,1971.0,-41.42178
2018-09-10,2018-09-10,1,98.40435,0,0.0048696995,1939.010009765625,1986.4753,1928.27001953125,99.990105
2018-09-11,2018-09-11,0,0.12070835,0,0.039070845,1987.1500244140625,1982.1455,1994.0,51.093952
2018-09-12,2018-09-12,1,54.87376,0,0.3105402,1990.0,1994.0035,2000.0,98.87454
2018-09-13,2018-09-13,0,13.697353,0,12.423828,1989.8699951171875,1971.2708,1992.9300537109373,4.87545
2018-09-14,2018-09-14,0,15.264392,0,29.431412,1970.18994140625,1929.9338,1954.72998046875,-31.696531
