"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2019","616.30","616.40","616.40","616.30","-","0.46%"
"Feb 28, 2019","613.50","613.00","613.50","611.40","0.00K","-0.28%"
"Feb 27, 2019","615.20","616.10","616.10","614.00","0.01K","-0.60%"
"Feb 26, 2019","618.90","616.50","618.90","616.50","-","-0.50%"
"Feb 25, 2019","622.00","623.70","623.70","622.00","-","0.06%"
"Feb 22, 2019","621.60","620.50","621.60","620.50","-","0.14%"
"Feb 21, 2019","620.70","624.30","624.30","620.70","-","-0.56%"
"Feb 20, 2019","624.20","621.30","624.20","621.30","0.06K","0.69%"
"Feb 19, 2019","619.90","622.00","622.00","619.70","0.06K","-0.50%"
"Feb 18, 2019","623.00","624.40","624.40","623.00","-","-0.35%"
"Feb 15, 2019","625.20","621.10","626.00","621.10","0.06K","0.71%"
"Feb 14, 2019","620.80","622.80","622.80","620.80","0.02K","0.24%"
"Feb 13, 2019","619.30","616.40","619.30","616.40","0.02K","0.83%"
"Feb 12, 2019","614.20","615.60","616.00","614.20","0.00K","0.05%"
"Feb 11, 2019","613.90","611.60","613.90","611.60","0.01K","0.79%"
"Feb 08, 2019","609.10","611.00","611.00","609.10","-","-0.28%"
"Feb 07, 2019","610.80","616.70","616.70","610.80","-","-1.10%"
"Feb 06, 2019","617.60","615.10","617.60","615.10","0.01K","-0.08%"
"Feb 05, 2019","618.10","607.30","618.10","607.30","0.01K","2.05%"
"Feb 04, 2019","605.70","605.10","605.70","605.10","-","0.15%"
"Feb 01, 2019","604.80","601.40","604.80","601.40","0.00K","0.73%"
"Jan 31, 2019","600.40","601.50","601.50","600.20","0.00K","0.40%"
"Jan 30, 2019","598.00","591.80","598.00","591.80","0.03K","1.63%"
"Jan 29, 2019","588.40","584.40","589.30","584.40","0.01K","1.26%"
"Jan 28, 2019","581.10","584.80","585.60","581.10","0.01K","-0.94%"
"Jan 25, 2019","586.60","588.60","588.60","586.60","-","-0.12%"
"Jan 24, 2019","587.30","588.30","588.30","587.30","0.03K","-0.31%"
"Jan 23, 2019","589.10","590.60","590.60","589.10","0.09K","-0.87%"
"Jan 22, 2019","594.30","597.50","597.50","594.30","-","-1.05%"
"Jan 21, 2019","600.60","600.20","600.60","600.20","-","0.07%"
"Jan 18, 2019","600.20","600.20","600.20","600.20","-","1.95%"
"Jan 17, 2019","588.70","588.50","588.70","588.50","-","-0.32%"
"Jan 16, 2019","590.60","593.30","593.30","590.60","-","-0.54%"
"Jan 15, 2019","593.80","595.10","595.10","593.80","-","0.59%"
"Jan 14, 2019","590.30","593.60","593.60","590.30","-","-0.91%"
"Jan 11, 2019","595.70","595.70","595.70","595.70","-","-0.38%"
"Jan 10, 2019","598.00","592.30","598.00","592.30","-","0.54%"
"Jan 09, 2019","594.80","595.40","596.10","594.80","0.01K","0.64%"
"Jan 08, 2019","591.00","588.10","591.00","588.10","0.00K","0.78%"
"Jan 07, 2019","586.40","590.30","590.30","586.40","0.00K","-0.39%"
"Jan 04, 2019","588.70","582.40","588.70","582.40","-","2.26%"
"Jan 03, 2019","575.70","577.10","577.10","575.70","-","-0.71%"
"Jan 02, 2019","579.80","579.80","579.80","579.80","-","-0.05%"
"Dec 31, 2018","580.10","580.10","580.10","580.10","-","-0.02%"
"Dec 28, 2018","580.20","572.20","580.50","572.20","0.01K","0.42%"
"Dec 21, 2018","577.80","578.20","578.20","577.80","-","0.09%"
"Dec 20, 2018","577.30","573.90","577.30","573.90","0.00K","-0.84%"
"Dec 19, 2018","582.20","577.20","582.20","577.20","-","1.01%"
"Dec 18, 2018","576.40","579.20","579.20","576.40","-","-1.05%"
"Dec 17, 2018","582.50","587.80","587.80","582.50","-","-1.09%"
"Dec 14, 2018","588.90","586.40","588.90","586.40","-","-0.49%"
"Dec 13, 2018","591.80","591.80","591.80","591.80","-","-0.03%"
"Dec 12, 2018","592.00","588.40","592.00","588.40","-","1.06%"
"Dec 11, 2018","585.80","582.20","585.80","582.20","-","1.33%"
"Dec 10, 2018","578.10","581.60","581.60","578.10","-","-0.84%"
"Dec 07, 2018","583.00","581.90","586.60","581.90","0.02K","1.15%"
"Dec 06, 2018","576.40","590.40","590.40","576.40","-","-3.16%"
"Dec 05, 2018","595.20","597.70","597.70","595.20","-","-1.52%"
"Dec 04, 2018","604.40","610.00","610.00","604.40","0.26K","-0.56%"
"Dec 03, 2018","607.80","610.00","610.00","607.80","0.00K","1.28%"
"Nov 30, 2018","600.10","604.60","604.60","600.10","-","-0.88%"
"Nov 29, 2018","605.40","606.10","608.00","605.40","0.00K","0.46%"
"Nov 28, 2018","602.60","606.70","606.70","602.60","0.35K","-0.17%"
"Nov 27, 2018","603.60","605.40","605.40","603.60","1.00K","-0.30%"
"Nov 26, 2018","605.40","603.30","605.40","603.30","-","1.20%"
"Nov 23, 2018","598.20","598.30","598.30","598.20","-","-0.13%"
"Nov 22, 2018","599.00","604.00","604.00","599.00","0.00K","-1.11%"
"Nov 21, 2018","605.70","597.90","605.70","597.90","0.80K","1.49%"
"Nov 20, 2018","596.80","599.00","599.00","596.80","0.07K","-0.78%"
"Nov 19, 2018","601.50","604.20","604.20","601.50","-","-0.18%"
"Nov 16, 2018","602.60","608.40","608.40","602.60","-","-0.36%"
"Nov 15, 2018","604.80","606.40","606.40","604.80","-","0.30%"
"Nov 14, 2018","603.00","600.30","603.00","600.30","-","-0.25%"
"Nov 13, 2018","604.50","606.30","606.30","604.50","-","-0.05%"
"Nov 12, 2018","604.80","613.90","613.90","604.80","-","-0.66%"
"Nov 09, 2018","608.80","608.60","608.80","608.60","-","-0.57%"
"Nov 08, 2018","612.30","611.50","612.30","611.50","-","0.46%"
"Nov 07, 2018","609.50","607.20","609.50","607.20","-","1.03%"
"Nov 06, 2018","603.30","608.80","608.80","603.30","-","-0.79%"
"Nov 05, 2018","608.10","606.60","608.10","606.60","-","0.13%"
"Nov 02, 2018","607.30","615.20","615.20","607.30","0.04K","-0.30%"
"Nov 01, 2018","609.10","608.30","609.10","608.30","-","-0.21%"
"Oct 31, 2018","610.40","610.10","611.30","610.10","0.24K","1.33%"
"Oct 30, 2018","602.40","603.80","603.80","602.40","-","0.12%"
"Oct 29, 2018","601.70","599.70","602.90","599.70","-","1.23%"
"Oct 26, 2018","594.40","593.80","594.40","593.80","-","-0.87%"
"Oct 25, 2018","599.60","591.20","599.60","591.20","-","0.60%"
"Oct 24, 2018","596.00","597.60","597.60","596.00","-","0.10%"
"Oct 23, 2018","595.40","598.30","598.30","595.40","-","-1.31%"
"Oct 22, 2018","603.30","605.90","605.90","603.30","-","-0.03%"
"Oct 19, 2018","603.50","603.40","603.50","603.40","-","0.32%"
"Oct 18, 2018","601.60","603.20","604.00","601.60","0.00K","-0.33%"
"Oct 17, 2018","603.60","605.60","605.60","603.60","-","-0.13%"
"Oct 16, 2018","604.40","600.60","604.40","600.60","-","0.45%"
"Oct 15, 2018","601.70","599.10","601.70","599.10","-","0.50%"
"Oct 12, 2018","598.70","601.60","601.60","598.70","0.00K","-0.18%"
"Oct 11, 2018","599.80","601.50","601.50","599.80","-","-1.80%"
"Oct 10, 2018","610.80","617.50","617.50","610.80","-","-1.29%"
"Oct 09, 2018","618.80","619.60","619.60","618.80","-","0.02%"
"Oct 08, 2018","618.70","618.70","618.70","618.70","-","-1.10%"
"Oct 05, 2018","625.60","633.60","633.60","625.60","-","-1.42%"
"Oct 04, 2018","634.60","640.40","640.40","634.60","-","-1.15%"
"Oct 03, 2018","642.00","640.00","642.00","640.00","-","0.52%"
"Oct 02, 2018","638.70","637.50","638.70","637.50","-","-0.31%"
"Oct 01, 2018","640.70","639.10","640.70","639.10","-","-0.14%"
"Sep 28, 2018","641.60","643.80","643.80","641.60","-","-0.48%"
"Sep 27, 2018","644.70","640.50","644.70","640.50","-","0.42%"
"Sep 26, 2018","642.00","640.40","642.00","640.40","-","0.09%"
"Sep 25, 2018","641.40","639.20","641.40","639.20","-","0.66%"
"Sep 24, 2018","637.20","638.30","639.30","637.20","0.00K","-0.41%"
"Sep 21, 2018","639.80","632.70","639.80","632.70","-","1.62%"
"Sep 20, 2018","629.60","627.60","629.60","627.60","0.00K","0.51%"
"Sep 19, 2018","626.40","625.30","626.40","625.30","0.00K","0.47%"
"Sep 18, 2018","623.50","623.00","623.50","623.00","-","-0.05%"
"Sep 17, 2018","623.80","622.60","623.80","622.60","0.00K","-0.06%"
"Sep 14, 2018","624.20","624.60","624.60","624.20","-","0.34%"
"Sep 13, 2018","622.10","624.40","624.40","622.10","-","-0.40%"
"Sep 12, 2018","624.60","621.20","624.60","621.20","-","0.48%"
"Sep 11, 2018","621.60","621.00","621.60","621.00","-","-0.03%"
"Sep 10, 2018","621.80","621.20","621.80","621.20","-","0.06%"
"Sep 07, 2018","621.40","625.60","625.60","621.40","-","-0.58%"
"Sep 06, 2018","625.00","629.00","629.00","625.00","-","-0.81%"
"Sep 05, 2018","630.10","634.10","634.10","630.10","-","-1.04%"
"Sep 04, 2018","636.70","642.20","642.20","636.70","-","-0.62%"
"Sep 03, 2018","640.70","637.10","640.70","637.10","-","0.98%"
"Aug 31, 2018","634.50","639.00","639.00","634.50","-","-1.12%"
"Aug 30, 2018","641.70","642.30","642.30","641.70","-","-0.60%"
"Aug 29, 2018","645.60","651.10","651.10","645.60","-","-0.72%"
"Aug 28, 2018","650.30","650.70","650.70","650.00","0.00K","0.03%"
"Aug 27, 2018","650.10","650.10","650.10","650.10","-","0.53%"
"Aug 24, 2018","646.70","645.60","646.70","645.60","-","0.15%"
"Aug 23, 2018","645.70","646.70","646.70","645.70","-","-0.08%"
"Aug 22, 2018","646.20","643.20","647.10","643.20","0.02K","0.09%"
"Aug 21, 2018","645.60","645.60","645.60","645.60","-","-0.32%"
"Aug 20, 2018","647.70","645.60","647.70","645.60","-","0.40%"
"Aug 17, 2018","645.10","644.70","645.10","644.70","-","0.05%"
"Aug 16, 2018","644.80","640.80","644.80","640.80","-","1.07%"
"Aug 15, 2018","638.00","647.90","647.90","638.00","-","-1.57%"
"Aug 14, 2018","648.20","650.90","650.90","648.20","-","-0.35%"
"Aug 13, 2018","650.50","650.50","650.50","650.50","-","-0.32%"
"Aug 10, 2018","652.60","655.70","655.70","652.60","-","-0.99%"
"Aug 09, 2018","659.10","659.10","659.10","659.10","-","0.05%"
"Aug 08, 2018","658.80","653.70","658.80","653.70","-","0.75%"
"Aug 07, 2018","653.90","650.90","656.00","650.90","0.02K","0.74%"
"Aug 06, 2018","649.10","649.20","649.20","649.00","0.00K","-0.05%"
"Aug 03, 2018","649.40","643.60","649.40","643.60","-","1.23%"
"Aug 02, 2018","641.50","644.40","644.40","641.50","-","-0.99%"
"Aug 01, 2018","647.90","656.20","656.20","647.90","-","-1.29%"
"Jul 31, 2018","656.40","652.50","656.40","652.50","-","0.71%"
"Jul 30, 2018","651.80","649.10","651.80","649.10","-","-0.03%"
"Jul 27, 2018","652.00","650.60","652.00","650.60","-","0.42%"
"Jul 26, 2018","649.30","648.50","649.30","648.50","-","0.15%"
"Jul 25, 2018","648.30","652.50","652.50","648.30","-","-0.70%"
"Jul 24, 2018","652.90","649.30","652.90","649.30","-","0.73%"
"Jul 23, 2018","648.20","647.60","648.20","647.60","-","-0.34%"
"Jul 20, 2018","650.40","650.70","650.70","650.40","-","-0.03%"
"Jul 19, 2018","650.60","649.40","650.60","649.40","-","0.06%"
"Jul 18, 2018","650.20","648.30","650.20","648.30","-","0.67%"
"Jul 17, 2018","645.90","642.30","645.90","642.30","-","0.37%"
"Jul 16, 2018","643.50","648.30","648.30","643.50","-","-0.83%"
"Jul 13, 2018","648.90","651.20","651.20","648.90","-","0.14%"
"Jul 12, 2018","648.00","644.00","648.00","644.00","-","0.79%"
"Jul 11, 2018","642.90","646.50","646.50","642.90","-","-1.32%"
"Jul 10, 2018","651.50","651.50","652.00","651.50","0.00K","0.06%"
"Jul 09, 2018","651.10","647.30","651.10","647.00","0.00K","0.95%"
"Jul 06, 2018","645.00","646.00","646.00","645.00","-","0.22%"
"Jul 05, 2018","643.60","641.80","643.60","641.80","-","0.41%"
"Jul 04, 2018","641.00","640.70","641.00","640.70","-","-0.31%"
"Jul 03, 2018","643.00","642.20","643.00","642.20","-","0.66%"
"Jul 02, 2018","638.80","641.20","641.20","638.80","-","-1.57%"
"Jun 29, 2018","649.00","650.00","651.00","649.00","0.00K","0.67%"
"Jun 28, 2018","644.70","644.70","644.70","644.70","-","0.88%"
"Jun 27, 2018","639.10","639.10","639.10","639.10","-","0.19%"
"Jun 26, 2018","637.90","637.40","637.90","637.40","-","0.49%"
"Jun 25, 2018","634.80","634.80","634.80","634.80","-","-2.40%"
"Jun 22, 2018","650.40","641.40","650.40","641.40","-","1.75%"
"Jun 21, 2018","639.20","647.50","647.50","639.20","-","-0.93%"
"Jun 20, 2018","645.20","648.00","648.00","648.00","0.00K","0.31%"
"Jun 19, 2018","643.20","638.50","643.20","638.50","-","-0.37%"
"Jun 18, 2018","645.60","645.60","645.60","645.60","-","-0.03%"
"Jun 15, 2018","645.80","657.70","657.70","645.80","-","-1.79%"
"Jun 14, 2018","657.60","657.60","657.60","657.60","-","0.94%"
"Jun 13, 2018","651.50","650.90","651.50","650.90","-","0.02%"
"Jun 12, 2018","651.40","655.90","655.90","651.40","-","-0.50%"
"Jun 11, 2018","654.70","652.20","654.70","652.20","-","0.57%"
"Jun 08, 2018","651.00","651.20","651.20","651.00","0.14K","-0.06%"
"Jun 07, 2018","651.40","651.40","651.40","651.40","-","0.03%"
"Jun 06, 2018","651.20","650.10","650.10","650.10","0.00K","0.31%"
"Jun 05, 2018","649.20","650.50","650.50","650.50","0.00K","-0.67%"
"Jun 04, 2018","653.60","653.00","653.60","653.00","-","0.55%"
"Jun 01, 2018","650.00","652.50","652.50","650.00","-","0.42%"
"May 31, 2018","647.30","651.40","651.40","649.00","0.01K","-0.22%"
"May 30, 2018","648.70","643.90","648.70","643.90","-","0.70%"
"May 29, 2018","644.20","646.70","646.70","644.20","-","-0.77%"
"May 28, 2018","649.20","654.30","654.30","654.30","0.01K","-0.44%"
"May 25, 2018","652.10","653.50","653.50","652.10","-","0.18%"
"May 24, 2018","650.90","657.50","657.50","650.90","-","-0.94%"
"May 23, 2018","657.10","662.40","662.40","657.10","-","-1.07%"
"May 22, 2018","664.20","662.80","664.20","662.80","-","0.20%"
"May 21, 2018","662.90","662.90","662.90","662.90","-","0.97%"
"May 18, 2018","656.50","655.60","656.50","655.60","-","0.02%"
"May 17, 2018","656.40","651.10","656.40","651.10","-","0.71%"
"May 16, 2018","651.80","651.70","651.80","651.70","-","0.11%"
"May 15, 2018","651.10","648.00","651.10","648.00","-","0.17%"
"May 14, 2018","650.00","650.60","650.60","650.00","-","-0.15%"
"May 11, 2018","651.00","650.00","650.00","650.00","0.00K","0.20%"
"May 10, 2018","649.70","645.90","645.90","645.90","0.03K","0.89%"
"May 09, 2018","644.00","643.20","643.20","643.20","0.03K","1.35%"
"May 08, 2018","635.40","637.10","637.10","635.40","-","-0.50%"
"May 07, 2018","638.60","634.00","634.00","634.00","0.01K","0.46%"
"May 04, 2018","635.70","632.40","635.70","632.40","-","0.82%"
"May 03, 2018","630.50","633.40","633.40","630.50","-","-0.50%"
"May 02, 2018","633.70","633.70","633.70","633.70","-","0.48%"
"Apr 30, 2018","630.70","633.00","633.00","633.00","0.00K","0.03%"
"Apr 27, 2018","630.50","623.80","630.50","623.80","-","1.14%"
"Apr 26, 2018","623.40","619.00","620.50","619.00","0.09K","0.65%"
"Apr 25, 2018","619.40","619.20","619.50","615.70","0.09K","-0.61%"
"Apr 24, 2018","623.20","622.30","623.20","622.30","-","0.37%"
"Apr 23, 2018","620.90","620.90","620.90","620.90","-","0.45%"
"Apr 20, 2018","618.10","617.60","618.10","617.60","-","0.50%"
"Apr 19, 2018","615.00","615.50","615.50","615.50","0.00K","0.23%"
"Apr 18, 2018","613.60","608.50","608.50","608.50","0.00K","1.27%"
"Apr 17, 2018","605.90","603.50","605.90","603.50","-","0.43%"
"Apr 16, 2018","603.30","608.60","608.60","603.30","-","-0.94%"
"Apr 13, 2018","609.00","608.20","608.20","608.20","0.00K","0.10%"
"Apr 12, 2018","608.40","607.70","607.70","607.70","0.00K","0.10%"
"Apr 11, 2018","607.80","607.00","607.00","607.00","0.00K","-0.12%"
"Apr 10, 2018","608.50","605.80","605.80","605.80","0.00K","0.95%"
"Apr 09, 2018","602.80","602.50","602.50","602.20","0.00K","0.17%"
"Apr 06, 2018","601.80","603.60","603.60","603.60","0.00K","-0.27%"
"Apr 05, 2018","603.40","598.80","598.80","598.80","0.00K","2.48%"
"Apr 04, 2018","588.80","586.40","586.60","586.40","0.00K","0.05%"
"Apr 03, 2018","588.50","588.50","588.50","588.50","-","-0.56%"
"Mar 29, 2018","591.80","591.80","591.80","591.80","0.00K","0.42%"
"Mar 28, 2018","589.30","581.60","589.30","581.60","-","0.67%"
"Mar 27, 2018","585.40","585.00","585.00","585.00","0.00K","1.60%"
"Mar 26, 2018","576.20","580.90","580.90","580.90","0.02K","-0.50%"
"Mar 23, 2018","579.10","579.40","579.40","579.10","-","-0.43%"
"Mar 22, 2018","581.60","581.60","581.60","581.60","-","-1.17%"
"Mar 21, 2018","588.50","589.70","589.70","588.50","-","-0.54%"
"Mar 20, 2018","591.70","590.30","591.70","590.30","-","0.58%"
"Mar 19, 2018","588.30","596.30","596.30","596.30","0.00K","-1.75%"
"Mar 16, 2018","598.80","597.00","597.00","597.00","0.00K","0.39%"
"Mar 15, 2018","596.50","597.80","597.80","597.80","0.00K","0.07%"
"Mar 14, 2018","596.10","596.10","596.10","596.10","-","-0.10%"
"Mar 13, 2018","596.70","602.20","602.20","602.20","0.00K","-0.96%"
"Mar 12, 2018","602.50","604.00","604.00","603.00","0.00K","-0.22%"
"Mar 09, 2018","603.80","602.00","602.00","601.90","0.00K","0.33%"
"Mar 08, 2018","601.80","597.50","601.80","597.50","-","0.75%"
"Mar 07, 2018","597.30","598.80","599.50","598.80","0.04K","0.13%"
"Mar 06, 2018","596.50","599.90","600.00","599.90","0.00K","0.47%"
"Mar 05, 2018","593.70","589.70","593.70","589.70","-","0.58%"
