"Date","Price","Open","High","Low","Change %"
"Mar 01, 2019","1.1377","1.1372","1.1410","1.1353","0.05%"
"Feb 28, 2019","1.1371","1.1371","1.1421","1.1357","0.02%"
"Feb 27, 2019","1.1369","1.1396","1.1404","1.1360","-0.16%"
"Feb 26, 2019","1.1387","1.1366","1.1404","1.1343","0.25%"
"Feb 25, 2019","1.1359","1.1338","1.1369","1.1323","0.14%"
"Feb 22, 2019","1.1343","1.1337","1.1360","1.1315","0.06%"
"Feb 21, 2019","1.1336","1.1338","1.1368","1.1320","-0.01%"
"Feb 20, 2019","1.1337","1.1342","1.1374","1.1324","-0.04%"
"Feb 19, 2019","1.1341","1.1310","1.1358","1.1274","0.27%"
"Feb 18, 2019","1.1311","1.1288","1.1337","1.1284","0.14%"
"Feb 15, 2019","1.1295","1.1295","1.1313","1.1233","-0.05%"
"Feb 14, 2019","1.1301","1.1262","1.1313","1.1247","0.30%"
"Feb 13, 2019","1.1267","1.1326","1.1346","1.1260","-0.51%"
"Feb 12, 2019","1.1325","1.1280","1.1342","1.1256","0.43%"
"Feb 11, 2019","1.1276","1.1328","1.1331","1.1264","-0.48%"
"Feb 08, 2019","1.1330","1.1346","1.1355","1.1320","-0.10%"
"Feb 07, 2019","1.1341","1.1360","1.1375","1.1322","-0.18%"
"Feb 06, 2019","1.1362","1.1406","1.1420","1.1359","-0.46%"
"Feb 05, 2019","1.1415","1.1442","1.1456","1.1400","-0.20%"
"Feb 04, 2019","1.1438","1.1457","1.1467","1.1421","-0.16%"
"Feb 01, 2019","1.1456","1.1447","1.1490","1.1433","0.09%"
"Jan 31, 2019","1.1446","1.1480","1.1517","1.1434","-0.29%"
"Jan 30, 2019","1.1479","1.1433","1.1503","1.1404","0.41%"
"Jan 29, 2019","1.1432","1.1428","1.1453","1.1410","-0.02%"
"Jan 28, 2019","1.1434","1.1404","1.1445","1.1388","0.17%"
"Jan 25, 2019","1.1415","1.1306","1.1421","1.1298","0.96%"
