"ClientAccountID","Symbol","Description","ReportDate","Quantity","MarkPrice","PositionValue"
"DU1507426","AMZN","AMAZON.COM INC","20191129","8","1800.8","14406.4"
"DU1507426","CI","CIGNA CORP","20191129","75","199.92","14994"
"DU1507426","CMA","COMERICA INC","20191129","410","70.41","28868.1"
"DU1507426","DHR","DANAHER CORP","20191129","106","145.98","15473.88"
"DU1507426","FBHS","FORTUNE BRANDS HOME & SECURI","20191129","234","63.26","14802.84"
"DU1507426","GM","GENERAL MOTORS CO","20191129","408","36","14688"
"DU1507426","ILMN","ILLUMINA INC","20191129","46","320.76","14754.96"
"DU1507426","LUV","SOUTHWEST AIRLINES CO","20191129","259","57.64","14928.76"
"DU1507426","MAR","MARRIOTT INTERNATIONAL -CL A","20191129","110","140.36","15439.6"
"DU1507426","MAS","MASCO CORP","20191129","326","46.55","15175.3"
"DU1507426","MCK","MCKESSON CORP","20191129","99","144.64","14319.36"
"DU1507426","MTB","M & T BANK CORP","20191129","88","164.74","14497.12"
"DU1507426","NCLH","NORWEGIAN CRUISE LINE HOLDIN","20191129","278","53.64","14911.92"
"DU1507426","NWSA","NEWS CORP - CLASS A","20191129","1150","12.88","14812"
"DU1507426","RJF","RAYMOND JAMES FINANCIAL INC","20191129","166","89.82","14910.12"
"DU1507426","SIVB","SVB FINANCIAL GROUP","20191129","65","231.73","15062.45"
"DU1507426","SWKS","SKYWORKS SOLUTIONS INC","20191129","153","98.3","15039.9"
"DU1507426","TWTR","TWITTER INC","20191129","473","30.91","14620.43"
"DU1507426","UAA","UNDER ARMOUR INC-CLASS A","20191129","771","18.89","14564.19"
"DU1507426","WAB","WABTEC CORP","20191129","183","78.57","14378.31"
"DU1507426","ZION","ZIONS BANCORP NA","20191129","591","49.78","29419.98"
"DU1507426","CCL","CARNIVAL CORP","20191129","-331","45.08","-14921.48"
"DU1507426","CHRW","C.H. ROBINSON WORLDWIDE INC","20191129","-190","76.85","-14601.5"
"DU1507426","CNC","CENTENE CORP","20191129","-252","60.47","-15238.44"
"DU1507426","D","DOMINION ENERGY INC","20191129","-178","83.11","-14793.58"
"DU1507426","DHI","DR HORTON INC","20191129","-273","55.35","-15110.55"
"DU1507426","EFX","EQUIFAX INC","20191129","-105","139.64","-14662.2"
"DU1507426","FISV","FISERV INC","20191129","-128","116.24","-14878.72"
"DU1507426","GPC","GENUINE PARTS CO","20191129","-141","104.37","-14716.17"
"DU1507426","HBI","HANESBRANDS INC.","20191129","-22","15.07","-331.54"
"DU1507426","HOG","HARLEY-DAVIDSON INC","20191129","-400","36.38","-14552"
"DU1507426","HPE","HEWLETT PACKARD ENTERPRISE","20191129","-927","15.83","-14674.41"
"DU1507426","HUM","HUMANA INC","20191129","-45","341.23","-15355.35"
"DU1507426","KMX","CARMAX INC","20191129","-150","97.26","-14589"
"DU1507426","KO","COCA-COLA CO/THE","20191129","-282","53.4","-15058.8"
"DU1507426","MO","ALTRIA GROUP INC","20191129","-297","49.7","-14760.9"
"DU1507426","NDAQ","NASDAQ INC","20191129","-143","104.8","-14986.4"
"DU1507426","NFLX","NETFLIX INC","20191129","-47","314.66","-14789.02"
"DU1507426","PM","PHILIP MORRIS INTERNATIONAL","20191129","-178","82.93","-14761.54"
"DU1507426","PSX","PHILLIPS 66","20191129","-125","114.72","-14340"
"DU1507426","REGN","REGENERON PHARMACEUTICALS","20191129","-86","369","-31734"
"DU1507426","SEE","SEALED AIR CORP","20191129","-392","37.73","-14790.16"
"DU1507426","SHW","SHERWIN-WILLIAMS CO/THE","20191129","-25","583.13","-14578.25"
"DU1507426","TSN","TYSON FOODS INC-CL A","20191129","-164","89.89","-14741.96"
"DU1507426","VMC","VULCAN MATERIALS CO","20191129","-103","141.87","-14612.61"
"DU1507426","VNO","VORNADO REALTY TRUST","20191129","-229","64.57","-14786.53"
"DU1507426","VRTX","VERTEX PHARMACEUTICALS INC","20191129","-71","221.75","-15744.25"
