"Symbol","PreviousCloseQuantity","PrevClosePrice","CloseQuantity","ClosePrice","TransactionMtmPnl","PriorOpenMtmPnl","Commissions","Total"
"AMZN","8","1818.51","8","1800.8","0","-141.68","0","-141.68"
"CAH","266","55.22","0","55.03","21.28","-50.54","-1.665100682","-30.925100682"
"CCL","-331","45.22","-331","45.08","0","46.34","0","46.34"
"CHRW","0","0","-190","76.85","175.1","0","-1.32848562","173.77151438"
"CI","75","200.03","75","199.92","0","-8.25","0","-8.25"
"CMA","410","70.94","410","70.41","0","-217.3","0","-217.3"
"CNC","-252","60.44","-252","60.47","0","-7.56","0","-7.56"
"D","0","0","-178","83.11","62.3","0","-1.328698716","60.971301284"
"DHI","-273","55.3","-273","55.35","0","-13.65","0","-13.65"
"DHR","106","146.59","106","145.98","0","-64.66","0","-64.66"
"EFX","0","0","-105","139.64","151.05","0","-1.319129275","149.730870725"
"FBHS","234","64.38","234","63.26","0","-262.08","0","-262.08"
"FISV","-128","116.32","-128","116.24","0","10.24","0","10.24"
"GM","0","0","408","36","32.64","0","-2.04","30.6"
"GPC","0","0","-141","104.37","90.24","0","-1.323271687","88.916728313"
"HBI","-22","15.4","-22","15.07","0","7.26","0","7.26"
"HOG","0","0","-400","36.38","208","0","-2.353132","205.646868"
"HPE","0","0","-927","15.83","74.16","0","-5.050608399","69.109391601"
"HUM","-45","341.94","-45","341.23","0","31.95","0","31.95"
"ILMN","0","0","46","320.76","35.42","0","-1","34.42"
"KMX","-150","98.31","-150","97.26","0","157.5","0","157.5"
"KO","-282","53.95","-282","53.4","0","155.1","0","155.1"
"LUV","259","57.75","259","57.64","0","-28.49","0","-28.49"
"MAR","110","141.34","110","140.36","0","-107.8","0","-107.8"
"MAS","326","47.13","326","46.55","0","-189.08","0","-189.08"
"MCK","99","146.29","99","144.64","0","-163.35","0","-163.35"
"MO","0","0","-297","49.7","-14.32","0","-1.825597206","-16.145597206"
"MTB","0","0","88","164.74","-110.12","0","-1","-111.12"
"NCLH","278","54.64","278","53.64","0","-278","0","-278"
"NDAQ","-143","104.25","-143","104.8","0","-78.65","0","-78.65"
"NFLX","0","0","-47","314.66","30.08","0","-1.31234837","28.76765163"
"NWSA","1150","13.07","1150","12.88","0","-218.5","0","-218.5"
"PM","-178","82.48","-178","82.93","0","-80.1","0","-80.1"
"PSX","-125","114.69","-125","114.72","0","-3.75","0","-3.75"
"REGN","-86","371.58","-86","369","0","221.88","0","221.88"
"RJF","166","90.48","166","89.82","0","-109.56","0","-109.56"
"SEE","0","0","-392","37.73","-39.2","0","-2.311992872","-41.511992872"
"SHW","-25","584.86","-25","583.13","0","43.25","0","43.25"
"SIVB","65","234.87","65","231.73","0","-204.1","0","-204.1"
"SWKS","153","99.63","153","98.3","0","-203.49","0","-203.49"
"TSN","0","0","-164","89.89","3.28","0","-1.324742468","1.955257532"
"TWTR","0","0","473","30.91","-80.41","0","-2.365","-82.775"
"UAA","0","0","771","18.89","-191.46","0","-3.855","-195.315"
"VMC","0","0","-103","141.87","164.8","0","-1.318149387","163.481850613"
"VNO","0","0","-229","64.57","-45.22","0","-1.477396117","-46.697396117"
"VRTX","-71","220.06","-71","221.75","0","-119.99","0","-119.99"
"WAB","183","79.09","183","78.57","0","-95.16","0","-95.16"
"XRX","-380","38.8","0","38.93","57","-49.4","-1.9","5.7"
"ZION","591","50.07","591","49.78","0","-171.39","0","-171.39"
"","","","","","0","0","0","-1604.488652799"
