"ClientAccountID"
"DU1507426"
"ReportDate","Total","TotalLong","TotalShort"
"20191031","504832.390233429","680071.015561429","-175238.625328"
"20191101","520542.857831429","680901.357755429","-160358.499924"
"20191104","517126.420065429","679944.694657429","-162818.274592"
"20191105","518790.014601112","864379.082637112","-345589.068036"
"20191106","513982.217699105","908570.549623105","-394588.331924"
"20191107","509460.715987105","907382.605687105","-397921.8897"
"20191108","513197.393920105","911827.633686105","-398630.239766"
"20191111","512429.252918105","909783.995880105","-397354.742962"
"20191112","510763.179434194","1202405.804060194","-691642.624626"
"20191113","518763.56455237","1299435.59015037","-780672.025598"
"20191114","522660.387840927","1386142.146634927","-863481.758794"
"20191115","521443.479651539","1433642.128379539","-912198.648728"
"20191118","528591.355885503","566027.824893503","-37436.469008"
"20191119","528509.494011871","715583.070103871","-187073.576092"
"20191120","527853.203151791","729633.652159791","-201780.449008"
"20191121","528398.991406769","744599.061732769","-216200.070326"
"20191122","529207.28594885","775897.07925685","-246689.793308"
"20191125","529944.37873585","778531.08141785","-248586.702682"
"20191126","529226.56594885","777407.68925685","-248181.123308"
"20191127","529695.013304785","793695.612790785","-264000.599486"
"20191128","529695.126874785","793729.471500785","-264034.344626"
"20191129","528090.740434986","953522.675686986","-425431.935252"
"ClientAccountID","FromDate","ToDate","StartingValue","Mtm","Realized","DepositsWithdrawals","EndingValue"
"DU1507426","20191101","20191129","504832.390233429","23898.25","0","0","528090.740434986"
