iter	MultiClass
0	1.091390702
1	1.085625763
2	1.081126507
3	1.076971719
4	1.07344037
5	1.070643206
6	1.068145622
7	1.066190713
8	1.064293843
9	1.062822648
10	1.061239919
11	1.059847754
12	1.05870297
13	1.057656908
14	1.056820229
15	1.055819536
16	1.054934913
17	1.054117647
18	1.05342089
19	1.052800901
20	1.052192234
21	1.051529215
22	1.050918135
23	1.05036161
24	1.049845742
25	1.049586835
26	1.049160077
27	1.048588459
28	1.048006306
29	1.047617631
30	1.047071061
31	1.046755657
32	1.04638103
33	1.046068843
34	1.045730763
35	1.045488306
36	1.045205936
37	1.044913194
38	1.044614144
39	1.044243904
40	1.043765835
41	1.043396033
42	1.04308634
43	1.042690997
44	1.042316453
45	1.041986479
46	1.041756158
47	1.041438332
48	1.041236731
49	1.041001041
50	1.040737077
51	1.040538218
52	1.04014245
53	1.039930599
54	1.039602304
55	1.039396049
56	1.039145293
57	1.039013754
58	1.038715934
59	1.038524899
60	1.038256789
61	1.038046929
62	1.037854609
63	1.037716562
64	1.037322466
65	1.037196816
66	1.037009766
67	1.036808737
68	1.036589142
69	1.036393741
70	1.036230798
71	1.035968353
72	1.035825671
73	1.035581305
74	1.035360492
75	1.035184959
76	1.035041863
77	1.034932137
78	1.034517562
79	1.034356082
80	1.034036485
81	1.033881636
82	1.033693684
83	1.033612608
84	1.033490077
85	1.033253315
86	1.033132195
87	1.033089761
88	1.032853844
89	1.032688967
90	1.032544057
91	1.032278621
92	1.031964188
93	1.031806713
94	1.031674447
95	1.031552473
96	1.03140313
97	1.031214366
98	1.031062277
99	1.03090936
100	1.030685512
101	1.030511391
102	1.030368975
103	1.03016004
104	1.029890131
105	1.029772048
106	1.029407895
107	1.029330629
108	1.029039763
109	1.028751741
110	1.028406117
111	1.028143922
112	1.02785201
113	1.027731686
114	1.027489204
115	1.027348506
116	1.02716218
117	1.026959682
118	1.026596545
119	1.026295656
120	1.025897521
121	1.025691261
122	1.025487729
123	1.025185634
124	1.024992067
125	1.024707575
126	1.024520696
127	1.024300573
128	1.024108295
129	1.024008127
130	1.023895203
131	1.023595313
132	1.023451355
133	1.02320127
134	1.022742029
135	1.022222994
136	1.022026676
137	1.021643278
138	1.021519582
139	1.021292852
140	1.020923353
141	1.020661465
142	1.020440029
143	1.020268687
144	1.019887062
145	1.019622267
146	1.019352027
147	1.019220831
148	1.018923551
149	1.018741667
150	1.018499751
151	1.018180434
152	1.017823054
153	1.01769627
154	1.0173435
155	1.016923027
156	1.016689646
157	1.016583351
158	1.016243748
159	1.015895516
160	1.015723448
161	1.015455918
162	1.015230855
