iter	Passed	Remaining
732	23272	8477
733	23288	8439
734	23304	8402
735	23320	8364
736	23337	8327
737	23357	8292
738	23376	8255
739	23394	8219
740	23410	8182
741	23428	8146
742	23445	8109
743	23462	8073
744	23479	8036
745	23496	8000
746	23513	7963
747	23529	7927
748	23546	7890
749	23562	7854
750	23578	7817
751	23595	7781
752	23612	7745
753	23628	7708
754	23644	7672
755	23660	7636
756	23677	7600
757	23694	7564
758	23711	7529
759	23728	7493
760	23745	7457
761	23763	7422
762	23779	7386
763	23799	7351
764	23816	7316
765	23833	7280
766	23853	7246
767	23869	7210
768	23885	7174
769	23904	7140
770	23920	7104
771	23937	7069
772	23956	7035
773	23971	6999
774	23988	6964
775	24006	6929
776	24022	6894
777	24037	6859
778	24056	6824
779	24073	6789
780	24090	6755
781	24111	6721
782	24127	6686
783	24145	6652
784	24161	6617
785	24176	6582
786	24194	6548
787	24210	6513
788	24226	6478
789	24243	6444
790	24260	6410
791	24277	6375
792	24294	6341
793	24310	6307
794	24330	6273
795	24351	6240
796	24373	6207
797	24395	6175
798	24417	6142
799	24441	6110
800	24462	6077
801	24484	6044
802	24504	6011
803	24521	5977
804	24538	5944
805	24556	5910
806	24572	5876
807	24590	5843
808	24608	5809
809	24624	5776
810	24642	5742
811	24658	5709
812	24674	5675
813	24692	5642
814	24710	5609
815	24726	5575
816	24744	5542
817	24760	5509
818	24777	5475
819	24794	5442
820	24810	5409
821	24825	5375
822	24844	5343
823	24859	5309
824	24875	5276
825	24894	5244
826	24909	5210
827	24924	5177
828	24943	5145
829	24960	5112
830	24976	5079
831	24995	5047
832	25010	5014
833	25025	4981
834	25043	4948
835	25060	4916
836	25075	4883
837	25094	4851
838	25110	4818
839	25126	4785
840	25145	4753
841	25161	4721
842	25176	4688
843	25195	4657
844	25211	4624
845	25227	4592
846	25245	4560
847	25261	4528
848	25277	4495
849	25296	4464
850	25313	4432
851	25330	4400
852	25348	4368
853	25364	4336
854	25380	4304
855	25400	4272
856	25417	4241
857	25434	4209
858	25451	4177
859	25467	4145
860	25485	4114
861	25501	4082
862	25517	4050
863	25535	4019
864	25552	3987
865	25568	3956
866	25585	3924
867	25602	3893
868	25618	3861
869	25636	3830
870	25651	3799
871	25667	3767
872	25684	3736
873	25702	3705
874	25718	3674
875	25737	3643
876	25754	3612
877	25771	3580
878	25788	3549
879	25803	3518
880	25820	3487
881	25835	3456
882	25850	3425
883	25866	3394
884	25883	3363
885	25899	3332
886	25916	3301
887	25933	3270
888	25947	3239
889	25964	3209
890	25981	3178
891	25998	3147
892	26015	3117
893	26033	3086
