,Date,Vix,Varop_Spy,Varhl_spy,Varop_vix,Varhl_vix,RSI,75 - RSI,RSI - 25,BBD_Delta_Up,delta5_8,delta8_10,delta10_12,delta12_15,delta15_30,delta30_35,delta35_40,delta40_45,delta45_50,Spread,Peaks,Valley,delta_tsf,Forcast Oscillator,target_up,target_down,target_value
0,20170601  15:30:00,10.37,-0.8399999999996908,4.559999999999945,-0.019999999999999574,0.3699999999999992,,,,,,,,,,,,,,2406.12,1,0,,0.0,0,0,2416.49
1,20170601  16:00:00,10.45,1.2100000000000364,3.4099999999998545,-0.1999999999999993,0.3099999999999987,,,,,,,,,,,,,,2404.82,0,1,,,0,0,2415.27
2,20170601  17:00:00,10.23,-4.9699999999998,5.349999999999909,-0.09999999999999964,0.3199999999999985,,,,,,,,,,,,,,2409.89,0,0,,,0,0,2420.12
3,20170601  18:00:00,10.27,-3.4200000000000728,3.75,-0.08000000000000007,0.16999999999999993,,,,,,,,,,,,,,2413.28,0,0,,,0,0,2423.55
4,20170601  19:00:00,10.13,-1.569999999999709,2.630000000000109,0.14999999999999858,0.2599999999999998,,,,,,,,,,,,,,2414.97,0,0,,,0,0,2425.1
5,20170601  20:00:00,10.12,0.31999999999970896,2.2600000000002183,0.02000000000000135,0.10999999999999943,,,,,,,,,,,,,,2414.6800000000003,0,0,,,0,0,2424.8
6,20170601  21:00:00,9.86,-4.879999999999654,5.619999999999891,0.3100000000000005,0.3800000000000008,,,,,,,,,,,,,,2419.7799999999997,0,0,,,0,0,2429.64
7,20170602  15:30:00,10.19,2.130000000000109,5.6599999999998545,-0.1999999999999993,0.3200000000000003,,,,,3.432999999999538,,,,,,,,,2418.96,0,0,,,0,0,2429.15
8,20170602  16:00:00,9.91,-4.400000000000091,5.670000000000073,0.28999999999999915,0.4499999999999993,,,,11.533902789994045,3.301999999999225,,,,,,,,,2423.6600000000003,0,0,,,0,0,2433.57
9,20170602  17:00:00,9.94,-3.5,4.369999999999891,-0.049999999999998934,0.17999999999999972,,,,12.619577186848801,2.9687499999986358,2.398250000000189,,,,,,,,2427.1,0,0,,,0,0,2437.04
10,20170602  18:00:00,9.75,0.1000000000003638,2.119999999999891,0.21000000000000085,0.3000000000000007,,,,11.35519373153602,3.2934999999988577,2.455500000000029,,,,,,,,2427.18,0,0,,,0,0,2436.93
11,20170602  19:00:00,9.86,-1.9200000000000728,3.5100000000002183,-0.08999999999999986,0.16999999999999993,,,,11.03930933538686,3.2244999999988977,2.01050000000032,2.332833333333383,,,,,,,2429.0099999999998,0,0,,,0,0,2438.87
12,20170602  20:00:00,9.82,1.099999999999909,2.9200000000000728,0.049999999999998934,0.1999999999999993,,,,10.391434268520698,3.3632499999985157,1.828750000000582,2.3241666666667697,,,,,,,2427.93,0,0,,,0,0,2437.75
13,20170602  21:00:00,9.78,0.03999999999996362,3.8400000000001455,0.0600000000000005,0.27999999999999936,,,,9.36067898674628,2.5819999999985157,2.0280000000002474,1.87116666666725,,,,,,,2427.99,0,0,2443.374725274726,,0,0,2437.77
14,20170605  15:30:00,9.99,0.01999999999998181,3.7399999999997817,0.1999999999999993,0.33999999999999986,88.34532374100912,-13.345323741009125,63.345323741009125,6.979568770850165,1.7147499999987303,1.7782500000002983,1.6680000000005748,3.074333333333925,,,,,,2427.82,0,0,2443.6906593406607,-0.2282673905975545,0,0,2437.81
15,20170605  16:00:00,9.82,0.20000000000027285,2.050000000000182,0.1999999999999993,0.2599999999999998,87.63243124554164,-12.632431245541639,62.63243124554164,5.748561170851644,0.7924999999991087,1.5545000000001892,1.777166666667199,2.837833333333492,,,,,,2427.7799999999997,0,0,2443.0292307692307,-0.24986295293160282,0,0,2437.6
16,20170605  17:00:00,9.71,-0.19000000000005457,2.6400000000003274,0.11999999999999922,0.20999999999999908,87.73394868101084,-12.733948681010844,62.733948681010844,2.794514907008306,0.04974999999922147,1.2672499999998763,1.5348333333340634,2.3941666666664787,,,,,,2428.09,0,0,2442.541538461538,-0.21450614362255005,0,0,2437.8
17,20170605  18:00:00,9.69,-0.05999999999994543,2.019999999999982,0.030000000000001137,0.17999999999999972,87.77178180571103,-12.77178180571103,62.77178180571103,1.0463953324897375,-0.030000000001109584,0.499000000000251,1.3176666666668098,2.299999999999727,,,,,,2428.18,0,0,2442.0940659340645,-0.19162377245456683,0,0,2437.87
18,20170605  19:00:00,9.68,0.3000000000001819,1.9100000000003092,0.0,0.14000000000000057,86.66147268597832,-11.661472685978325,61.661472685978325,0.9394455867791294,-0.14775000000054206,0.17974999999978536,1.057333333333645,2.0266666666666424,,,,,,2427.92,0,0,2441.369890109889,-0.18436437208994771,0,0,2437.6
19,20170605  20:00:00,9.73,-0.03999999999996362,1.1799999999998363,-0.0600000000000005,0.120000000000001,86.68163229787929,-11.68163229787929,61.68163229787929,0.7406970317033483,-0.028750000000854925,-0.034249999999701686,0.409666666666908,1.8980000000001382,,,,,,2427.9,0,0,2440.1894505494515,-0.1534232065526382,0,0,2437.63
20,20170605  21:00:00,9.9,1.5299999999997453,2.800000000000182,-0.16000000000000014,0.2400000000000002,79.99764470867076,-4.997644708670762,54.99764470867076,1.0464330904142116,-0.12325000000055297,-0.15774999999985084,0.11566666666703895,1.3553333333338742,,,,,,2426.19,0,0,2438.997032967032,-0.16827993011142345,0,0,2436.09
21,20170606  15:30:00,10.16,-1.3800000000001091,5.380000000000109,0.33000000000000007,0.35999999999999943,69.53628355501269,5.463716444987313,44.53628355501269,2.8484971115804,-0.46450000000095315,-0.15949999999975262,-0.12966666666625315,0.7996666666667807,,,,,,2423.1400000000003,0,0,2436.7086813186793,-0.23412784971157052,0,0,2433.3
22,20170606  16:00:00,10.41,1.180000000000291,3.2600000000002183,-0.2599999999999998,0.33999999999999986,65.75264572893867,9.247354271061326,40.752645728938674,4.119228021608706,-0.9002500000005966,-0.3067500000001928,-0.2911666666659585,0.2015000000001237,,,,,,2421.75,0,0,2434.734945054945,-0.18702228959770031,0,0,2432.16
23,20170606  17:00:00,10.5,-1.0300000000002,4.089999999999691,-0.08000000000000007,0.28999999999999915,67.53804893936241,7.461951060637588,42.53804893936241,4.430841404537659,-1.228000000000975,-0.3989999999998872,-0.2751666666663368,-0.24583333333293922,,,,,,2422.73,0,0,2433.723516483516,-0.0618496835459444,0,0,2433.23
