REF_ETABLISSEMENT;LIBELLE;REF_PRAT;NB_DOSSIERS
930027578;;1449981;86
930027578;;5228126;203
930027578;;5228670;189
930027578;;30017700;33
930027578;;100743557;248
930027578;;100799096;810
930027578;;101208485;55
