,Compte,Type,conId,Ticker,Quantité,Average Cost
0,DU1507426,Stock,13681,WDC,-100.0,48.388879
1,DU1507426,Stock,5407,CAH,-180.0,54.52319665
2,DU1507426,Stock,5516,CCL,-331.0,44.94395045
3,DU1507426,Stock,275850,VRTX,-71.0,212.4813972
4,DU1507426,Stock,39118796,HES,-165.0,60.4325691
5,DU1507426,Stock,3691937,AMZN,8.0,1756.165
6,DU1507426,Stock,129348130,NWS,-763.0,12.8746144
7,DU1507426,Stock,9657,MCK,99.0,149.900101
8,DU1507426,Stock,9282,LUV,259.0,57.125
9,DU1507426,Stock,13515,VMC,-103.0,143.4572029
10,DU1507426,Stock,13535,VNO,-229.0,64.3660812
11,DU1507426,Stock,105669270,PSX,-125.0,118.489428
12,DU1507426,Stock,271568,MCHP,-107.0,95.71855325
13,DU1507426,Stock,13878278,CNC,-252.0,59.553648
14,DU1507426,Stock,137780444,TWTR,473.0,31.085
15,DU1507426,Stock,9358,MAR,110.0,135.9590909
16,DU1507426,Stock,9360,MAS,326.0,45.6965951
17,DU1507426,Stock,272207,MXIM,-178.0,56.0831017
18,DU1507426,Stock,276329,ZION,591.0,50.16982235
19,DU1507426,Stock,95703740,XYL,-130.0,75.82061925
20,DU1507426,Stock,338719530,LIN,-49.0,204.1752449
21,DU1507426,Stock,4728759,CTSH,156.0,62.88641025
22,DU1507426,Stock,36320731,CHRW,-190.0,77.76458685
23,DU1507426,Stock,6608432,PWR,-242.0,40.80230085
24,DU1507426,Stock,346403540,CI,75.0,198.63333335
25,DU1507426,Stock,2586156,KMX,-150.0,99.72115
26,DU1507426,Stock,9769,MO,-297.0,49.6456377
27,DU1507426,Stock,5800,CMA,410.0,69.64036585
28,DU1507426,Stock,80986742,GM,408.0,35.925
29,DU1507426,Stock,29380756,NDAQ,-143.0,104.59673635
30,DU1507426,Stock,69293559,VRSK,-67.0,145.8019373
31,DU1507426,Stock,8251,HUM,-45.0,334.44073555
32,DU1507426,Stock,13096,TXN,-84.0,119.6155
33,DU1507426,Stock,271308,LRCX,37.0,257.02702705
34,DU1507426,Stock,275405,TSN,-164.0,89.90192255
35,DU1507426,Stock,6231002,UPS,-84.0,117.1655512
36,DU1507426,Stock,47550606,IVZ,-590.0,16.7345344
37,DU1507426,Stock,36786278,UAA,771.0,19.14332685
38,DU1507426,Stock,8908,KR,353.0,27.755
39,DU1507426,Stock,2585323,MTB,88.0,166.00272725
40,DU1507426,Stock,94078796,FBHS,234.0,63.495
41,DU1507426,Stock,209411798,HPE,-927.0,15.90455165
42,DU1507426,Stock,8894,KO,-282.0,53.13378085
43,DU1507426,Stock,4726021,SWKS,153.0,97.64653595
44,DU1507426,Stock,273733,REGN,-86.0,346.1829465
45,DU1507426,Stock,4726176,ALXN,129.0,113.91775195
46,DU1507426,Stock,11656,RJF,166.0,89.1560241
47,DU1507426,Stock,89495776,MPC,163.0,60.15613495
48,DU1507426,Stock,45182651,CXO,-138.0,72.28302245
49,DU1507426,Stock,269315,FISV,-128.0,116.0396664
50,DU1507426,Stock,11295,PPG,-77.0,128.90422595
51,DU1507426,Stock,12120,SHW,-25.0,585.57776
52,DU1507426,Stock,79498203,UAL,107.0,91.8193458
53,DU1507426,Stock,40369429,HBI,-22.0,14.82457275
54,DU1507426,Stock,8130,HRB,415.0,23.635
55,DU1507426,Stock,8153,HRL,-216.0,45.3339426
56,DU1507426,Stock,274385,SIVB,65.0,229.6553846
57,DU1507426,Stock,7745,GPC,-141.0,105.0006149
58,DU1507426,Stock,173962302,ANTM,34.0,288.02941175
59,DU1507426,Stock,7935,HOG,-400.0,36.89411725
60,DU1507426,Stock,268627,DHI,-273.0,54.71374835
61,DU1507426,Stock,6442,DHR,106.0,140.20509435
62,DU1507426,Stock,125980227,TMUS,126.0,77.8079365
63,DU1507426,Stock,9869443,ILMN,46.0,320.01173915
64,DU1507426,Stock,272428,JWN,261.0,37.625
65,DU1507426,Stock,6393,DE,59.0,164.01694915
66,DU1507426,Stock,120643512,NCLH,278.0,53.605
67,DU1507426,Stock,661633,WAB,183.0,81.0054645
68,DU1507426,Stock,44001820,DAL,-177.0,55.85307515
69,DU1507426,Stock,6327,D,-178.0,83.4525354
70,DU1507426,Stock,43670008,PBCT,600.0,16.345
71,DU1507426,Stock,49588376,PM,-178.0,83.56253315
