,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
27,2019-12-03,XYL,0,1,1,0,75.54000091552734
57,2019-12-03,ALK,1,0,0,1,66.61000061035156
76,2019-12-03,COG,0,0,0,1,15.710000038146973
85,2019-12-03,XOM,1,0,0,1,67.87999725341797
86,2019-12-03,PNR,1,0,0,1,43.61999893188477
111,2019-12-03,LOW,1,0,0,1,114.5500030517578
119,2019-12-03,NWS,0,1,1,0,12.90999984741211
129,2019-12-03,CNC,0,1,1,0,60.06999969482422
132,2019-12-03,HCA,1,0,0,1,138.16999816894528
145,2019-12-03,DAL,0,1,1,0,55.61999893188477
162,2019-12-03,MXIM,0,1,1,0,55.209999084472656
166,2019-12-03,PWR,0,1,1,0,40.63999938964844
172,2019-12-03,CXO,0,1,1,0,71.06999969482422
173,2019-12-03,HRB,1,0,0,1,23.60000038146973
181,2019-12-03,TSN,0,1,1,0,88.94999694824219
188,2019-12-03,RJF,1,0,0,1,88.0
192,2019-12-03,PPG,0,1,1,0,127.95999908447266
206,2019-12-03,PBCT,1,0,0,1,16.149999618530273
230,2019-12-03,SEE,1,0,0,1,37.33000183105469
239,2019-12-03,TXN,0,1,1,0,117.75
240,2019-12-03,MCHP,0,1,1,0,91.87000274658205
241,2019-12-03,CTSH,1,0,0,1,62.75
256,2019-12-03,PRU,1,0,0,1,90.37999725341795
257,2019-12-03,LIN,0,1,1,0,202.0399932861328
264,2019-12-03,UPS,0,1,1,0,116.93000030517578
267,2019-12-03,WYNN,0,1,0,0,116.5999984741211
272,2019-12-03,HES,0,1,1,0,59.790000915527344
283,2019-12-03,MRO,1,0,0,1,11.760000228881836
293,2019-12-03,CI,1,0,0,1,195.3300018310547
309,2019-12-03,IVZ,0,1,1,0,16.690000534057614
314,2019-12-03,APA,1,0,0,1,18.3799991607666
333,2019-12-03,MPC,1,0,0,1,60.02999877929688
