,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
7,2019-11-29,MRO,1,0,0,1,11.649999618530273
11,2019-11-29,WAB,1,0,0,1,78.56999969482422
26,2019-11-29,FTI,1,0,0,1,18.84000015258789
30,2019-11-29,HOG,0,1,1,0,36.38000106811523
55,2019-11-29,HSIC,0,1,1,0,68.90000152587889
76,2019-11-29,ICE,0,1,1,0,94.16999816894531
78,2019-11-29,IPG,0,1,1,0,22.399999618530273
86,2019-11-29,BIIB,1,0,0,1,299.80999755859375
96,2019-11-29,UPS,1,0,0,1,119.7300033569336
115,2019-11-29,WU,1,0,0,1,26.8799991607666
118,2019-11-29,SLG,0,1,1,0,85.33000183105469
124,2019-11-29,AMZN,0,0,0,1,1800.800048828125
132,2019-11-29,WYNN,1,0,0,1,120.8499984741211
165,2019-11-29,PRU,0,1,1,0,93.62000274658205
204,2019-11-29,CCL,0,1,1,0,45.08000183105469
215,2019-11-29,FDX,0,1,1,0,160.0500030517578
227,2019-11-29,NCLH,1,0,0,1,53.63999938964844
251,2019-11-29,DE,1,0,0,1,168.0500030517578
305,2019-11-29,APA,0,1,1,0,22.280000686645508
352,2019-11-29,CHRW,1,0,0,1,76.8499984741211
366,2019-11-29,DHI,0,1,1,0,55.349998474121094
371,2019-11-29,JWN,1,0,0,1,38.16999816894531
386,2019-11-29,MXIM,0,1,1,0,56.66999816894531
387,2019-11-29,NWSA,0,0,0,1,12.880000114440918
391,2019-11-29,VRSK,0,1,1,0,147.47999572753906
396,2019-11-29,PM,0,1,1,0,82.93000030517578
