,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,80.77,93.65
1,AAL,American Airlines Gp,Industrials,70.18,75.0
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,85.71,81.82
3,AAPL,Apple Inc,Information Technology,88.89,71.43
4,ABC,Amerisourcebergen Corp,Health Care,95.24,75.0
5,ACN,Accenture Plc,Information Technology,87.5,71.43
6,ADI,Analog Devices,Information Technology,81.25,90.0
7,ADS,Alliance Data Systems Corp,Information Technology,75.0,72.22
8,AEP,American Electric Power Company,Utilities,90.0,100.0
9,AIG,American International Group,Financials,82.5,91.07
10,AIV,Apartment Investment and Management,Real Estate,81.58,88.24
11,AIZ,Assurant Inc,Financials,76.47,100.0
12,ALB,Albemarle Corp,Materials,77.27,70.18
13,ALK,Alaska Air Group,Industrials,87.5,95.65
14,ALXN,Alexion Pharm Inc,Health Care,96.97,96.77
15,AMAT,Applied Materials,Information Technology,88.89,75.56
16,AMCR,Amcor Plc,None,100.0,85.71
17,AME,Amtek Inc,Industrials,69.23,76.0
18,AMGN,Amgen Inc,Health Care,80.0,90.62
19,AMP,Ameriprise Financial Services,Financials,86.36,87.5
20,AMZN,Amazon.com Inc,Consumer Discretionary,76.32,93.33
21,ANET,Arista Networks Inc,None,70.37,78.26
22,ANSS,Ansys Inc,Information Technology,79.17,72.5
23,ANTM,Anthem Inc,Health Care,78.38,71.11
24,AON,AON Plc,Financials,80.0,86.67
25,AOS,Smith [A.O.] Corp,Industrials,81.58,80.0
26,APA,Apache Corp,Energy,69.7,100.0
27,ARNC,Arconic Inc,Industrials,78.05,91.55
28,ATO,Atmos Energy Corp,None,100.0,87.5
29,AVGO,Broadcom Ltd,Information Technology,87.5,87.27
30,AVY,Avery Dennison Corp,Materials,82.76,81.25
31,AXP,American Express Company,Financials,69.23,100.0
32,BA,Boeing Company,Industrials,90.48,70.91
33,BAC,Bank of America Corp,Financials,71.19,90.0
34,BAX,Baxter International Inc,Health Care,100.0,100.0
35,BBT,BB&T Corp,Financials,100.0,82.86
36,BBY,Best Buy CO,Consumer Discretionary,87.18,73.81
37,BDX,Becton Dickinson and Company,Health Care,73.17,82.61
38,BEN,Franklin Resources,Financials,71.05,79.41
39,BHGE,Baker Hughes A Ge Co. Cl A,Energy,72.0,100.0
40,BIIB,Biogen Inc,Health Care,69.23,94.12
41,BK,Bank of New York Mellon Corp,Financials,73.33,76.92
42,BKNG,Booking Holdings Inc,Consumer Discretionary,82.98,100.0
43,BLK,Blackrock,Financials,92.86,85.23
44,BLL,Ball Corp,Materials,100.0,72.94
45,BSX,Boston Scientific Corp,Health Care,80.0,98.8
46,BWA,Borgwarner Inc,Consumer Discretionary,74.51,87.69
47,BXP,Boston Properties,Real Estate,77.08,88.89
48,C,Citigroup Inc,Financials,72.0,76.0
49,CAH,Cardinal Health,Health Care,100.0,73.33
50,CAT,Caterpillar Inc,Industrials,93.33,78.38
51,CBOE,CBOE Global Markets Inc,Financials,100.0,90.28
