,Compte,Type,conId,Ticker,Quantité,Average Cost
0,U3229419,Stock,6248722,JNPR,-224.0,23.3543973
1,U3229419,Stock,270018,HBAN,-389.0,13.55460025
2,U3229419,Stock,50530752,AWK,-37.0,134.0000784
3,U3229419,Stock,347409760,CPRI,145.0,34.24704205
4,U3229419,Stock,4886,BDX,-18.0,275.5886222
5,U3229419,Stock,6248713,FFIV,37.0,134.1468054
6,U3229419,Stock,9360,MAS,-100.0,49.228862
7,U3229419,Stock,273815,RF,-335.0,15.5645588
8,U3229419,Stock,276329,ZION,-113.0,46.9900584
9,U3229419,Stock,3655640,HSIC,-73.0,68.81475755
10,U3229419,Stock,49921110,NTAP,95.0,54.8105263
11,U3229419,Stock,95514904,CBRE,-81.0,61.07627035
12,U3229419,Stock,270188,HOLX,-93.0,53.52802045
13,U3229419,Stock,272942,PAYX,-56.0,88.1801982
14,U3229419,Stock,138438437,ALLE,-38.0,128.91089735
15,U3229419,Stock,40773257,WU,-178.0,27.633691
16,U3229419,Stock,12259,SNA,-30.0,167.76307335
17,U3229419,Stock,269753,GILD,78.0,64.4228205
18,U3229419,Stock,10174,NEM,-118.0,42.36052965
19,U3229419,Stock,9081,LEG,-99.0,50.52873335
20,U3229419,Stock,1448494,WAT,-22.0,228.7696909
21,U3229419,Stock,6842,EMR,-71.0,74.10426195
22,U3229419,Stock,5684,CVX,-48.0,110.98675
