,AUD/CAD,AUD/CHF,AUD/JPY,AUD/NZD,AUD/USD,CAD/CHF,CAD/JPY,CHF/JPY,EUR/AUD,EUR/CAD,EUR/CHF,EUR/GBP,EUR/JPY,EUR/NOK,EUR/NZD,EUR/SEK,EUR/USD,GBP/AUD,GBP/CAD,GBP/CHF,GBP/NZD,GBP/USD,NZD/CAD,NZD/CHF,NZD/USD,USD/CAD,USD/CHF,USD/NOK
Period,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31,2017-12-31 à2020-12-31
Total Number of trades,170,220,281,224,283,299,169,147,275,178,124,266,132,177,315,65,313,174,326,272,259,218,210,156,304,273,228,204
Started Cash,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
P&L  in currency,86091.54$,105592.09$,131277.58$,90123.14$,162770.62$,150048.07$,95791.78$,73083.19$,195530.27$,112062.14$,79399.1$,156576.78$,95907.85$,89561.01$,191790.33$,51827.37$,172078.0$,121144.58$,164331.24$,160252.98$,148880.9$,122051.47$,116309.73$,58868.16$,160457.7$,165113.16$,106715.25$,115271.12$
P&L in %,43.05%,52.8%,65.64%,45.06%,81.39%,75.02%,47.9%,36.54%,97.77%,56.03%,39.7%,78.29%,47.95%,44.78%,95.9%,25.91%,86.04%,60.57%,82.17%,80.13%,74.44%,61.03%,58.15%,29.43%,80.23%,82.56%,53.36%,57.64%
Average trade duration,76.14,51.63,42.54,117.16,50.12,58.31,48.74,82.27,67.79,80.87,137.69,65.37,63.11,80.06,66.3,105.02,69.2,45.66,55.37,53.07,43.52,42.39,60.59,49.71,49.61,87.77,80.68,40.11
# Winners,126.0,156.0,198.0,144.0,226.0,210.0,127.0,109.0,208.0,131.0,91.0,183.0,104.0,119.0,220.0,54.0,220.0,146.0,233.0,210.0,195.0,168.0,161.0,100.0,229.0,208.0,153.0,152.0
# Loosers,44.0,64.0,83.0,80.0,57.0,89.0,42.0,38.0,67.0,47.0,33.0,83.0,28.0,58.0,95.0,11.0,93.0,28.0,93.0,62.0,64.0,50.0,49.0,56.0,75.0,65.0,75.0,52.0
Cumulated gains,106822.29,138031.07,172218.78,129166.78,188579.9,195011.6,115028.2,89752.5,234983.66,138684.65,98287.0,205176.96,111302.05,127307.3,246104.7,58933.21,224034.0,135866.94,208146.48,190510.43,181991.35,145958.88,137515.02,89008.17,196008.32,197640.56,145659.19,144445.0
Cumulated losses,-20730.75,-32438.98,-40941.2,-39043.64,-25809.28,-44963.53,-19236.42,-16669.31,-39453.39,-26622.51,-18887.89,-48600.18,-15394.2,-37746.29,-54314.37,-7105.83,-51956.0,-14722.36,-43815.24,-30257.45,-33110.44,-23907.42,-21205.29,-30140.0,-35550.62,-32527.4,-38943.95,-29173.88
