,Symb.,Name,Sector,Precision_up,Precision_down
0,AAL,American Airlines Gp,Industrials,90.32,96.3
1,AAP,Advance Auto Parts Inc,Consumer Discretionary,80.95,93.33
2,ABC,Amerisourcebergen Corp,Health Care,80.95,88.89
3,ADI,Analog Devices,Information Technology,86.67,83.33
4,ADM,Archer Daniels Midland,Consumer Staples,90.48,70.0
5,ADS,Alliance Data Systems Corp,Information Technology,94.29,73.68
6,ADSK,Autodesk Inc,Information Technology,73.47,80.95
7,AEE,Ameren Corp,Utilities,75.0,76.0
8,AEP,American Electric Power Company,Utilities,77.78,82.35
9,AES,The Aes Corp,Utilities,96.43,81.82
10,AIZ,Assurant Inc,Financials,69.05,77.78
11,AKAM,Akamai Technologies,Information Technology,74.19,84.38
12,ALB,Albemarle Corp,Materials,70.69,87.1
13,ALK,Alaska Air Group,Industrials,96.0,88.46
14,ALL,Allstate Corp,Financials,98.0,94.12
15,ALLE,Allegion Plc,Industrials,97.73,90.57
16,ALXN,Alexion Pharm Inc,Health Care,82.98,81.25
17,AMD,Adv Micro Devices,Information Technology,88.64,75.86
18,AME,Amtek Inc,Industrials,72.22,79.17
19,AMGN,Amgen Inc,Health Care,85.0,90.0
20,AMZN,Amazon.com Inc,Consumer Discretionary,76.6,81.82
21,AOS,Smith [A.O.] Corp,Industrials,86.3,88.89
22,APA,Apache Corp,Energy,95.08,93.62
23,APD,Air Products and Chemicals,Materials,72.0,90.91
24,ARNC,Arconic Inc,Industrials,91.67,93.65
25,ATO,Atmos Energy Corp,None,73.91,91.67
26,ATVI,Activision Blizzard,Information Technology,71.43,88.46
27,AVB,Avalonbay Communities,Real Estate,100.0,76.92
28,AVGO,Broadcom Ltd,Information Technology,79.55,79.17
29,AVY,Avery Dennison Corp,Materials,85.0,76.92
30,AWK,American Water Works,Utilities,71.05,74.07
31,AXP,American Express Company,Financials,77.42,90.91
32,AZO,Autozone,Consumer Discretionary,76.09,82.86
33,BA,Boeing Company,Industrials,72.41,96.61
34,BDX,Becton Dickinson and Company,Health Care,78.57,88.89
35,BEN,Franklin Resources,Financials,78.72,94.74
36,BHGE,Baker Hughes A Ge Co. Cl A,Energy,69.39,86.36
37,BIIB,Biogen Inc,Health Care,86.49,84.0
