,Date du Relevé,Compte,Type,Ticker,Quantité,Average Cost,Exposition,Date,Close,Latent PnL
0,2019-11-20,DU1507426,Stock,VRTX,-71.0,212.48,-15086.08,2019-11-19,215.0,-178.92000000000073
1,2019-11-20,DU1507426,Stock,AMZN,8.0,1756.16,14049.28,2019-11-19,1752.79,-26.960000000000946
2,2019-11-20,DU1507426,Stock,MCK,99.0,149.9,14840.1,2019-11-19,150.25,34.64999999999944
3,2019-11-20,DU1507426,Stock,CNC,-252.0,59.55,-15006.6,2019-11-19,59.39,40.31999999999914
4,2019-11-20,DU1507426,Stock,XRX,-380.0,39.38,-14964.4,2019-11-19,38.69,262.20000000000186
5,2019-11-20,DU1507426,Stock,MAR,110.0,135.96,14955.6,2019-11-19,134.99,-106.69999999999987
6,2019-11-20,DU1507426,Stock,MAS,326.0,45.7,14898.2,2019-11-19,45.61,-29.340000000001112
7,2019-11-20,DU1507426,Stock,CI,75.0,198.63,14897.25,2019-11-19,200.02,104.25000000000111
8,2019-11-20,DU1507426,Stock,KMX,-150.0,99.72,-14958.0,2019-11-19,100.15,-64.50000000000102
9,2019-11-20,DU1507426,Stock,NDAQ,-143.0,104.6,-14957.8,2019-11-19,105.07,-67.20999999999984
10,2019-11-20,DU1507426,Stock,HUM,-45.0,334.44,-15049.8,2019-11-19,336.13,-76.0499999999999
11,2019-11-20,DU1507426,Stock,FBHS,234.0,63.5,14859.0,2019-11-19,62.03,-343.97999999999973
12,2019-11-20,DU1507426,Stock,KO,-282.0,53.13,-14982.66,2019-11-19,53.08,14.100000000001202
13,2019-11-20,DU1507426,Stock,SWKS,153.0,97.65,14940.45,2019-11-19,96.61,-159.12000000000097
14,2019-11-20,DU1507426,Stock,REGN,-44.0,341.08,-15007.52,2019-11-19,344.46,-148.7199999999998
15,2019-11-20,DU1507426,Stock,SHW,-25.0,585.58,-14639.5,2019-11-19,584.2,34.499999999999886
16,2019-11-20,DU1507426,Stock,SIVB,65.0,229.66,14927.9,2019-11-19,229.5,-10.399999999999778
17,2019-11-20,DU1507426,Stock,DHI,-273.0,54.71,-14935.83,2019-11-19,53.97,202.02000000000055
18,2019-11-20,DU1507426,Stock,DHR,106.0,140.21,14862.26,2019-11-19,143.6,359.33999999999855
19,2019-11-20,DU1507426,Stock,NCLH,278.0,53.6,14900.8,2019-11-19,53.66,16.679999999998657
20,2019-11-21,DU1507426,Stock,CAH,266.0,55.48,14757.68,2019-11-20,55.41,-18.620000000000076
21,2019-11-21,DU1507426,Stock,VRTX,-71.0,212.48,-15086.08,2019-11-20,215.07,-183.89000000000024
22,2019-11-21,DU1507426,Stock,AMZN,8.0,1756.16,14049.28,2019-11-20,1745.53,-85.04000000000087
23,2019-11-21,DU1507426,Stock,MCK,99.0,149.9,14840.1,2019-11-20,150.7,79.19999999999831
24,2019-11-21,DU1507426,Stock,CNC,-252.0,59.55,-15006.6,2019-11-20,59.46,22.67999999999907
25,2019-11-21,DU1507426,Stock,XRX,-380.0,39.38,-14964.4,2019-11-20,38.3,410.400000000002
26,2019-11-21,DU1507426,Stock,MAR,110.0,135.96,14955.6,2019-11-20,132.71,-357.5
27,2019-11-21,DU1507426,Stock,MAS,326.0,45.7,14898.2,2019-11-20,45.76,19.559999999998425
28,2019-11-21,DU1507426,Stock,CI,75.0,198.63,14897.25,2019-11-20,199.91,96.00000000000009
