,Symb.,Name,Sector,Precision_up,Precision_down
0,AAL,American Airlines Gp,Industrials,80.85,87.5
1,AAPL,Apple Inc,Information Technology,75.68,82.61
2,ABBV,Abbvie Inc,Health Care,93.1,70.27
3,ABMD,Abiomed Inc,None,81.08,94.12
4,ABT,Abbott Laboratories,Health Care,81.48,100.0
5,ACN,Accenture Plc,Information Technology,100.0,100.0
6,ADI,Analog Devices,Information Technology,90.0,75.0
7,ADS,Alliance Data Systems Corp,Information Technology,69.09,88.0
8,AEE,Ameren Corp,Utilities,100.0,87.18
9,AEP,American Electric Power Company,Utilities,72.73,83.78
10,AES,The Aes Corp,Utilities,83.78,86.36
11,AIG,American International Group,Financials,93.75,100.0
12,AIV,Apartment Investment and Management,Real Estate,70.59,93.33
13,AJG,Arthur J. Gallagher & CO,Financials,100.0,85.71
14,ALK,Alaska Air Group,Industrials,86.36,75.68
15,ALLE,Allegion Plc,Industrials,81.82,78.57
16,ALXN,Alexion Pharm Inc,Health Care,96.15,97.67
17,AMD,Adv Micro Devices,Information Technology,78.33,92.31
18,AMG,Affiliated Managers Group,Financials,100.0,100.0
19,AMGN,Amgen Inc,Health Care,92.0,78.95
20,AMT,American Tower Corp,Real Estate,78.57,100.0
21,ANTM,Anthem Inc,Health Care,79.55,87.5
22,APA,Apache Corp,Energy,79.49,91.3
23,APH,Amphenol Corp,Information Technology,76.47,100.0
24,APTV,Aptiv Plc,Consumer Discretionary,78.26,92.31
25,ARE,Alexandria Real Estate Equities,Real Estate,76.92,85.71
26,ARNC,Arconic Inc,Industrials,92.0,70.97
27,AVB,Avalonbay Communities,Real Estate,72.73,78.26
28,BAC,Bank of America Corp,Financials,72.0,100.0
29,BAX,Baxter International Inc,Health Care,73.33,72.22
30,BBT,BB&T Corp,Financials,80.49,80.95
31,BBY,Best Buy CO,Consumer Discretionary,88.24,81.82
32,BDX,Becton Dickinson and Company,Health Care,83.33,100.0
33,BIIB,Biogen Inc,Health Care,94.44,82.14
34,BLL,Ball Corp,Materials,100.0,80.95
35,BXP,Boston Properties,Real Estate,85.19,76.32
36,C,Citigroup Inc,Financials,72.09,72.22
37,CAG,Conagra Brands Inc,Consumer Staples,77.78,70.0
38,CAH,Cardinal Health,Health Care,72.41,95.65
39,CAT,Caterpillar Inc,Industrials,83.87,85.71
40,CBS,CBS Corp,Consumer Discretionary,78.05,85.71
41,CCI,Crown Castle International Corp,Real Estate,77.78,86.36
42,CDNS,Cadence Design Sys,Information Technology,70.37,91.67
43,CELG,Celgene Corp,Health Care,90.0,69.05
44,CERN,Cerner Corp,Health Care,100.0,69.23
45,CF,Cf Industries Holdings,Materials,75.51,69.05
46,CFG,Citizens Financial Group Inc/Ri,Financials,72.5,76.19
47,CHD,Church & Dwight Company,Consumer Staples,84.0,73.33
48,CHRW,C.H. Robinson Ww,Industrials,71.15,70.37
49,CHTR,Charter Communicatio,Consumer Discretionary,75.0,100.0
50,CINF,Cincinnati Financial,Financials,73.33,72.73
51,CL,Colgate-Palmolive Company,Consumer Staples,100.0,88.89
52,CLX,Clorox Company,Consumer Staples,80.0,79.31
53,CMA,Comerica Inc,Financials,72.92,77.78
54,CMCSA,Comcast Corp A,Consumer Discretionary,80.77,71.43
55,CMG,Chipotle Mexican Grill,Consumer Discretionary,87.5,75.86
56,CMI,Cummins Inc,Industrials,88.89,75.0
57,CNC,Centene Corp,Health Care,89.19,100.0
58,COF,Capital One Financial Corp,Financials,82.05,76.32
59,COG,Cabot Oil & Gas Corp,Energy,85.71,73.53
60,COST,Costco Wholesale,Consumer Staples,70.21,80.0
61,COTY,Coty Inc,Consumer Staples,91.18,88.24
62,CPB,Campbell Soup Company,Consumer Staples,88.0,84.78
63,CRM,Salesforce.com Inc,Information Technology,77.27,100.0
64,CSCO,Cisco Systems Inc,Information Technology,73.91,100.0
65,CSX,CSX Corp,Industrials,76.67,100.0
66,CTL,Centurylink,Telecommunication Services,86.36,70.83
67,CTSH,Cognizant Tech Sol,Information Technology,85.0,80.95
68,CTXS,Citrix Systems Inc,Information Technology,86.36,70.37
69,CVS,CVS Corp,Consumer Staples,73.91,94.74
70,CVX,Chevron Corp,Energy,100.0,72.22
71,CXO,Concho Resources Inc,Energy,75.0,74.36
72,D,Dominion Resources,Utilities,72.22,83.33
73,DFS,Discover Financial Services,Financials,90.91,71.43
74,DG,Dollar General Corp,Consumer Discretionary,95.45,92.31
75,DHR,Danaher Corp,Health Care,100.0,80.65
76,DIS,Walt Disney Company,Consumer Discretionary,77.78,90.48
77,DISCA,Discovery Comm A,Consumer Discretionary,72.22,79.17
78,DLR,Digital Realty Trust,Real Estate,77.78,94.44
79,DRI,Darden Restaurants,Consumer Discretionary,85.19,86.36
80,DUK,Duke Energy Corp,Utilities,75.0,100.0
81,DVA,Davita Healthcare Partners Inc,Health Care,76.47,71.05
82,DVN,Devon Energy Corp,Energy,77.27,76.67
83,EA,Electronic Arts Inc,Information Technology,72.09,75.0
84,EBAY,Ebay Inc,Information Technology,70.27,75.0
85,ED,Consolidated Edison Company of New York,Utilities,85.71,90.0
86,EFX,Equifax Inc,Industrials,90.0,94.79
87,EIX,Edison International,Utilities,100.0,90.0
88,EL,Estee Lauder Companies,Consumer Staples,70.45,100.0
89,EMN,Eastman Chemical Company,Materials,95.0,85.0
90,ES,Eversource Energy,Utilities,100.0,73.68
91,ETFC,E*Trade Finl Corp,Financials,71.74,88.89
92,ETR,Entergy Corp,Utilities,79.31,87.5
93,EW,Edwards Lifesciences Corp,Health Care,100.0,83.56
94,EXC,Exelon Corp,Utilities,88.89,81.25
95,EXPE,Expedia Group Inc,Consumer Discretionary,75.0,70.59
96,F,Ford Motor Company,Consumer Discretionary,100.0,70.73
97,FANG,Diamondback Energy,None,76.47,100.0
98,FAST,Fastenal Company,Industrials,87.5,75.0
99,FBHS,Fortune Brands Home & Security,Industrials,92.31,80.77
100,FCX,Freeport-Mcmoran Inc,Materials,75.0,85.71
101,FDX,Fedex Corp,Industrials,79.31,83.33
102,FE,Firstenergy Corp,Utilities,100.0,75.76
103,FFIV,F5 Networks Inc,Information Technology,92.86,79.31
104,FIS,Fidelity National Information Services,Information Technology,100.0,100.0
105,FITB,Fifth Third Bncp,Financials,95.24,70.37
106,FLIR,Flir Systems Inc,Information Technology,85.71,92.31
107,FLS,Flowserve Corp,Industrials,72.34,73.68
108,FLT,Fleetcor Technologies,None,72.5,83.33
109,FRC,First Republic Bank,None,83.33,100.0
110,FRT,Federal Realty Investment Trust,Real Estate,97.7,100.0
111,FTI,Technipfmc Plc,Energy,75.0,100.0
112,FTNT,Fortinet Inc,None,72.22,77.78
113,GILD,Gilead Sciences Inc,Health Care,82.14,93.75
114,GM,General Motors Company,Consumer Discretionary,87.5,84.62
115,GOOGL,Alphabet Cl A,Information Technology,72.5,100.0
116,GPS,Gap Inc,Consumer Discretionary,100.0,82.14
117,GS,Goldman Sachs Group,Financials,90.62,82.93
118,GWW,W.W. Grainger,Industrials,100.0,73.21
119,HAS,Hasbro Inc,Consumer Discretionary,100.0,92.31
120,HBAN,Huntington Bcshs,Financials,69.49,82.35
121,HBI,Hanesbrands Inc,Consumer Discretionary,92.54,87.8
122,HCA,Hca Holdings Inc,Health Care,73.53,96.3
123,HD,Home Depot,Consumer Discretionary,95.0,76.47
124,HLT,Hilton Inc,Consumer Discretionary,82.14,81.82
125,HOG,Harley-Davidson Inc,Consumer Discretionary,92.59,88.89
126,HOLX,Hologic Inc,Health Care,93.88,81.82
127,HON,Honeywell International Inc,Industrials,80.77,100.0
128,HPE,Hewlett Packard Enterprise Comp,Information Technology,77.78,100.0
129,HRB,H&R Block,Financials,78.85,83.87
130,HRL,Hormel Foods Corp,Consumer Staples,73.53,83.33
131,HST,Host Marriott Financial Trust,Real Estate,100.0,74.24
132,HSY,Hershey Foods Corp,Consumer Staples,100.0,75.0
133,HUM,Humana Inc,Health Care,75.0,92.31
134,IDXX,Idexx Laboratories,Health Care,100.0,79.03
