,Symbol,Name,Sector
0,A,Agilent Technologies,Health Care
1,AAL,American Airlines Gp,Industrials
2,AAP,Advance Auto Parts Inc,Consumer Discretionary
3,AAPL,Apple Inc,Information Technology
4,ABBV,Abbvie Inc,Health Care
5,ABC,Amerisourcebergen Corp,Health Care
6,ABMD,Abiomed Inc,None
7,ABT,Abbott Laboratories,Health Care
8,ACN,Accenture Plc,Information Technology
9,ADBE,Adobe Systems Inc,Information Technology
10,ADI,Analog Devices,Information Technology
11,ADM,Archer Daniels Midland,Consumer Staples
12,ADP,Automatic Data Procs,Information Technology
13,ADS,Alliance Data Systems Corp,Information Technology
14,ADSK,Autodesk Inc,Information Technology
15,AEE,Ameren Corp,Utilities
16,AEP,American Electric Power Company,Utilities
17,AES,The Aes Corp,Utilities
18,AFL,Aflac Incorporated,Financials
19,AGN,Allergan Plc,Health Care
20,AIG,American International Group,Financials
21,AIV,Apartment Investment and Management,Real Estate
22,AIZ,Assurant Inc,Financials
23,AJG,Arthur J. Gallagher & CO,Financials
24,AKAM,Akamai Technologies,Information Technology
25,ALB,Albemarle Corp,Materials
26,ALGN,Align Technology,Health Care
27,ALK,Alaska Air Group,Industrials
28,ALL,Allstate Corp,Financials
29,ALLE,Allegion Plc,Industrials
30,ALXN,Alexion Pharm Inc,Health Care
31,AMAT,Applied Materials,Information Technology
32,AMCR,Amcor Plc,None
33,AMD,Adv Micro Devices,Information Technology
34,AME,Amtek Inc,Industrials
35,AMG,Affiliated Managers Group,Financials
36,AMGN,Amgen Inc,Health Care
37,AMP,Ameriprise Financial Services,Financials
38,AMT,American Tower Corp,Real Estate
39,AMZN,Amazon.com Inc,Consumer Discretionary
40,ANET,Arista Networks Inc,None
41,ANSS,Ansys Inc,Information Technology
42,ANTM,Anthem Inc,Health Care
43,AON,AON Plc,Financials
44,AOS,Smith [A.O.] Corp,Industrials
45,APA,Apache Corp,Energy
46,APD,Air Products and Chemicals,Materials
47,APH,Amphenol Corp,Information Technology
48,APTV,Aptiv Plc,Consumer Discretionary
49,ARE,Alexandria Real Estate Equities,Real Estate
50,ARNC,Arconic Inc,Industrials
51,ATO,Atmos Energy Corp,None
52,ATVI,Activision Blizzard,Information Technology
53,AVB,Avalonbay Communities,Real Estate
54,AVGO,Broadcom Ltd,Information Technology
55,AVY,Avery Dennison Corp,Materials
56,AWK,American Water Works,Utilities
57,AXP,American Express Company,Financials
58,AZO,Autozone,Consumer Discretionary
59,BA,Boeing Company,Industrials
60,BAC,Bank of America Corp,Financials
61,BAX,Baxter International Inc,Health Care
62,BBT,BB&T Corp,Financials
63,BBY,Best Buy CO,Consumer Discretionary
64,BDX,Becton Dickinson and Company,Health Care
65,BEN,Franklin Resources,Financials
66,BF.B,Brown Forman Inc Cl B,Consumer Staples
67,BHGE,Baker Hughes A Ge Co. Cl A,Energy
68,BIIB,Biogen Inc,Health Care
69,BK,Bank of New York Mellon Corp,Financials
70,BKNG,Booking Holdings Inc,Consumer Discretionary
71,BLK,Blackrock,Financials
72,BLL,Ball Corp,Materials
73,BMY,Bristol-Myers Squibb Company,Health Care
74,BR,Broadridge Financial Solutions Llc,None
75,BRK.B,Berkshire Hathaway Cl B,Financials
76,BSX,Boston Scientific Corp,Health Care
77,BWA,Borgwarner Inc,Consumer Discretionary
