,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-10-03,491355.58,493020.93,1665.35,0.34,1665.35,0.33
1,2019-10-04,493020.93,493508.41,487.48,0.1,2152.83,0.43
2,2019-10-07,493508.41,491509.92,-1998.49,-0.4,154.34,0.03
3,2019-10-08,491509.92,483682.44,-7827.48,-1.59,-7673.14,-1.54
4,2019-10-09,483682.44,488767.7,5085.26,1.05,-2587.88,-0.52
5,2019-10-10,488767.7,491807.99,3040.29,0.62,452.41,0.09
6,2019-10-11,491807.99,500567.44,8759.45,1.78,9211.86,1.85
7,2019-10-14,500567.44,497719.95,-2847.49,-0.57,6364.37,1.28
8,2019-10-15,497719.95,501155.2,3435.25,0.69,9799.62,1.96
9,2019-10-16,501155.2,497084.19,-4071.01,-0.81,5728.61,1.15
10,2019-10-17,497084.19,494240.48,-2843.71,-0.57,2884.9,0.58
11,2019-10-18,494240.48,489146.08,-5094.4,-1.03,-2209.5,-0.44
12,2019-10-21,489146.08,487276.68,-1869.4,-0.38,-4078.9,-0.82
13,2019-10-22,487276.68,484543.98,-2732.7,-0.56,-6811.6,-1.37
14,2019-10-23,484543.98,485803.59,1259.61,0.26,-5551.99,-1.11
15,2019-10-24,485803.59,488868.3,3064.71,0.63,-2487.28,-0.5
16,2019-10-25,488868.3,484865.72,-4002.58,-0.82,-6489.86,-1.3
17,2019-10-28,484865.72,483294.22,-1571.5,-0.32,-8061.36,-1.62
18,2019-10-29,483294.22,482394.17,-900.05,-0.19,-8961.41,-1.8
19,2019-10-30,482394.17,482484.1,89.93,0.02,-8871.48,-1.78
20,2019-10-31,482484.1,487000.96,4516.86,0.94,-4354.62,-0.87
21,2019-11-01,487000.96,485382.37,-1618.59,-0.33,-5973.21,-1.2
22,2019-11-04,485382.37,482377.68,-3004.69,-0.62,-8977.9,-1.8
23,2019-11-05,482377.68,479309.21,-3068.47,-0.64,-12046.37,-2.41
24,2019-11-06,479309.21,482224.96,2915.75,0.61,-9130.62,-1.83
25,2019-11-07,482224.96,471101.09,-11123.87,-2.31,-20254.49,-4.06
26,2019-11-08,471101.09,467742.51,-3358.58,-0.71,-23613.07,-4.73
27,2019-11-11,467742.51,466984.87,-757.64,-0.16,-24370.71,-4.89
28,2019-11-12,466984.87,467924.16,939.29,0.2,-23431.42,-4.7
29,2019-11-13,467924.16,471896.99,3972.83,0.85,-19458.59,-3.9
30,2019-11-14,471896.99,469450.3,-2446.69,-0.52,-21905.28,-4.39
31,2019-11-15,469450.3,463399.64,-6050.66,-1.29,-27955.94,-5.6
32,2019-11-18,463399.64,462258.19,-1141.45,-0.25,-29097.39,-5.83
33,2019-11-19,462258.19,467753.94,5495.75,1.19,-23601.64,-4.73
34,2019-11-20,467753.94,472624.8,4870.86,1.04,-18730.78,-3.75
35,2019-11-21,472624.8,469072.42,-3552.38,-0.75,-22283.16,-4.47
