,Date,Nbre Positions,Nbre Tickers,Nbre Long,Nbre Short,Exposition Long,Exposition Short,Exposition Totale,Latent PnL
0,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.48000000000252
1,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.4800000000025
2,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
3,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.48000000000252
4,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
5,2019-12-30,6,6,0,6,0.0,-160751.53,-160751.53,-283.5500000000063
6,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.4800000000025
7,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
8,2019-12-30,7,6,0,7,0.0,-171096.83,-171096.83,-207.600000000006
9,2019-12-31,6,6,0,6,0.0,-210563.68,-210563.68,-426.66000000000685
10,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.48000000000252
11,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
12,2019-12-30,8,6,0,8,0.0,-181442.13,-181442.13,-131.65000000000575
13,2019-12-31,6,6,0,6,0.0,-210563.68,-210563.68,-426.660000000007
14,2020-01-02,6,6,0,6,0.0,-270721.13,-270721.13,-758.06000000001
15,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.4800000000025
16,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
17,2019-12-30,9,6,0,9,0.0,-191787.43,-191787.43,-55.70000000000547
18,2019-12-31,6,6,0,6,0.0,-210563.68,-210563.68,-426.660000000007
19,2020-01-02,8,6,0,8,0.0,-370876.38,-370876.38,-661.6400000000168
20,2020-01-03,4,4,0,4,0.0,-210692.28,-210692.28,-693.2600000000048
21,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.48000000000252
22,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
23,2019-12-30,10,6,0,10,0.0,-202132.73,-202132.73,20.2499999999948
24,2019-12-31,6,6,0,6,0.0,-210563.68,-210563.68,-426.660000000007
25,2020-01-02,10,6,0,10,0.0,-471031.63,-471031.63,-565.220000000024
26,2020-01-03,5,4,0,5,0.0,-270806.28,-270806.28,-1063.0600000000045
27,2020-01-06,4,4,0,4,0.0,-190611.64,-190611.64,-132.8600000000072
28,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.4800000000025
29,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
30,2019-12-30,11,6,0,11,0.0,-212478.03,-212478.03,96.19999999999509
31,2019-12-31,6,6,0,6,0.0,-210563.68,-210563.68,-426.660000000007
32,2020-01-02,12,6,0,12,0.0,-571186.8800000001,-571186.8800000001,-468.8000000000311
33,2020-01-03,5,4,0,5,0.0,-270806.28,-270806.28,-1063.0600000000045
34,2020-01-06,6,4,0,6,0.0,-300994.78,-300994.78,179.41999999999192
35,2020-01-07,4,4,0,4,0.0,-180434.46,-180434.46,-728.4600000000079
36,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.48000000000252
37,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
38,2019-12-30,11,6,0,11,0.0,-212478.03,-212478.03,96.19999999999509
39,2019-12-31,6,6,0,6,0.0,-210563.68,-210563.68,-426.660000000007
40,2020-01-02,14,6,0,14,0.0,-671342.1300000001,-671342.1300000001,-372.3800000000381
41,2020-01-03,5,4,0,5,0.0,-270806.28,-270806.28,-1063.0600000000045
42,2020-01-06,7,4,0,7,0.0,-341082.9400000001,-341082.9400000001,84.3599999999888
43,2020-01-07,4,4,0,4,0.0,-180434.46,-180434.46,-728.4600000000079
44,2020-01-08,6,6,0,6,0.0,-321569.39,-321569.39,-487.62000000000603
45,2019-12-26,5,5,0,5,0.0,-50135.41,-50135.41,-213.4800000000025
46,2019-12-27,5,5,0,5,0.0,-100270.82,-100270.82,-416.8300000000048
