,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
11,2020-01-14,FBHS,0,1,1,0,68.0199966430664
28,2020-01-14,C,0,1,1,0,81.91000366210938
48,2020-01-14,JNPR,0,1,1,0,24.459999084472656
52,2020-01-14,PSX,0,1,1,0,106.37999725341797
59,2020-01-14,K,0,1,1,0,70.0
84,2020-01-14,JWN,0,1,1,0,41.5
98,2020-01-14,LEN,0,1,1,0,61.630001068115234
138,2020-01-14,COF,0,1,0,0,102.55999755859375
146,2020-01-14,LNC,1,0,0,1,59.220001220703125
209,2020-01-14,LHX,0,1,1,0,212.77999877929688
211,2020-01-14,HPE,0,1,1,0,15.539999961853027
220,2020-01-14,KMX,0,1,1,0,91.94000244140625
282,2020-01-14,WMB,0,1,1,0,23.84000015258789
