,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-10-03,498825.0,500580.6,1755.6,0.35,1755.6,0.35
1,2019-10-04,500580.6,501319.3,738.7,0.15,2494.3,0.5
2,2019-10-07,501319.3,499958.94,-1360.36,-0.27,1133.94,0.23
3,2019-10-08,499958.94,497927.11,-2031.83,-0.41,-897.89,-0.18
4,2019-10-09,497927.11,501212.99,3285.88,0.66,2387.99,0.48
5,2019-10-10,501212.99,503663.29,2450.3,0.49,4838.29,0.97
6,2019-10-11,503663.29,510512.26,6848.97,1.36,11687.26,2.34
7,2019-10-14,510512.26,509605.55,-906.71,-0.18,10780.55,2.16
8,2019-10-15,509605.55,512376.79,2771.24,0.54,13551.79,2.72
9,2019-10-16,512376.79,511186.54,-1190.25,-0.23,12361.54,2.48
10,2019-10-17,511186.54,510352.06,-834.48,-0.16,11527.06,2.31
11,2019-10-18,510352.06,508501.05,-1851.01,-0.36,9676.05,1.94
12,2019-10-21,508501.05,507814.06,-686.99,-0.14,8989.06,1.8
13,2019-10-22,507814.06,503218.76,-4595.3,-0.9,4393.76,0.88
14,2019-10-23,503218.76,502944.44,-274.32,-0.05,4119.44,0.83
15,2019-10-24,502944.44,504793.89,1849.45,0.37,5968.89,1.2
16,2019-10-25,504793.89,502206.16,-2587.73,-0.51,3381.16,0.68
17,2019-10-28,502206.16,502812.67,606.51,0.12,3987.67,0.8
18,2019-10-29,502812.67,503854.6,1041.93,0.21,5029.6,1.01
19,2019-10-30,503854.6,503944.14,89.54,0.02,5119.14,1.03
20,2019-10-31,503944.14,503745.71,-198.43,-0.04,4920.71,0.99
21,2019-11-01,503745.71,507677.4,3931.69,0.78,8852.4,1.77
22,2019-11-04,507677.4,508761.19,1083.79,0.21,9936.19,1.99
