,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-12-23,500127.51,500127.51,0.0,0.0,0.0,0.0
1,2019-12-24,500127.51,500184.67,57.16,0.01,57.16,0.01
2,2019-12-25,500184.67,500184.67,0.0,0.0,57.16,0.01
3,2019-12-26,500184.67,499095.97,-1088.7,-0.22,-1031.54,-0.21
4,2019-12-27,499095.97,499722.18,626.21,0.13,-405.33,-0.08
5,2019-12-30,499722.18,500955.27,1233.09,0.25,827.76,0.17
6,2019-12-31,500955.27,500285.18,-670.09,-0.13,157.67,0.03
7,2020-01-02,500285.18,499153.61,-1131.57,-0.23,-973.9,-0.2
8,2020-01-03,499153.61,501149.19,1995.58,0.4,1021.68,0.2
9,2020-01-06,501149.19,501306.53,157.34,0.03,1179.02,0.24
10,2020-01-07,501306.53,500704.29,-602.24,-0.12,576.78,0.12
11,2020-01-08,500704.29,500280.24,-424.05,-0.08,152.73,0.03
12,2020-01-09,500280.24,497722.53,-2557.71,-0.51,-2404.98,-0.48
13,2020-01-10,497722.53,501677.05,3954.52,0.79,1549.54,0.31
14,2020-01-13,501677.05,498239.12,-3437.93,-0.69,-1888.39,-0.38
15,2020-01-14,498239.12,497805.4,-433.72,-0.09,-2322.11,-0.47
16,2020-01-15,497805.4,499153.17,1347.77,0.27,-974.34,-0.2
17,2020-01-16,499153.17,492662.55,-6490.62,-1.3,-7464.96,-1.5
18,2020-01-17,492662.55,492315.64,-346.91,-0.07,-7811.87,-1.57
19,2020-01-20,492315.64,492315.64,0.0,0.0,-7811.87,-1.57
20,2020-01-21,492315.64,497557.03,5241.39,1.06,-2570.48,-0.52
21,2020-01-22,497557.03,497495.4,-61.63,-0.01,-2632.11,-0.53
22,2020-01-23,497495.4,495831.05,-1664.35,-0.33,-4296.46,-0.86
23,2020-01-24,495831.05,501166.71,5335.66,1.08,1039.2,0.21
