"Date","Price","Open","High","Low","Change %"
"Mar 03, 2019","111.94","111.89","111.96","111.72","0.02%"
"Mar 01, 2019","111.92","111.39","112.08","111.33","0.48%"
"Feb 28, 2019","111.39","111.00","111.50","110.66","0.35%"
"Feb 27, 2019","111.00","110.58","111.08","110.36","0.38%"
"Feb 26, 2019","110.58","111.06","111.09","110.42","-0.43%"
"Feb 25, 2019","111.06","110.67","111.23","110.56","0.26%"
"Feb 24, 2019","110.78","110.68","110.79","110.63","0.08%"
"Feb 22, 2019","110.69","110.69","110.92","110.56","-0.01%"
"Feb 21, 2019","110.70","110.86","110.89","110.58","-0.14%"
"Feb 20, 2019","110.86","110.63","110.95","110.52","0.22%"
"Feb 19, 2019","110.62","110.61","110.83","110.45","0.00%"
"Feb 18, 2019","110.62","110.45","110.67","110.39","0.04%"
"Feb 17, 2019","110.57","110.50","110.57","110.39","0.07%"
"Feb 15, 2019","110.50","110.48","110.66","110.25","0.02%"
"Feb 14, 2019","110.48","111.01","111.13","110.45","-0.47%"
"Feb 13, 2019","111.00","110.50","111.06","110.42","0.47%"
"Feb 12, 2019","110.48","110.36","110.64","110.33","0.09%"
"Feb 11, 2019","110.38","109.83","110.47","109.69","0.51%"
"Feb 10, 2019","109.82","109.76","109.87","109.69","0.08%"
"Feb 08, 2019","109.73","109.81","109.91","109.64","-0.07%"
"Feb 07, 2019","109.81","109.97","110.09","109.61","-0.15%"
"Feb 06, 2019","109.97","109.97","110.06","109.55","0.00%"
"Feb 05, 2019","109.97","109.89","110.03","109.78","0.07%"
"Feb 04, 2019","109.89","109.50","110.16","109.43","0.41%"
"Feb 03, 2019","109.44","109.50","109.54","109.43","-0.05%"
"Feb 01, 2019","109.50","108.89","109.58","108.72","0.57%"
"Jan 31, 2019","108.88","109.04","109.08","108.49","-0.14%"
"Jan 30, 2019","109.03","109.39","109.75","108.81","-0.33%"
"Jan 29, 2019","109.39","109.36","109.55","109.14","0.03%"
"Jan 28, 2019","109.36","109.53","109.61","109.16","-0.05%"
"Jan 27, 2019","109.42","109.52","109.59","109.39","-0.12%"
"Jan 25, 2019","109.55","109.64","109.97","109.45","-0.08%"
"Jan 24, 2019","109.64","109.58","109.81","109.42","0.04%"
"Jan 23, 2019","109.60","109.37","110.00","109.32","0.20%"
"Jan 22, 2019","109.38","109.67","109.70","109.14","-0.26%"
"Jan 21, 2019","109.67","109.75","109.77","109.47","-0.00%"
"Jan 20, 2019","109.68","109.78","109.78","109.64","-0.10%"
"Jan 18, 2019","109.78","109.27","109.89","109.06","0.49%"
"Jan 17, 2019","109.24","109.09","109.40","108.68","0.14%"
"Jan 16, 2019","109.09","108.69","109.20","108.38","0.39%"
"Jan 15, 2019","108.67","108.16","108.77","108.13","0.46%"
"Jan 14, 2019","108.17","108.47","108.56","107.97","-0.26%"
"Jan 13, 2019","108.46","108.57","108.57","108.36","-0.09%"
"Jan 11, 2019","108.55","108.43","108.60","108.14","0.12%"
"Jan 10, 2019","108.42","108.16","108.52","107.77","0.23%"
"Jan 09, 2019","108.17","108.75","109.00","107.97","-0.53%"
"Jan 08, 2019","108.75","108.72","109.09","108.44","0.03%"
"Jan 07, 2019","108.72","108.55","108.75","108.03","0.17%"
"Jan 06, 2019","108.54","108.56","108.75","108.36","0.00%"
"Jan 04, 2019","108.53","107.67","108.59","107.51","0.80%"
"Jan 03, 2019","107.67","108.89","108.92","104.97","-1.11%"
"Jan 02, 2019","108.88","109.67","109.73","108.71","-0.77%"
"Jan 01, 2019","109.72","109.57","109.79","109.57","0.13%"
"Dec 31, 2018","109.58","110.44","110.48","109.55","-0.68%"
"Dec 30, 2018","110.32","110.42","110.42","110.27","0.04%"
"Dec 28, 2018","110.28","110.97","111.06","110.14","-0.65%"
"Dec 27, 2018","111.00","111.38","111.39","110.45","-0.32%"
"Dec 26, 2018","111.36","110.31","111.42","110.14","0.98%"
"Dec 25, 2018","110.28","110.44","110.47","110.00","-0.15%"
"Dec 24, 2018","110.45","110.95","111.21","110.27","-0.56%"
"Dec 23, 2018","111.07","110.97","111.19","110.96","-0.13%"
"Dec 21, 2018","111.22","111.30","111.47","110.94","-0.05%"
"Dec 20, 2018","111.28","112.47","112.61","110.81","-1.07%"
"Dec 19, 2018","112.48","112.52","112.66","112.09","-0.04%"
"Dec 18, 2018","112.53","112.83","112.88","112.25","-0.27%"
"Dec 17, 2018","112.83","113.32","113.53","112.68","-0.50%"
"Dec 16, 2018","113.40","113.36","113.40","113.32","0.01%"
"Dec 14, 2018","113.39","113.64","113.69","113.22","-0.22%"
"Dec 13, 2018","113.64","113.28","113.72","113.20","0.32%"
"Dec 12, 2018","113.28","113.39","113.53","113.14","-0.10%"
"Dec 11, 2018","113.39","113.33","113.47","113.00","0.04%"
"Dec 10, 2018","113.34","112.70","113.38","112.25","0.73%"
"Dec 09, 2018","112.52","112.62","112.69","112.43","-0.19%"
"Dec 07, 2018","112.73","112.67","112.94","112.55","0.05%"
"Dec 06, 2018","112.67","113.19","113.22","112.22","-0.46%"
"Dec 05, 2018","113.19","112.77","113.25","112.64","0.36%"
"Dec 04, 2018","112.78","113.66","113.67","112.58","-0.78%"
"Dec 03, 2018","113.67","113.47","113.86","113.38","-0.09%"
"Dec 02, 2018","113.77","113.66","113.82","113.61","0.26%"
"Nov 30, 2018","113.47","113.50","113.72","113.33","-0.01%"
"Nov 29, 2018","113.48","113.69","113.69","113.19","-0.18%"
"Nov 28, 2018","113.69","113.78","114.03","113.44","-0.08%"
"Nov 27, 2018","113.78","113.58","113.85","113.41","0.17%"
"Nov 26, 2018","113.59","112.94","113.64","112.86","0.60%"
"Nov 25, 2018","112.91","112.92","112.94","112.88","-0.04%"
"Nov 23, 2018","112.95","112.94","113.02","112.64","0.01%"
"Nov 22, 2018","112.94","113.05","113.14","112.86","-0.11%"
"Nov 21, 2018","113.06","112.77","113.14","112.61","0.26%"
"Nov 20, 2018","112.77","112.56","112.84","112.31","0.19%"
"Nov 19, 2018","112.56","112.83","112.89","112.42","-0.14%"
"Nov 18, 2018","112.72","112.80","112.85","112.61","-0.10%"
"Nov 16, 2018","112.83","113.64","113.66","112.64","-0.71%"
"Nov 15, 2018","113.64","113.62","113.72","113.11","0.02%"
"Nov 14, 2018","113.62","113.81","114.02","113.30","-0.17%"
"Nov 13, 2018","113.81","113.83","114.15","113.57","-0.02%"
"Nov 12, 2018","113.83","113.83","114.20","113.66","-0.02%"
