,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,82.86,96.83
1,AAL,American Airlines Gp,Industrials,93.85,94.44
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,89.87,97.06
3,ABBV,Abbvie Inc,Health Care,80.95,80.95
4,ABT,Abbott Laboratories,Health Care,75.0,97.14
5,ACN,Accenture Plc,Information Technology,87.5,77.27
6,ADBE,Adobe Systems Inc,Information Technology,73.81,100.0
7,ADI,Analog Devices,Information Technology,93.75,80.0
8,ADM,Archer Daniels Midland,Consumer Staples,95.45,69.7
9,ADSK,Autodesk Inc,Information Technology,85.71,71.79
10,AEE,Ameren Corp,Utilities,85.71,100.0
11,AEP,American Electric Power Company,Utilities,100.0,89.74
12,AES,The Aes Corp,Utilities,77.27,91.3
13,AGN,Allergan Plc,Health Care,83.87,82.05
14,AJG,Arthur J. Gallagher & CO,Financials,100.0,77.78
15,AKAM,Akamai Technologies,Information Technology,81.58,70.97
16,ALB,Albemarle Corp,Materials,76.0,70.45
17,ALK,Alaska Air Group,Industrials,72.5,87.88
18,ALL,Allstate Corp,Financials,71.43,100.0
19,ALXN,Alexion Pharm Inc,Health Care,94.83,90.24
20,AME,Amtek Inc,Industrials,79.41,81.25
21,AMGN,Amgen Inc,Health Care,79.17,100.0
22,AMP,Ameriprise Financial Services,Financials,74.36,70.73
23,AMT,American Tower Corp,Real Estate,73.33,86.96
24,ANET,Arista Networks Inc,None,78.57,69.57
25,ANSS,Ansys Inc,Information Technology,71.43,90.0
26,ANTM,Anthem Inc,Health Care,85.71,100.0
27,AON,AON Plc,Financials,100.0,100.0
28,APA,Apache Corp,Energy,86.05,88.89
29,APH,Amphenol Corp,Information Technology,76.67,73.33
30,APTV,Aptiv Plc,Consumer Discretionary,100.0,79.31
31,ARE,Alexandria Real Estate Equities,Real Estate,80.65,100.0
32,AVB,Avalonbay Communities,Real Estate,90.24,81.25
33,AVGO,Broadcom Ltd,Information Technology,77.78,100.0
34,AWK,American Water Works,Utilities,78.12,89.74
35,AXP,American Express Company,Financials,72.73,71.43
36,BA,Boeing Company,Industrials,73.81,100.0
37,BAC,Bank of America Corp,Financials,89.66,69.39
38,BBT,BB&T Corp,Financials,83.33,87.5
39,BBY,Best Buy CO,Consumer Discretionary,88.46,86.96
40,BIIB,Biogen Inc,Health Care,70.73,82.05
41,BK,Bank of New York Mellon Corp,Financials,92.59,85.19
42,BKNG,Booking Holdings Inc,Consumer Discretionary,90.91,96.43
43,BLK,Blackrock,Financials,78.57,71.93
44,BXP,Boston Properties,Real Estate,74.19,77.78
45,CAH,Cardinal Health,Health Care,74.36,94.12
46,CAT,Caterpillar Inc,Industrials,100.0,87.5
47,CB,Chubb Ltd,Financials,77.78,100.0
48,CBRE,CBRE Group Inc,Real Estate,72.97,80.95
49,CBS,CBS Corp,Consumer Discretionary,85.71,77.14
50,CE,Celanese Corp,None,83.72,86.36
51,CELG,Celgene Corp,Health Care,78.72,70.0
52,CFG,Citizens Financial Group Inc/Ri,Financials,71.88,100.0
53,CMCSA,Comcast Corp A,Consumer Discretionary,73.53,76.92
54,CMI,Cummins Inc,Industrials,81.48,79.17
55,CNC,Centene Corp,Health Care,91.67,81.82
56,CNP,Centerpoint Energy Inc,Utilities,75.76,85.71
57,COF,Capital One Financial Corp,Financials,69.7,90.91
58,COG,Cabot Oil & Gas Corp,Energy,84.78,100.0
59,CPRI,Capri Holdings Ltd,None,85.71,90.32
60,CPRT,Copart Inc,None,78.95,83.33
61,CSCO,Cisco Systems Inc,Information Technology,75.0,82.86
62,CSX,CSX Corp,Industrials,78.95,88.24
63,CTL,Centurylink,Telecommunication Services,77.78,90.48
64,CTSH,Cognizant Tech Sol,Information Technology,79.49,90.32
65,CXO,Concho Resources Inc,Energy,80.85,87.18
66,DAL,Delta Air Lines Inc,Industrials,91.18,78.57
67,DD,Du Pont De.Nemours Inc,None,81.48,91.3
68,DGX,Quest Diagnostics Inc,Health Care,100.0,85.19
69,DHI,D.R. Horton,Consumer Discretionary,72.5,98.53
70,DISCK,Discovery Comm Inc,Consumer Discretionary,84.62,69.7
71,DISH,Dish Network Corp,Consumer Discretionary,94.59,88.71
72,DOV,Dover Corp,Industrials,69.23,71.43
73,DRI,Darden Restaurants,Consumer Discretionary,81.82,70.37
74,DTE,Dte Energy Company,Utilities,88.89,92.31
75,DUK,Duke Energy Corp,Utilities,90.0,100.0
76,DVA,Davita Healthcare Partners Inc,Health Care,83.78,90.48
77,DVN,Devon Energy Corp,Energy,91.11,70.24
78,EBAY,Ebay Inc,Information Technology,85.19,71.74
79,EFX,Equifax Inc,Industrials,81.82,85.0
80,EIX,Edison International,Utilities,82.61,70.97
81,EOG,Eog Resources,Energy,96.15,90.62
82,ES,Eversource Energy,Utilities,83.78,81.82
83,ESS,Essex Property Trust,Real Estate,79.31,82.35
84,ETFC,E*Trade Finl Corp,Financials,94.87,78.38
85,ETR,Entergy Corp,Utilities,84.78,98.25
86,EW,Edwards Lifesciences Corp,Health Care,83.33,88.89
87,EXC,Exelon Corp,Utilities,76.74,93.1
88,EXPD,Expeditors Intl,Industrials,69.23,100.0
