,Date,Open Long,Close Long,Open Short,Close Short,Exposure Long,Exposure Short,Exposure,Net Exposure,PNL,Unrealized PNL,Cumulative PNL,NAV,Net Long,Net Short,Maximum Drawdown
0,2019-03-14,2,0,1,0,10263.45,-4952.25,15215.699999999999,5311.200000000001,0.0,0.0,0.0,50000.0,2,1,0.0
1,2019-03-15,1,1,0,0,10229.45,-4952.25,15181.699999999997,5277.200000000001,48.4,-8.899999999999999,48.4,50039.5,2,1,-8.899999999999999
2,2019-03-18,0,1,1,0,5094.77,-9954.94,15049.709999999997,-4860.17,112.2,53.27,160.6,50213.869999999995,1,2,-8.899999999999999
3,2019-03-19,0,0,1,0,5094.77,-14971.560000000001,20066.329999999998,-9876.79,0.0,140.73000000000002,160.6,50301.33,1,3,-8.899999999999999
4,2019-03-20,1,0,0,0,10070.29,-14971.560000000001,25041.85,-4901.27,0.0,328.59000000000003,160.6,50489.189999999995,2,3,-8.899999999999999
5,2019-03-21,0,0,2,0,10070.29,-24982.33,35052.619999999995,-14912.04,0.0,231.84,160.6,50392.439999999995,2,5,-8.899999999999999
6,2019-03-22,0,0,0,0,10070.29,-24982.33,35052.619999999995,-14912.04,0.0,12.899999999999999,160.6,50173.5,2,5,-8.899999999999999
7,2019-03-25,0,0,0,1,10070.29,-20151.13,30221.419999999995,-10080.84,170.5,179.18,331.1,50510.28,2,4,-8.899999999999999
8,2019-03-26,0,0,0,1,10070.29,-15287.280000000002,25357.569999999996,-5216.990000000002,138.84,52.81,469.94000000000005,50522.75,2,3,-8.899999999999999
9,2019-03-27,1,0,0,0,15089.5,-15287.280000000002,30376.779999999995,-197.78000000000247,0.0,-18.799999999999997,469.94000000000005,50451.14,3,3,-18.799999999999997
10,2019-03-28,0,0,0,0,15089.5,-15287.280000000002,30376.779999999995,-197.78000000000247,0.0,-6.509999999999998,469.94000000000005,50463.43,3,3,-18.799999999999997
11,2019-03-29,1,0,0,0,20071.89,-15287.280000000002,35359.17,4784.609999999997,0.0,12.66,469.94000000000005,50482.600000000006,4,3,-18.799999999999997
12,2019-04-01,0,1,0,0,14861.099999999999,-15287.280000000002,30148.379999999997,-426.18000000000393,191.58,353.73,661.5200000000001,51015.25,3,3,-18.799999999999997
13,2019-04-02,0,0,1,1,14861.099999999999,-15536.500000000005,30397.6,-675.4000000000069,266.56,155.68,928.0800000000002,51083.76,3,3,-18.799999999999997
14,2019-04-03,0,0,0,0,14861.099999999999,-15536.500000000005,30397.6,-675.4000000000069,0.0,58.43,928.0800000000002,50986.51,3,3,-18.799999999999997
15,2019-04-04,0,1,1,0,9660.71,-20561.020000000004,30221.729999999996,-10900.310000000005,218.0,96.19,1146.0800000000002,51242.270000000004,2,4,-18.799999999999997
16,2019-04-05,0,0,0,0,9660.71,-20561.020000000004,30221.729999999996,-10900.310000000005,0.0,248.85999999999999,1146.0800000000002,51394.94,2,4,-18.799999999999997
