"Date","Close_GSPC","Close_GSPC_hat"
"2016-08-02",2163.790039,2598.852001
"2016-08-04",2182.870117,2595.022952
"2016-08-01",2157.030029,2594.772456
"2016-07-29",2170.840088,2591.793840
"2016-08-03",2164.250000,2591.348915
"2016-08-10",2185.790039,2585.799469
"2017-09-07",2461.429932,2581.614435
"2016-07-08",2137.159912,2579.876656
"2017-09-08",2488.110107,2579.715987
"2016-08-05",2180.889893,2579.602518
"2016-08-09",2175.489990,2578.287156
"2016-09-06",2186.159912,2578.025453
"2017-09-01",2457.850098,2577.884551
"2017-09-12",2498.370117,2576.110218
"2016-08-08",2181.739990,2573.777282
"2016-08-18",2183.870117,2573.111682
"2016-08-11",2184.050049,2572.909869
"2016-07-28",2173.600098,2572.249401
"2016-09-07",2181.300049,2572.097415
"2017-08-31",2476.550049,2572.035530
"2017-09-11",2496.479980,2571.728372
"2016-07-27",2170.060059,2571.576297
"2017-09-05",2465.540039,2570.484534
"2017-09-14",2500.229980,2569.071611
"2016-09-23",2146.100098,2567.724413
"2017-09-06",2465.100098,2566.979372
"2016-07-11",2152.139893,2566.886949
"2016-08-12",2190.149902,2566.656604
"2016-08-17",2187.020020,2564.965654
"2016-08-15",2178.149902,2564.937477
"2016-09-22",2164.689941,2563.879595
"2017-09-13",2495.620117,2563.695690
"2017-09-15",2503.870117,2563.680625
"2016-08-16",2182.219971,2561.821249
"2016-08-19",2182.639893,2561.260314
"2016-07-13",2163.750000,2559.416160
"2016-07-07",2129.899902,2558.293403
"2016-09-02",2186.479980,2558.216751
"2016-07-19",2173.020020,2557.807347
"2016-08-22",2186.899902,2556.945362
"2017-09-19",2508.239990,2555.353678
"2016-07-21",2175.030029,2555.327558
"2017-08-28",2446.300049,2555.289495
"2017-08-30",2471.649902,2555.039273
"2016-08-23",2175.439941,2553.850363
"2016-07-06",2097.899902,2553.636856
"2016-09-08",2127.810059,2552.959087
"2016-07-22",2168.479980,2552.648987
"2017-09-18",2506.649902,2551.880951
"2016-09-21",2177.179932,2551.495322
"2016-09-27",2171.370117,2550.299341
"2017-08-29",2457.590088,2550.157891
"2016-07-18",2163.780029,2549.924317
"2016-07-14",2161.739990,2548.865056
"2017-10-13",2557.639893,2547.667401
"2017-09-25",2496.840088,2547.081104
"2017-09-20",2500.600098,2546.090730
"2016-07-26",2166.580078,2545.196573
"2016-09-28",2151.129883,2544.271914
"2017-09-22",2496.659912,2543.683322
"2016-09-26",2159.929932,2543.354413
"2016-07-15",2166.889893,2542.986302
"2016-07-05",2099.729980,2542.359052
"2017-06-07",2433.790039,2540.581349
"2016-07-25",2169.179932,2540.263672
