,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,78.95,100.0
1,AAL,American Airlines Gp,Industrials,75.93,76.92
2,ABC,Amerisourcebergen Corp,Health Care,92.0,87.1
3,ABMD,Abiomed Inc,None,100.0,92.86
4,ABT,Abbott Laboratories,Health Care,88.89,70.0
5,ACN,Accenture Plc,Information Technology,94.44,77.78
6,ADI,Analog Devices,Information Technology,70.45,95.0
7,ADP,Automatic Data Procs,Information Technology,76.09,85.71
8,AEE,Ameren Corp,Utilities,78.57,71.43
9,AES,The Aes Corp,Utilities,69.23,72.5
10,AFL,Aflac Incorporated,Financials,100.0,76.92
11,AIV,Apartment Investment and Management,Real Estate,71.88,86.36
12,AJG,Arthur J. Gallagher & CO,Financials,77.78,77.78
13,AKAM,Akamai Technologies,Information Technology,78.79,72.73
14,ALK,Alaska Air Group,Industrials,96.23,83.02
15,AMD,Adv Micro Devices,Information Technology,85.71,75.86
16,AME,Amtek Inc,Industrials,92.86,100.0
17,AMG,Affiliated Managers Group,Financials,80.0,80.65
18,AMP,Ameriprise Financial Services,Financials,97.14,85.71
19,AMT,American Tower Corp,Real Estate,100.0,85.71
20,ANTM,Anthem Inc,Health Care,75.68,100.0
21,APA,Apache Corp,Energy,81.16,81.58
22,APD,Air Products and Chemicals,Materials,95.24,91.67
23,APH,Amphenol Corp,Information Technology,90.48,92.31
24,APTV,Aptiv Plc,Consumer Discretionary,95.65,100.0
25,ARE,Alexandria Real Estate Equities,Real Estate,76.47,77.78
26,ARNC,Arconic Inc,Industrials,96.3,85.71
27,AVB,Avalonbay Communities,Real Estate,72.0,98.84
28,BA,Boeing Company,Industrials,90.48,100.0
29,BDX,Becton Dickinson and Company,Health Care,71.43,90.0
30,BEN,Franklin Resources,Financials,90.0,74.07
31,BK,Bank of New York Mellon Corp,Financials,79.31,71.43
32,BKNG,Booking Holdings Inc,Consumer Discretionary,92.86,75.0
33,BLK,Blackrock,Financials,100.0,81.25
34,BMY,Bristol-Myers Squibb Company,Health Care,95.24,83.33
35,BXP,Boston Properties,Real Estate,92.16,85.29
36,C,Citigroup Inc,Financials,93.75,71.79
37,CAG,Conagra Brands Inc,Consumer Staples,76.0,94.12
38,CAH,Cardinal Health,Health Care,92.86,78.12
39,CBS,CBS Corp,Consumer Discretionary,75.86,86.67
40,CCI,Crown Castle International Corp,Real Estate,70.73,69.57
41,CDNS,Cadence Design Sys,Information Technology,72.73,100.0
42,CE,Celanese Corp,None,70.0,71.88
43,CELG,Celgene Corp,Health Care,83.33,83.33
44,CF,Cf Industries Holdings,Materials,93.55,71.43
45,CHRW,C.H. Robinson Ww,Industrials,74.29,75.0
46,CHTR,Charter Communicatio,Consumer Discretionary,69.09,100.0
47,CI,Cigna Corp,Health Care,79.49,91.67
48,CLX,Clorox Company,Consumer Staples,75.0,91.3
