,Date,Compte,Ticker,Type,Quantité,Exposition,Latent PnL
0,2019-12-26,DU1507425,KEY,Stock,-492.0,-9992.52,-29.520000000001122
1,2019-12-26,DU1507425,CXO,Stock,-117.0,-10040.94,-28.080000000001068
2,2019-12-26,DU1507425,FITB,Stock,-323.0,-10003.31,-48.450000000000685
3,2019-12-26,DU1507425,JWN,Stock,-248.0,-10021.68,-183.5200000000005
4,2019-12-26,DU1507425,NCLH,Stock,-172.0,-10019.0,-147.9199999999999
5,2019-12-26,DU1507425,WFC,Stock,-186.0,-10042.14,-29.75999999999937
6,2019-12-26,DU1507425,FTV,Stock,-131.0,-10050.32,56.329999999999025
7,2019-12-26,DU1507425,CLX,Stock,-66.0,-10043.88,-50.1599999999994
8,2019-12-26,DU1507425,KEY,Stock,-1476.0,-29977.56,-44.28000000000343
9,2019-12-26,DU1507425,CXO,Stock,-351.0,-30122.82,-3.510000000003462
10,2019-12-26,DU1507425,FITB,Stock,-969.0,-30009.93,-74.29000000000127
11,2019-12-26,DU1507425,JWN,Stock,-744.0,-30065.04,-488.5600000000016
12,2019-12-26,DU1507425,NCLH,Stock,-516.0,-30057.0,-443.7599999999997
13,2019-12-26,DU1507425,WFC,Stock,-558.0,-30126.42,-46.499999999998685
14,2019-12-26,DU1507425,FTV,Stock,-393.0,-30150.96,130.99999999999812
15,2019-12-26,DU1507425,CLX,Stock,-198.0,-30131.64,-189.4199999999984
16,2019-12-30,DU1507425,KEY,Stock,-1968.0,-39970.08,-3.502975687297294e-12
17,2019-12-30,DU1507425,CXO,Stock,-468.0,-40163.76,30.419999999995607
18,2019-12-30,DU1507425,FITB,Stock,-1292.0,-40013.24,61.36999999999813
19,2019-12-30,DU1507425,JWN,Stock,-992.0,-40086.72,-550.5600000000015
20,2019-12-30,DU1507425,NCLH,Stock,-688.0,-40076.0,-502.2400000000003
21,2019-12-30,DU1507425,WFC,Stock,-744.0,-40168.56,26.04000000000142
22,2019-12-30,DU1507425,FTV,Stock,-524.0,-40201.28,188.63999999999783
23,2019-12-30,DU1507425,CLX,Stock,-264.0,-40175.52,-235.61999999999767
24,2019-12-30,DU1507425,BKNG,Stock,-5.0,-10345.3,75.95000000000027
25,2019-12-30,DU1507425,MAS,Stock,-208.0,-9988.16,-14.56000000000006
26,2019-12-30,DU1507425,NWSA,Stock,-708.0,-9989.88,28.3199999999994
27,2019-12-30,DU1507425,DTE,Stock,-78.0,-10030.8,-32.76000000000124
28,2019-12-30,DU1507425,ROK,Stock,-49.0,-9960.72,17.14999999999972
29,2019-12-31,DU1507425,KEY,Stock,-2460.0,-49962.60000000001,34.43999999999664
30,2019-12-31,DU1507425,CXO,Stock,-585.0,-50204.7,-174.33000000000442
31,2019-12-31,DU1507425,FITB,Stock,-1615.0,-50016.55,135.65999999999826
32,2019-12-31,DU1507425,JWN,Stock,-1240.0,-50108.4,-679.5200000000023
33,2019-12-31,DU1507425,NCLH,Stock,-860.0,-50095.0,-529.7599999999999
34,2019-12-31,DU1507425,WFC,Stock,-930.0,-50210.7,61.380000000002305
35,2019-12-31,DU1507425,FTV,Stock,-655.0,-50251.6,231.8699999999976
36,2019-12-31,DU1507425,CLX,Stock,-330.0,-50219.4,-325.3799999999967
37,2019-12-30,DU1507425,BKNG,Stock,-5.0,-10345.3,75.95000000000027
38,2019-12-31,DU1507425,MAS,Stock,-416.0,-19976.32,-8.319999999999823
