,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-12-23,173778.34,173778.34,0.0,0.0,0.0,0.0
1,2019-12-24,173778.34,173778.34,0.0,0.0,0.0,0.0
2,2019-12-25,173778.34,173778.34,0.0,0.0,0.0,0.0
3,2019-12-26,173778.34,173778.34,0.0,0.0,0.0,0.0
4,2019-12-27,173778.34,173778.34,0.0,0.0,0.0,0.0
5,2019-12-30,173778.34,173830.86,52.52,0.03,52.52,0.01
6,2019-12-31,173830.86,172496.04,-1334.82,-0.77,-1282.3,-0.26
7,2020-01-02,172496.04,173016.1,520.06,0.3,-762.24,-0.15
8,2020-01-03,173016.1,172471.96,-544.14,-0.31,-1306.38,-0.26
9,2020-01-06,172471.96,172040.6,-431.36,-0.25,-1737.74,-0.35
10,2020-01-07,172040.6,170989.64,-1050.96,-0.61,-2788.7,-0.56
