,Compte,Type,conId,Ticker,Quantité,Average Cost
0,DU1507428,Stock,15130038,SJM,-97.0,102.9374402
1,DU1507428,Stock,5402,CAG,-314.0,32.02421785
2,DU1507428,Stock,4627828,GS,-43.0,231.09184185
3,DU1507428,Stock,11758,RTN,-46.0,219.96358915
4,DU1507428,Stock,39118796,HES,150.0,65.35666665
5,DU1507428,Stock,9657,MCK,-144.0,141.19306875
6,DU1507428,Stock,8130,HRB,-429.0,23.31439835
7,DU1507428,Stock,5651,CHD,143.0,70.146993
8,DU1507428,Stock,6858322,TSCO,-109.0,91.51881195
9,DU1507428,Stock,318911976,JEF,-475.0,21.26444065
10,DU1507428,Stock,7935,HOG,-288.0,34.87415905
11,DU1507428,Stock,196610642,AGN,-104.0,191.2843827
12,DU1507428,Stock,3142097,PXD,132.0,149.8801515
13,DU1507428,Stock,308728373,BKNG,5.0,1996.7
14,DU1507428,Stock,6735,EFX,-71.0,140.32289155
15,DU1507428,Stock,94078796,FBHS,-147.0,67.98167075
