,Date,Nbre Positions,Nbre Tickers,Nbre Long,Nbre Short,Exposition Long,Exposition Short,Exposition Totale,Latent PnL
0,2019-11-18,3,3,1,2,14925.06,-59635.57,-44710.51,-511.89000000000124
1,2019-11-21,34,34,13,21,579997.3300000001,-986771.65,-406774.32,-2092.509999999993
2,2019-11-18,6,3,2,4,29850.12,-119271.14,-89421.02000000002,-1023.7800000000026
3,2019-11-21,36,34,13,23,579997.3300000001,-1077052.45,-497055.12,-3384.299999999995
4,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
5,2019-11-18,9,3,3,6,44775.18,-178906.71000000005,-134131.53000000006,-1535.6700000000033
6,2019-11-21,38,34,13,25,579997.3300000001,-1167333.25,-587335.9199999999,-4676.0899999999965
7,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
8,2019-11-25,36,36,16,20,1017249.65,-1463879.61,-446629.96,2618.380000000015
9,2019-11-18,12,3,4,8,59700.24,-238542.28,-178842.04000000004,-2047.560000000005
10,2019-11-21,40,34,13,27,579997.3300000001,-1257614.05,-677616.72,-5967.879999999997
11,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000113
12,2019-11-25,37,36,17,20,1091555.65,-1463879.61,-372323.96,4420.380000000021
13,2019-11-26,38,38,17,21,1191152.5,-1747944.78,-556792.28,-379.9699999999896
14,2019-11-18,15,3,5,10,74625.3,-298177.85,-223552.55000000005,-2559.450000000005
15,2019-11-21,42,34,13,29,579997.3300000001,-1347894.85,-767897.52,-7259.67
16,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
17,2019-11-25,38,36,18,20,1165861.65,-1463879.61,-298017.96,6222.380000000028
18,2019-11-26,76,38,34,42,2644685.41,-3794126.29,-1149440.88,-1956.2899999999781
19,2019-11-18,18,3,6,12,89550.36,-357813.42,-268263.0600000001,-3071.3400000000065
20,2019-11-21,44,34,13,31,579997.3300000001,-1438175.65,-858178.3200000002,-8551.460000000001
21,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
22,2019-11-25,39,36,19,20,1240167.65,-1463879.61,-223711.96,8024.380000000034
23,2019-11-26,114,38,51,63,4098218.32,-5840307.8,-1742089.4800000002,-3532.6099999999697
24,2019-11-18,20,3,6,14,89550.36,-417448.99,-327898.6300000001,-3373.4400000000073
25,2019-11-21,46,34,13,33,579997.3300000001,-1528456.45,-948459.12,-9843.250000000002
26,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
27,2019-11-25,40,36,20,20,1314473.65,-1463879.61,-149405.9599999999,9826.380000000041
28,2019-11-26,118,38,53,65,4232577.5200000005,-5975149.98,-1742572.4600000004,-6726.369999999978
29,2019-11-29,50,50,21,29,1595521.78,-2352011.85,-756490.07,109.61000000001404
30,2019-11-18,22,3,6,16,89550.36,-477084.56,-387534.20000000007,-3675.540000000007
31,2019-11-21,48,34,13,35,579997.3300000001,-1618737.25,-1038739.92,-11135.040000000008
32,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
33,2019-11-25,41,36,21,20,1388779.65,-1463879.61,-75099.9599999999,11628.380000000045
34,2019-11-26,122,38,55,67,4366936.720000002,-6109992.159999997,-1743055.4399999997,-9920.129999999986
35,2019-11-29,65,50,24,41,1833715.7,-2918304.63,-1084588.93,3105.0400000000104
36,2019-12-04,36,36,18,18,1616485.99,-2039407.03,-422921.04,-6025.039999999978
37,2019-11-18,24,3,6,18,89550.36,-536720.13,-447169.77,-3977.640000000008
38,2019-11-21,50,34,13,37,579997.3300000001,-1709018.05,-1129020.7200000002,-12426.830000000007
39,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
40,2019-11-25,42,36,22,20,1463085.65,-1463879.61,-793.9599999999042,13430.380000000048
41,2019-11-26,125,38,57,68,4501295.92,-6229921.199999997,-1728625.2799999998,-11631.259999999993
42,2019-11-29,79,50,27,52,2071909.62,-3349952.1900000004,-1278042.57,9878.910000000013
43,2019-12-04,38,36,19,19,1659151.21,-2069115.23,-409964.0200000001,-5142.579999999978
44,2019-12-05,37,37,18,19,1844664.35,-2378412.48,-533748.13,-16640.40999999998
45,2019-11-18,26,3,6,20,89550.36,-596355.7000000001,-506805.34,-4279.740000000008
46,2019-11-21,52,34,13,39,579997.3300000001,-1799298.85,-1219301.5200000005,-13718.62000000001
47,2019-11-22,34,34,14,20,783817.57,-1180185.2300000002,-396367.6600000001,808.2200000000107
48,2019-11-25,43,36,23,20,1537391.65,-1463879.61,73512.0400000001,15232.380000000056
49,2019-11-26,127,38,58,69,4605985.12,-6349850.239999997,-1743865.12,-13664.389999999998
50,2019-11-29,93,50,30,63,2310103.54,-3781599.75,-1471496.21,16652.780000000013
