,Date,Compte,Ticker,Type,Quantité,Exposition,Latent PnL
0,2019-11-21,DU1507425,CAH,Stock,532.0,29526.0,-111.72000000000044
1,2019-11-21,DU1507425,MMC,Stock,-568.0,-60190.96,-542.440000000001
2,2019-11-21,DU1507425,VRTX,Stock,-213.0,-45258.24,-577.2300000000017
3,2019-11-21,DU1507425,AMZN,Stock,60.0,104736.48,-2.199999999995498
4,2019-11-21,DU1507425,MCK,Stock,297.0,44520.3,347.48999999999626
5,2019-11-21,DU1507425,CNC,Stock,-756.0,-45027.36,35.280000000001934
6,2019-11-21,DU1507425,XRX,Stock,-1140.0,-44904.60000000001,946.2000000000037
7,2019-11-21,DU1507425,MAR,Stock,330.0,44866.8,-792.0000000000017
8,2019-11-21,DU1507425,MAS,Stock,-334.0,-15207.02,-60.8399999999999
9,2019-11-21,DU1507425,LIN,Stock,-284.0,-59432.68,575.1000000000016
10,2019-11-21,DU1507425,CHRW,Stock,-800.0,-59648.0,-603.9999999999992
11,2019-11-18,DU1507425,STZ,Stock,-249.0,-44710.44,-251.49000000000007
12,2019-11-21,DU1507425,CI,Stock,301.0,59369.16,793.2199999999988
13,2019-11-21,DU1507425,KMX,Stock,-450.0,-44874.0,188.99999999999864
14,2019-11-21,DU1507425,NDAQ,Stock,-429.0,-44864.82,-253.10999999999942
15,2019-11-21,DU1507425,HUM,Stock,-135.0,-45149.4,-407.2500000000005
16,2019-11-21,DU1507425,TMO,Stock,-196.0,-60009.32,226.87000000000256
17,2019-11-21,DU1507425,ATO,Stock,400.0,43888.0,-411.9999999999976
18,2019-11-21,DU1507425,FBHS,Stock,702.0,44577.0,-877.4999999999983
19,2019-11-21,DU1507425,KO,Stock,-846.0,-44947.98,36.660000000002725
20,2019-11-21,DU1507425,SWKS,Stock,459.0,44821.35000000001,-595.1700000000022
21,2019-11-21,DU1507425,REGN,Stock,-132.0,-45022.56,-714.5600000000003
22,2019-11-21,DU1507425,AAPL,Stock,-224.0,-59478.72,197.6799999999921
23,2019-11-21,DU1507425,FB,Stock,-308.0,-59964.52,-1031.8000000000006
24,2019-11-21,DU1507425,ALXN,Stock,-552.0,-59842.32,-419.5200000000028
25,2019-11-21,DU1507425,FISV,Stock,-256.0,-29775.36,408.3200000000015
26,2019-11-21,DU1507425,SHW,Stock,-75.0,-43918.5,699.0000000000039
27,2019-11-21,DU1507425,SIVB,Stock,195.0,44783.7,-206.0499999999992
28,2019-11-21,DU1507425,DHI,Stock,-819.0,-44807.49,412.2300000000014
29,2019-11-21,DU1507425,DHR,Stock,318.0,44583.60000000001,968.8400000000046
30,2019-11-21,DU1507425,LH,Stock,-348.0,-59574.12,393.2399999999984
31,2019-11-21,DU1507425,NCLH,Stock,834.0,44702.4,-261.32000000000136
32,2019-11-18,DU1507425,CCL,Stock,333.0,14925.06,-209.79000000000084
33,2019-11-18,DU1507425,AMAT,Stock,-241.0,-14925.13,-50.61000000000021
34,2019-11-21,DU1507425,RJF,Stock,166.0,14798.9,-166.0
35,2019-11-21,DU1507425,HBI,Stock,983.0,14823.64,-304.7300000000005
36,2019-11-21,DU1507425,PM,Stock,-178.0,-14873.68,17.800000000001518
37,2019-11-22,DU1507425,CAH,Stock,798.0,44289.0,-61.18000000000106
38,2019-11-22,DU1507425,MMC,Stock,-710.0,-75238.7,-820.760000000002
39,2019-11-21,DU1507425,VRTX,Stock,-213.0,-45258.24,-577.2300000000017
40,2019-11-22,DU1507425,AMZN,Stock,77.0,134432.93,-21.409999999993545
41,2019-11-22,DU1507425,MCK,Stock,396.0,59360.4,615.779999999997
42,2019-11-22,DU1507425,CNC,Stock,-1008.0,-60036.48,63.00000000000179
43,2019-11-22,DU1507425,XRX,Stock,-1520.0,-59872.8,1071.6000000000026
44,2019-11-22,DU1507425,MAR,Stock,440.0,59822.4,-760.1000000000026
45,2019-11-22,DU1507425,MAS,Stock,-336.0,-15298.08,-61.89999999999989
46,2019-11-22,DU1507425,LIN,Stock,-355.0,-74290.85,884.6600000000026
47,2019-11-22,DU1507425,CHRW,Stock,-1000.0,-74560.0,-809.9999999999994
48,2019-11-18,DU1507425,STZ,Stock,-249.0,-44710.44,-251.49000000000007
49,2019-11-22,DU1507425,CI,Stock,376.0,74183.16,1117.9699999999975
50,2019-11-22,DU1507425,KMX,Stock,-600.0,-59832.0,509.9999999999988
51,2019-11-22,DU1507425,NDAQ,Stock,-572.0,-59819.76,-223.0800000000004
52,2019-11-22,DU1507425,HUM,Stock,-180.0,-60199.2,-578.2500000000008
53,2019-11-22,DU1507425,TMO,Stock,-245.0,-75011.65,148.47000000000432
54,2019-11-22,DU1507425,ATO,Stock,500.0,54860.0,-651.9999999999983
55,2019-11-22,DU1507425,FBHS,Stock,936.0,59436.0,-1006.1999999999975
56,2019-11-22,DU1507425,KO,Stock,-1128.0,-59930.64,64.86000000000311
57,2019-11-22,DU1507425,SWKS,Stock,612.0,59761.8,-566.1000000000026
58,2019-11-21,DU1507425,REGN,Stock,-132.0,-45022.56,-714.5600000000003
59,2019-11-22,DU1507425,AAPL,Stock,-280.0,-74348.4,407.6799999999922
60,2019-11-22,DU1507425,FB,Stock,-385.0,-74955.65,-1349.81
61,2019-11-22,DU1507425,ALXN,Stock,-690.0,-74802.9,-781.0800000000038
62,2019-11-22,DU1507425,FISV,Stock,-384.0,-44663.04,714.2400000000017
63,2019-11-22,DU1507425,SHW,Stock,-100.0,-58558.0,967.750000000004
64,2019-11-22,DU1507425,SIVB,Stock,260.0,59711.6,-117.64999999999829
65,2019-11-22,DU1507425,DHI,Stock,-1092.0,-59743.32,576.0300000000018
66,2019-11-22,DU1507425,DHR,Stock,424.0,59444.8,1299.560000000005
67,2019-11-22,DU1507425,LH,Stock,-435.0,-74467.65000000001,517.649999999999
68,2019-11-22,DU1507425,NCLH,Stock,1112.0,59603.2,-147.34000000000225
69,2019-11-18,DU1507425,CCL,Stock,333.0,14925.06,-209.79000000000084
70,2019-11-18,DU1507425,AMAT,Stock,-241.0,-14925.13,-50.61000000000021
71,2019-11-22,DU1507425,RJF,Stock,332.0,29597.8,-288.8400000000015
72,2019-11-22,DU1507425,HBI,Stock,961.0,14497.6,-309.3500000000005
73,2019-11-22,DU1507425,PM,Stock,-356.0,-29747.36,227.84000000000282
74,2019-11-22,DU1507425,VNO,Stock,234.0,14816.88,-53.81999999999928
75,2019-11-22,DU1507425,PSX,Stock,-125.0,-14808.75,230.00000000000043
76,2019-11-25,DU1507425,CAH,Stock,1064.0,59052.0,164.9199999999993
77,2019-11-25,DU1507425,MMC,Stock,-852.0,-90286.44,-1109.0200000000025
78,2019-11-21,DU1507425,VRTX,Stock,-213.0,-45258.24,-577.2300000000017
79,2019-11-25,DU1507425,AMZN,Stock,94.0,164129.38,437.4200000000066
80,2019-11-25,DU1507425,MCK,Stock,495.0,74200.5,949.4099999999976
81,2019-11-25,DU1507425,CNC,Stock,-1260.0,-75045.6,-342.71999999999815
82,2019-11-25,DU1507425,XRX,Stock,-1900.0,-74841.0,1311.0000000000039
83,2019-11-25,DU1507425,MAR,Stock,550.0,74778.0,-537.9000000000048
84,2019-11-25,DU1507425,MAS,Stock,-338.0,-15389.14,-63.67999999999989
85,2019-11-25,DU1507425,LIN,Stock,-426.0,-89149.02,1121.0900000000036
86,2019-11-25,DU1507425,CHRW,Stock,-1200.0,-89472.0,-1139.9999999999975
87,2019-11-18,DU1507425,STZ,Stock,-249.0,-44710.44,-251.49000000000007
88,2019-11-25,DU1507425,CI,Stock,451.0,88997.16,1594.2199999999966
89,2019-11-25,DU1507425,KMX,Stock,-750.0,-74790.0,793.499999999999
90,2019-11-25,DU1507425,NDAQ,Stock,-715.0,-74774.7,-231.66000000000062
91,2019-11-25,DU1507425,HUM,Stock,-225.0,-75249.0,-1045.3500000000008
92,2019-11-25,DU1507425,TMO,Stock,-294.0,-90013.98,-68.599999999996
93,2019-11-25,DU1507425,ATO,Stock,600.0,65832.0,-947.9999999999976
94,2019-11-25,DU1507425,FBHS,Stock,1170.0,74295.0,-943.0199999999968
95,2019-11-25,DU1507425,KO,Stock,-1410.0,-74913.3,39.480000000004146
96,2019-11-25,DU1507425,SWKS,Stock,765.0,74702.25,-81.09000000000471
97,2019-11-21,DU1507425,REGN,Stock,-132.0,-45022.56,-714.5600000000003
98,2019-11-25,DU1507425,AAPL,Stock,-336.0,-89218.07999999999,360.6399999999903
99,2019-11-25,DU1507425,FB,Stock,-462.0,-89946.78,-1742.5099999999993
100,2019-11-25,DU1507425,ALXN,Stock,-828.0,-89763.48,-1593.9000000000033
