,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
5,2020-01-09,C,0,1,1,0,80.08000183105469
17,2020-01-09,COTY,0,1,1,0,10.75
26,2020-01-09,JWN,0,1,1,0,42.20000076293945
39,2020-01-09,EMN,0,1,1,0,75.37000274658203
51,2020-01-09,PFG,0,1,1,0,56.18000030517578
56,2020-01-09,UPS,0,1,1,0,116.93000030517578
63,2020-01-09,JNPR,0,1,1,0,24.3700008392334
73,2020-01-09,WMB,0,1,1,0,23.670000076293945
86,2020-01-09,DTE,0,1,1,0,128.66000366210938
91,2020-01-09,URI,1,0,0,1,163.22999572753906
99,2020-01-09,PPG,1,0,0,1,128.66000366210938
114,2020-01-09,HPE,0,1,1,0,15.670000076293945
122,2020-01-09,AOS,0,1,1,0,47.04999923706055
135,2020-01-09,MPC,1,0,0,1,59.38999938964844
144,2020-01-09,HOG,0,1,1,0,36.2599983215332
156,2020-01-09,CTSH,0,1,1,0,61.11000061035156
157,2020-01-09,CAH,0,1,1,0,50.29999923706055
162,2020-01-09,FBHS,0,1,1,0,66.62999725341797
165,2020-01-09,ROK,0,1,1,0,207.1699981689453
174,2020-01-09,CPB,0,1,1,0,47.619998931884766
184,2020-01-09,MS,0,1,1,0,52.060001373291016
187,2020-01-09,BWA,0,1,1,0,41.93000030517578
188,2020-01-09,EQIX,0,1,1,0,588.989990234375
193,2020-01-09,LHX,0,1,1,0,212.2899932861328
216,2020-01-09,FANG,0,1,1,0,94.1500015258789
223,2020-01-09,AMAT,0,1,1,0,61.970001220703125
233,2020-01-09,PPL,0,1,1,0,35.5099983215332
234,2020-01-09,PSX,0,1,1,0,105.62000274658203
239,2020-01-09,GM,0,1,1,0,35.08000183105469
251,2020-01-09,XRX,0,1,1,0,36.599998474121094
259,2020-01-09,K,0,1,1,0,69.13999938964844
