,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,ALLE,Name,Sector,[],2019-01-03,2019-12-13,18380.24,61.27,19080.36,-700.12,12,2,85.71,-570.72,-1.9,1590.0,-350.0,[],14,71.43,28.57,27.25
1,ANET,Name,Sector,[],2019-01-04,2019-12-31,33713.66,112.38,39504.0,-5790.34,24,3,88.89,-5544.65,-18.48,1646.0,-1930.0,[],27,66.67,33.33,6.82
2,APTV,Name,Sector,[],2019-01-03,2019-12-31,41747.39,139.16,43343.93,-1596.54,35,7,83.33,-197.08,-0.66,1238.0,-228.0,[],42,64.29,35.71,27.15
3,BDX,Name,Sector,[],2019-01-03,2019-12-31,30269.37,100.9,31401.72,-1132.35,33,7,82.5,-61.48,-0.2,952.0,-162.0,[],40,70.0,30.0,27.73
4,CAH,Name,Sector,[],2019-01-03,2019-12-31,-2187.45,-7.29,6664.02,-8851.47,3,8,27.27,-3511.65,-11.71,2221.0,-1106.0,[],11,9.09,90.91,0.75
5,CHRW,Name,Sector,[],2019-01-03,2019-12-31,26961.92,89.87,27803.78,-841.86,31,2,93.94,-712.32,-2.37,897.0,-421.0,[],33,57.58,42.42,33.03
6,CMA,Name,Sector,[],2019-01-03,2019-12-31,18666.05,62.22,19388.37,-722.32,10,4,71.43,-3058.6,-10.2,1939.0,-181.0,[],14,35.71,64.29,26.84
7,COP,Name,Sector,[],2019-01-03,2019-12-31,28648.0,95.49,31925.47,-3277.47,24,10,70.59,-446.0,-1.49,1330.0,-328.0,[],34,41.18,58.82,9.74
8,CPRI,Name,Sector,[],2019-01-03,2019-12-31,31142.97,103.81,35540.56,-4397.59,16,4,80.0,-3213.92,-10.71,2221.0,-1099.0,[],20,50.0,50.0,8.08
9,DLTR,Name,Sector,[],2019-01-03,2019-12-31,31350.78,104.5,32764.32,-1413.54,21,4,84.0,-838.84,-2.8,1560.0,-353.0,[],25,56.0,44.0,23.18
10,DVA,Name,Sector,[],2019-01-03,2019-12-30,32978.24,109.93,36398.72,-3420.48,13,6,68.42,383.04,1.28,2800.0,-570.0,[],19,68.42,31.58,10.64
11,EMR,Name,Sector,[],2019-01-03,2019-12-31,24614.79,82.05,26196.81,-1582.02,22,6,78.57,-215.88,-0.72,1191.0,-264.0,[],28,53.57,46.43,16.56
12,FANG,Name,Sector,[],2019-01-03,2019-12-31,39644.03,132.15,45318.76,-5674.73,34,12,73.91,-1374.16,-4.58,1333.0,-473.0,[],46,60.87,39.13,7.99
13,FMC,Name,Sector,[],2019-01-03,2019-12-27,6501.04,21.67,16218.69,-9717.65,18,10,64.29,-2292.96,-7.64,901.0,-972.0,[],28,42.86,57.14,1.67
14,FTI,Name,Sector,[],2019-01-11,2019-12-31,16700.84,55.67,19565.61,-2864.77,18,4,81.82,-3629.5,-12.1,1087.0,-716.0,[],22,54.55,45.45,6.83
15,HCA,Name,Sector,[],2019-01-03,2019-12-30,28842.62,96.14,35037.76,-6195.14,30,10,75.0,-257.58,-0.86,1168.0,-620.0,[],40,70.0,30.0,5.66
16,IBM,Name,Sector,[],2019-01-04,2019-12-31,-1637.28,-5.46,8447.4,-10084.68,10,14,41.67,-3978.0,-13.26,845.0,-720.0,[],24,50.0,50.0,0.84
17,IRM,Name,Sector,[],2019-01-03,2019-12-31,16052.1,53.51,17059.12,-1007.02,17,5,77.27,-1984.29,-6.61,1003.0,-201.0,[],22,31.82,68.18,16.94
18,LEG,Name,Sector,[],2019-01-03,2019-12-31,6404.72,21.35,14542.45,-8137.73,8,3,72.73,-9619.2,-32.06,1818.0,-2712.0,[],11,45.45,54.55,1.79
19,LEN,Name,Sector,[],2019-01-03,2019-12-31,39741.96,132.47,39947.97,-206.01,43,4,91.49,-884.64,-2.95,929.0,-52.0,[],47,40.43,59.57,193.91
20,LLY,Name,Sector,[],2019-01-03,2019-12-20,23551.82,78.51,24792.5,-1240.68,24,5,82.76,-514.93,-1.72,1033.0,-248.0,[],29,82.76,17.24,19.98
21,LRCX,Name,Sector,[],2019-01-03,2019-12-30,46449.83,154.83,47749.77,-1299.94,23,4,85.19,-925.02,-3.08,2076.0,-325.0,[],27,51.85,48.15,36.73
22,MCHP,Name,Sector,[],2019-01-03,2019-12-30,42224.9,140.75,47410.35,-5185.45,38,12,76.0,-600.6,-2.0,1248.0,-432.0,[],50,48.0,52.0,9.14
23,MMM,Name,Sector,[],2019-01-03,2019-12-31,19992.57,66.64,21748.93,-1756.36,17,7,70.83,-1607.04,-5.36,1279.0,-251.0,[],24,50.0,50.0,12.38
