,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,ADP,Name,Sector,[],2017-02-21,2017-12-22,13498.06,44.99,14767.52,-1269.46,15,4,78.95,-210.6,-0.7,984.0,-317.0,[],19,68.42,31.58,11.63
1,BDX,Name,Sector,[],2017-03-15,2017-12-29,9519.45,31.73,10458.6,-939.15,10,3,76.92,-204.0,-0.68,1046.0,-313.0,[],13,38.46,61.54,11.14
2,CBS,Name,Sector,[],2017-02-17,2017-12-26,31688.13,105.63,32035.11,-346.98,37,2,94.87,-47.7,-0.16,866.0,-173.0,[],39,43.59,56.41,92.33
3,CCI,Name,Sector,[],2017-02-16,2017-12-28,-1886.04,-6.29,5907.96,-7794.0,5,11,31.25,-2740.68,-9.14,1182.0,-709.0,[],16,56.25,43.75,0.76
4,CPRI,Name,Sector,[],2017-02-24,2017-12-29,21627.86,72.09,24863.93,-3236.07,6,1,85.71,-1218.57,-4.06,4144.0,-3236.0,[],7,100.0,0.0,7.68
5,DISH,Name,Sector,[],2017-02-16,2017-12-29,17762.75,59.21,21164.13,-3401.38,24,10,70.59,-219.02,-0.73,882.0,-340.0,[],34,38.24,61.76,6.22
6,DLR,Name,Sector,[],2017-02-16,2017-12-29,-5716.74,-19.06,2811.96,-8528.7,3,14,17.65,-2067.01,-6.89,937.0,-609.0,[],17,52.94,47.06,0.33
7,FLT,Name,Sector,[],2017-02-16,2017-12-11,16604.52,55.35,21876.38,-5271.86,14,4,77.78,-3237.78,-10.79,1563.0,-1318.0,[],18,50.0,50.0,4.15
8,GILD,Name,Sector,[],2017-02-16,2017-12-28,-943.52,-3.15,5046.81,-5990.33,6,3,66.67,-2631.65,-8.77,841.0,-1997.0,[],9,55.56,44.44,0.84
9,HAS,Name,Sector,[],2017-02-23,2017-12-29,3653.16,12.18,6518.85,-2865.69,6,4,60.0,-1095.45,-3.65,1086.0,-716.0,[],10,70.0,30.0,2.27
10,HSIC,Name,Sector,[],2017-02-16,2017-12-29,12188.42,40.63,14871.44,-2683.02,23,3,88.46,-503.18,-1.68,647.0,-894.0,[],26,61.54,38.46,5.54
