,Date,Open Long,Close Long,Open Short,Close Short,Exposure Long,Exposure Short,Exposure,Net Exposure,PNL,Unrealized PNL,Cumulative PNL,NAV,Net Long,Net Short,Maximum Drawdown
0,2020-01-14,0,2,0,0,-62072.46000000001,0.0,-62072.46000000001,-62072.46000000001,2005.02,-10072.5,2005.02,991932.52,-2,0,-10072.5
1,2020-01-15,2,1,0,0,-33161.41000000001,0.0,-33161.41000000001,-33161.41000000001,1120.96,-7954.360000000001,3125.98,995171.62,-1,0,-10072.5
2,2020-01-16,0,2,1,0,-93538.77000000002,-29980.36,-63558.41000000001,-123519.13000000002,304.87,-14347.669999999998,3430.85,989083.1799999999,-3,1,-14347.669999999998
3,2020-01-17,0,0,0,0,-93538.77000000002,-29980.36,-63558.41000000001,-123519.13000000002,0.0,-14573.0,3430.85,988857.85,-3,1,-14573.0
4,2020-01-21,1,0,0,0,-63577.80000000002,-29980.36,-33597.44000000002,-93558.16000000002,0.0,-14828.88,3430.85,988601.97,-2,1,-14828.88
5,2020-01-22,0,0,0,2,-63577.80000000002,29112.6,-92690.40000000002,-34465.20000000002,931.11,-10967.829999999998,4361.96,993394.13,-2,-1,-14828.88
6,2020-01-23,0,1,0,0,-95082.63000000002,29112.6,-124195.23000000003,-65970.03000000003,1448.4,-3255.7,5810.360000000001,1002554.66,-3,-1,-14828.88
7,2020-01-24,2,1,0,0,-63090.360000000015,29112.6,-92202.96000000002,-33977.76000000002,-2072.52,-4918.14,3737.8400000000006,998819.7,-2,-1,-14828.88
8,2020-01-27,0,0,1,0,-63090.360000000015,-890.7900000000009,-62199.57000000002,-63981.150000000016,0.0,3257.220000000002,3737.8400000000006,1006995.0599999999,-2,0,-14828.88
9,2020-01-28,1,0,0,1,-33032.900000000016,29120.97,-62153.87000000002,-3911.930000000015,1233.36,1941.6200000000003,4971.200000000001,1006912.82,-1,-1,-14828.88
10,2020-01-29,0,1,0,3,-63046.31000000002,114200.06,-177246.37000000002,51153.74999999998,4680.22,-1409.1499999999996,9651.42,1008242.27,-2,-4,-14828.88
11,2020-01-30,1,1,1,0,-60669.99000000002,84220.54,-144890.53000000003,23550.549999999974,-2318.29,1592.35,7333.13,1008925.48,-2,-3,-14828.88
12,2020-01-31,0,0,1,1,-60669.99000000002,83546.62999999999,-144216.62000000002,22876.63999999997,758.31,5331.829999999998,8091.4400000000005,1013423.2699999999,-2,-3,-14828.88
13,2020-02-03,0,2,0,3,-119739.87000000001,172114.35,-291854.22000000003,52374.479999999996,2889.13,1575.0399999999977,10980.570000000002,1012555.61,-4,-6,-14828.88
14,2020-02-05,0,1,3,4,-151672.87,204219.18999999994,-355892.06,52546.31999999995,2712.0699999999997,-2310.8400000000024,13692.64,1011381.8,-5,-7,-14828.88
