,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Buy/Sell Price,Quantity,Actual,PNL,Latent PNL
0,2017-02-16,HSIC,0,0,0,0,0,0,65.59,0,0
1,2017-02-16,PPL,0,0,1,0,35.75,839.0,30.68,0,0
2,2017-02-16,MRO,0,0,0,0,0,0,15.59,0,0
3,2017-02-16,PKG,1,0,0,0,96.04,312.0,89.06,0,0
4,2017-02-16,NOV,0,0,1,0,40.03,749.0,39.46,0,0
5,2017-02-16,FLT,0,0,1,0,166.15,181.0,166.54,0,0
6,2017-02-16,DLR,1,0,0,0,105.07,286.0,92.83,0,0
7,2017-02-16,WFC,1,0,0,0,57.58,521.0,53.15,0,0
8,2017-02-16,MKTX,1,0,0,0,191.45,157.0,187.75,0,0
9,2017-02-16,IT,1,0,0,0,102.41,293.0,103.43,0,0
10,2017-02-16,VFC,1,0,0,0,48.28,621.0,43.56,0,0
11,2017-02-16,DISH,1,0,0,0,62.63,479.0,62.72,0,0
12,2017-02-16,GILD,1,0,0,0,70.18,427.0,63.77,0,0
13,2017-02-16,CCI,0,0,1,0,90.55,331.0,80.9,0,0
14,2017-02-16,XOM,1,0,0,0,82.09,365.0,73.31,0,0
15,2017-02-16,SCHW,0,0,0,0,0,0,40.19,0,0
16,2017-02-16,MLM,0,0,1,0,220.82,136.0,215.87,0,0
17,2017-02-16,UHS,1,0,0,0,121.36,247.0,120.78,0,0
18,2017-02-16,VIAB,0,0,1,0,44.09,680.0,41.08,0,0
19,2017-02-17,VFC,0,1,0,0,49.76,621.0,45.56,919.08,0
20,2017-02-17,CBS,1,0,0,0,65.61,457.0,63.3,0,0
21,2017-02-17,MKTX,0,0,0,0,191.45,157.0,189.12,0,342.26
22,2017-02-17,FLT,0,0,0,0,166.15,181.0,166.47,0,-52.49
23,2017-02-17,GILD,0,0,0,0,70.18,427.0,63.35,0,-76.86
24,2017-02-17,RL,0,0,1,0,78.81,381.0,73.25,0,0
25,2017-02-17,MRO,0,0,0,0,0,0,15.65,0,0
26,2017-02-17,PPG,1,0,0,0,102.5,293.0,97.81,0,0
27,2017-02-17,LEG,0,0,1,0,48.66,617.0,43.94,0,0
28,2017-02-17,IT,0,0,0,0,102.41,293.0,103.13,0,149.43
29,2017-02-17,PKG,0,0,0,0,96.04,312.0,87.81,0,-262.08
30,2017-02-17,NOV,0,0,0,0,40.03,749.0,38.55,0,142.31
31,2017-02-17,DLR,0,0,0,0,105.07,286.0,93.74,0,-263.12
32,2017-02-17,OXY,1,0,0,0,67.0,448.0,56.67,0,0
33,2017-02-17,UHS,0,0,0,0,121.36,247.0,121.59,0,429.78
34,2017-02-17,WFC,0,0,0,0,57.58,521.0,53.12,0,349.07
35,2017-02-17,PPL,0,0,0,0,35.75,839.0,30.6,0,117.46
36,2017-02-17,CCI,0,0,0,0,90.55,331.0,79.77,0,443.54
37,2017-02-17,XOM,0,0,0,0,82.09,365.0,72.83,0,10.95
38,2017-02-17,HSIC,1,0,0,0,67.06,447.0,65.93,0,0
39,2017-02-17,VIAB,0,0,0,0,44.09,680.0,40.92,0,122.4
40,2017-02-17,MLM,0,0,0,1,218.25,136.0,211.99,349.52,0
41,2017-02-21,UHS,0,1,0,0,124.48,247.0,123.27,770.64,0
42,2017-02-21,MKTX,0,0,0,0,191.45,157.0,188.79,0,146.01
43,2017-02-21,ADP,0,0,0,0,0,0,93.15,0,0
44,2017-02-21,CBS,0,1,0,0,67.62,457.0,65.01,918.57,0
45,2017-02-21,GILD,0,0,0,0,70.18,427.0,62.84,0,-456.89
46,2017-02-21,VFC,1,0,0,0,49.81,602.0,45.33,0,0
47,2017-02-21,IT,0,0,0,0,102.41,293.0,103.38,0,196.31
48,2017-02-21,LEG,0,0,0,0,48.66,617.0,44.35,0,-333.18
49,2017-02-21,FLT,0,0,0,0,166.15,181.0,166.57,0,27.15
50,2017-02-21,VIAB,0,0,0,0,44.09,680.0,41.58,0,-176.8
51,2017-02-21,DLR,0,0,0,0,105.07,286.0,94.25,0,-131.56
52,2017-02-21,NOV,0,0,0,0,40.03,749.0,38.79,0,726.53
53,2017-02-21,OXY,0,1,0,0,66.58,448.0,57.28,-188.16,0
54,2017-02-21,WFC,0,0,0,0,57.58,521.0,53.27,0,218.82
55,2017-02-21,XOM,0,0,0,0,82.09,365.0,72.95,0,-160.6
56,2017-02-21,PPL,0,0,0,0,35.75,839.0,30.95,0,-260.09
57,2017-02-21,MLM,0,0,1,0,219.89,136.0,214.36,0,0
58,2017-02-21,PKG,0,0,0,0,96.04,312.0,88.31,0,-202.8
