,Date,Open Long,Close Long,Open Short,Close Short,Exposure Long,Exposure Short,Exposure,Net Exposure,PNL,Unrealized PNL,Cumulative PNL,NAV,Net Long,Net Short,Maximum Drawdown
0,2017-02-16,10,0,6,0,299964.74,-180034.64,479999.37999999995,119930.09999999998,0.0,0.0,0.0,1000000.0,10,6,0.0
1,2017-02-17,4,1,2,1,389071.87,-210402.47,599474.3399999999,178669.4,1268.6,1452.65,1268.6,1002721.25,13,7,0.0
2,2017-02-21,1,3,1,0,327580.74999999994,-240307.51,567888.2599999999,87273.23999999993,1501.05,-407.1,2769.65,1002362.55,11,8,-407.1
3,2017-02-22,3,1,0,2,387226.43999999994,-179828.97,567055.4099999999,207397.46999999994,-42.299999999999955,-1900.97,2727.35,1000826.38,13,6,-1900.97
4,2017-02-23,4,0,1,0,507264.49999999994,-209823.27000000002,717087.77,297441.2299999999,0.0,-1664.5700000000002,2727.35,1001062.78,17,7,-1900.97
5,2017-02-24,2,2,1,1,506922.47,-211167.83000000002,718090.2999999999,295754.63999999996,1595.8,-2020.15,4323.150000000001,1002303.0,17,7,-2020.15
6,2017-02-27,2,3,0,0,476181.06,-211167.83000000002,687348.89,265013.23,742.2,3.679999999999893,5065.35,1005069.03,16,7,-2020.15
7,2017-02-28,2,1,0,2,505395.34,-150749.22000000003,656144.5599999999,354646.12,433.7,-459.14999999999986,5499.05,1005039.9,17,5,-2020.15
8,2017-03-01,0,3,3,0,415833.52,-240815.84000000003,656649.36,175017.68,-533.05,-1301.3699999999997,4966.0,1003664.63,14,8,-2020.15
9,2017-03-02,2,1,0,1,445457.73000000004,-211163.2,656620.9299999999,234294.53000000003,788.3299999999999,982.5300000000001,5754.33,1006736.86,15,7,-2020.15
10,2017-03-03,1,0,1,0,475488.08,-241177.47,716665.5499999999,234310.61000000002,0.0,789.6800000000003,5754.33,1006544.01,16,8,-2020.15
11,2017-03-06,1,3,0,0,415174.43,-241177.47,656351.8999999999,173996.96,258.82,652.97,6013.15,1006666.12,14,8,-2020.15
12,2017-03-07,2,0,0,0,475151.89,-241177.47,716329.3599999999,233974.42,0.0,1082.81,6013.15,1007095.9600000001,16,8,-2020.15
