,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,CPRI,Name,Sector,14 days 0,2019-04-04,2020-02-07,,,24961.77,,10,6,62.5,-2975.0,-9.92,2496.0,,14 days 0,16,56.25,43.75,
1,CVX,Name,Sector,11 days 1,2019-04-08,2020-02-07,,,6772.76,,7,5,58.33,-572.28,-1.91,968.0,,11 days 1,12,50.0,50.0,
2,EMR,Name,Sector,12 days 10:17:08,2019-04-24,2020-02-07,,,18226.7,,10,4,71.43,-812.66,-2.71,1823.0,,12 days 10:17:08,14,35.71,64.29,
3,FFIV,Name,Sector,12 days 2,2019-04-10,2020-01-31,11250.33,37.5,17974.62,-6724.29,11,4,73.33,-3177.98,-10.59,1634.0,-1681.0,12 days 2,15,60.0,40.0,2.67
4,GILD,Name,Sector,26 days 02:10:54,2019-04-05,2020-02-07,,,8579.29,,9,2,81.82,-2301.36,-7.67,953.0,,26 days 02:10:54,11,63.64,36.36,
5,HBAN,Name,Sector,48 days 0,2019-04-04,2020-02-07,,,340.2,,1,2,33.33,-1907.4,-6.36,340.0,,48 days 0,3,0.0,100.0,
6,HSIC,Name,Sector,8 days 03:25:42,2019-04-04,2020-02-07,,,25110.76,,18,3,85.71,-883.55,-2.95,1395.0,,8 days 03:25:42,21,52.38,47.62,
7,IT,Name,Sector,48 days 1,2019-04-04,2020-02-06,4444.81,14.82,6486.09,-2041.28,3,3,50.0,-3150.56,-10.5,2162.0,-680.0,48 days 1,6,33.33,66.67,3.18
8,JNPR,Name,Sector,23 days 0,2019-04-08,2020-02-07,,,6207.73,,4,5,44.44,-3157.36,-10.52,1552.0,,23 days 0,9,0.0,100.0,
9,LEG,Name,Sector,12 days 08:43:38,2019-04-04,2020-02-07,,,11572.79,,10,1,90.91,-10862.66,-36.21,1157.0,,12 days 08:43:38,11,45.45,54.55,
10,MMM,Name,Sector,16 days 1,2019-04-08,2020-02-06,11745.81,39.15,12561.25,-815.44,6,3,66.67,-1368.21,-4.56,2094.0,-272.0,16 days 1,9,11.11,88.89,15.4
11,NTAP,Name,Sector,16 days 21:10:35,2019-04-04,2020-02-07,,,19567.28,,10,7,58.82,-3296.64,-10.99,1957.0,,16 days 21:10:35,17,70.59,29.41,
12,OMC,Name,Sector,0 days 0,2019-04-04,2020-02-07,,,0.0,,1e-05,1,0.0,-4344.2,-14.48,0.0,,0 days 0,1,0.0,100.0,
13,OXY,Name,Sector,28 days 1,2019-04-05,2020-02-07,,,14113.24,,4,5,44.44,-2599.92,-8.67,3528.0,,28 days 1,9,44.44,55.56,
14,PSX,Name,Sector,27 days 1,2019-04-08,2020-02-07,,,7201.38,,4,5,44.44,-1928.06,-6.43,1800.0,,27 days 1,9,44.44,55.56,
15,RF,Name,Sector,20 days 20:34:17,2019-04-05,2020-02-07,,,6028.9,,5,9,35.71,-3605.12,-12.02,1206.0,,20 days 20:34:17,14,35.71,64.29,
16,SNA,Name,Sector,26 days 03:25:42,2019-04-04,2020-02-07,,,4966.13,,3,4,42.86,-3129.36,-10.43,1655.0,,26 days 03:25:42,7,28.57,71.43,
17,TPR,Name,Sector,18 days 0,2019-04-09,2020-02-06,10501.3,35.0,15738.72,-5237.42,7,2,77.78,-2472.8,-8.24,2248.0,-2619.0,18 days 0,9,33.33,66.67,3.01
18,UPS,Name,Sector,7 days 06:11:36,2019-04-05,2020-02-06,23058.23,76.86,23978.23,-920.0,26,5,83.87,-647.5,-2.16,922.0,-184.0,7 days 06:11:36,31,41.94,58.06,26.06
19,WAT,Name,Sector,10 days 0,2019-04-08,2020-02-05,13405.89,44.69,16708.29,-3302.4,12,6,66.67,-1699.1,-5.66,1392.0,-550.0,10 days 0,18,38.89,61.11,5.06
20,WRK,Name,Sector,11 days 13:42:51,2019-04-04,2020-02-07,,,10735.21,,6,8,42.86,-5872.5,-19.58,1789.0,,11 days 13:42:51,14,21.43,78.57,
21,ZION,Name,Sector,21 days 21:49:05,2019-04-04,2020-02-07,,,9918.05,,5,6,45.45,-3226.35,-10.75,1984.0,,21 days 21:49:05,11,45.45,54.55,
