,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close_position_price,Buy/Sell Price,Quantity,Actual,PNL,Latent PNL,Duration 
0,2019-04-04,CPRI,0,0,1,0,0,49.43,607.0,49.43,0,0,0
1,2019-04-04,SNA,1,0,0,0,0,161.68,186.0,161.68,0,0,0
2,2019-04-04,OMC,0,0,1,0,0,73.95,406.0,73.95,0,0,0
3,2019-04-04,NTAP,1,0,0,0,0,71.62,419.0,71.62,0,0,0
4,2019-04-04,LEG,0,0,1,0,0,43.17,695.0,43.17,0,0,0
5,2019-04-04,ZION,0,0,1,0,0,47.71,629.0,47.71,0,0,0
6,2019-04-04,IT,0,0,0,0,0,0.0,0.0,153.81,0,0,0
7,2019-04-04,HSIC,1,0,0,0,0,61.61,487.0,61.61,0,0,0
8,2019-04-04,WRK,0,0,1,0,0,39.2,765.0,39.2,0,0,0
9,2019-04-04,HBAN,0,0,0,0,0,0.0,0.0,13.34,0,0,0
10,2019-04-05,HSIC,0,1,0,0,62.65,61.61,487.0,62.65,506.48,0,1 days 
11,2019-04-05,UPS,0,0,1,0,0,113.73,264.0,113.73,0,0,0
12,2019-04-05,RF,0,0,1,0,0,15.05,1993.0,15.05,0,0,0
13,2019-04-05,WRK,0,0,0,0,0,39.2,765.0,39.93,0,577.0,0
14,2019-04-05,GILD,0,0,0,0,0,0.0,0.0,67.39,0,0,0
15,2019-04-05,NTAP,0,0,0,0,0,71.62,419.0,72.09,0,-292.47,0
16,2019-04-05,LEG,0,0,0,0,0,43.17,695.0,43.27,0,564.28,0
17,2019-04-05,OMC,0,0,0,0,0,73.95,406.0,74.96,0,249.8,0
18,2019-04-05,OXY,0,0,0,0,0,0.0,0.0,68.35,0,0,0
19,2019-04-05,ZION,0,0,0,1,47.41,47.71,629.0,47.41,188.7,0,1 days 
20,2019-04-05,SNA,0,0,0,0,0,161.68,186.0,160.5,0,-651.53,0
21,2019-04-05,CPRI,0,0,0,1,49.18,49.43,607.0,49.18,151.75,0,1 days 
22,2019-04-05,IT,0,0,1,0,0,155.01,194.0,155.01,0,0,0
23,2019-04-08,UPS,0,0,0,0,0,113.73,264.0,113.07,0,701.58,0
24,2019-04-08,SNA,0,1,0,0,158.59,161.68,186.0,158.59,-574.74,0,4 days 
25,2019-04-08,NTAP,0,0,0,0,0,71.62,419.0,72.49,0,45.26,0
26,2019-04-08,CVX,0,0,1,0,0,126.29,238.0,126.29,0,0,0
27,2019-04-08,PSX,0,0,0,0,0,0.0,0.0,97.64,0,0,0
28,2019-04-08,OXY,0,0,1,0,0,68.03,441.0,68.03,0,0,0
29,2019-04-08,MMM,0,0,1,0,0,214.42,140.0,214.42,0,0,0
30,2019-04-08,RF,0,0,0,0,0,15.05,1993.0,15.11,0,520.68,0
31,2019-04-08,WAT,0,0,1,0,0,251.77,119.0,251.77,0,0,0
32,2019-04-08,LEG,0,0,0,0,0,43.17,695.0,42.75,0,969.78,0
33,2019-04-08,WRK,0,0,0,0,0,39.2,765.0,39.27,0,820.31,0
34,2019-04-08,IT,0,0,0,0,0,155.01,194.0,155.9,0,-300.7,0
35,2019-04-08,JNPR,0,0,1,0,0,27.12,1106.0,27.12,0,0,0
36,2019-04-08,ZION,1,0,0,0,0,47.45,632.0,47.45,0,0,0
37,2019-04-09,IT,0,0,0,0,0,155.01,194.0,156.63,0,-308.46,0
38,2019-04-09,SNA,0,0,1,0,0,155.75,193.0,155.75,0,0,0
39,2019-04-09,HBAN,0,0,1,0,0,13.23,2268.0,13.23,0,0,0
40,2019-04-09,ZION,0,1,0,0,46.98,47.45,632.0,46.98,-297.04,0,1 days 
41,2019-04-09,NTAP,0,0,0,0,0,71.62,419.0,72.67,0,-33.0,0
42,2019-04-09,TPR,0,0,1,0,0,33.56,894.0,33.56,0,0,0
43,2019-04-09,GILD,1,0,0,0,0,67.23,446.0,67.23,0,0,0
44,2019-04-09,WRK,0,0,0,0,0,39.2,765.0,38.93,0,1292.18,0
45,2019-04-09,LEG,0,0,0,0,0,43.17,695.0,42.63,0,1402.3,0
46,2019-04-09,CPRI,1,0,0,0,0,48.61,617.0,48.61,0,0,0
47,2019-04-10,PSX,0,0,0,0,0,0.0,0.0,98.77,0,0,0
48,2019-04-10,JNPR,0,0,0,0,0,27.12,1106.0,27.54,0,292.04,0
49,2019-04-10,HBAN,0,0,0,0,0,13.23,2268.0,13.4,0,748.16,0
50,2019-04-10,NTAP,0,0,0,0,0,71.62,419.0,74.77,0,572.45,0
51,2019-04-10,IT,0,0,0,0,0,155.01,194.0,157.52,0,-440.38,0
52,2019-04-10,LEG,0,0,0,0,0,43.17,695.0,42.98,0,956.26,0
53,2019-04-10,FFIV,0,0,0,0,0,0.0,0.0,168.42,0,0,0
54,2019-04-10,CPRI,0,1,0,0,49.98,48.61,617.0,49.98,845.29,0,1 days 
55,2019-04-10,SNA,0,0,0,0,0,155.75,193.0,154.05,0,934.78,0
56,2019-04-10,ZION,0,0,1,0,0,47.43,633.0,47.43,0,0,0
57,2019-04-10,WRK,0,0,0,0,0,39.2,765.0,39.0,0,1240.57,0
58,2019-04-10,TPR,0,0,0,0,0,33.56,894.0,33.6,0,1317.95,0
