,Date,Ticker,Conf Up,Conf Dwn,Green,Red,Green_Close,Red_Close,Price,Open.S,% up,% down
0,2019-04-04,CPRI,0.001138448715209961,99.96878814697266,0,1,1,0,49.31000137329102,49.43000030517578,94.12,88.46
1,2019-04-05,CPRI,99.85151672363281,0.020170211791992188,1,0,0,1,48.09000015258789,49.18000030517578,94.12,88.46
3,2019-04-09,CPRI,99.98883056640625,0.0017821788787841797,1,0,0,1,48.54999923706055,48.61000061035156,94.12,88.46
4,2019-04-10,CPRI,0.0005453824996948242,99.98878479003906,0,1,1,0,49.83000183105469,49.97999954223633,94.12,88.46
5,2019-04-11,CPRI,95.32218170166016,0.04418492317199707,1,0,0,1,48.06000137329102,48.34000015258789,94.12,88.46
7,2019-04-15,CPRI,91.373046875,0.28837621212005615,0,0,0,1,48.09000015258789,48.09000015258789,94.12,88.46
8,2019-04-16,CPRI,97.01625061035156,0.025019049644470215,1,0,0,1,47.84000015258789,48.33000183105469,94.12,88.46
9,2019-04-17,CPRI,95.63343811035156,0.07096529006958008,1,0,0,1,48.65999984741211,48.58000183105469,94.12,88.46
10,2019-04-18,CPRI,1.7881393432617188e-05,99.9625473022461,0,1,1,0,49.22000122070313,48.86000061035156,94.12,88.46
12,2019-04-23,CPRI,92.27994537353516,10.605886459350586,0,0,0,1,46.08000183105469,46.1500015258789,94.12,88.46
13,2019-04-24,CPRI,0.02657473087310791,99.53636169433594,0,1,1,0,46.11000061035156,46.04999923706055,94.12,88.46
16,2019-04-29,CPRI,0.028190016746520996,98.68437957763672,0,1,1,0,44.86999893188477,44.63000106811523,94.12,88.46
17,2019-04-30,CPRI,0.5121439695358276,94.79379272460938,0,0,1,0,44.08000183105469,44.060001373291016,94.12,88.46
21,2019-05-06,CPRI,2.384185791015625e-05,99.63843536376953,0,1,1,0,43.709999084472656,43.41999816894531,94.12,88.46
23,2019-05-08,CPRI,99.27696990966797,1.4335483312606812,1,0,0,1,42.290000915527344,43.47000122070313,94.12,88.46
25,2019-05-10,CPRI,5.9604644775390625e-06,99.90465545654297,0,1,1,0,42.790000915527344,41.849998474121094,94.12,88.46
26,2019-05-13,CPRI,0.4434317350387573,94.28947448730469,0,0,1,0,40.47000122070313,40.61999893188477,94.12,88.46
27,2019-05-14,CPRI,0.2413928508758545,99.24797821044922,0,1,1,0,40.7400016784668,40.5,94.12,88.46
31,2019-05-20,CPRI,98.75395965576172,3.486654281616211,1,0,0,1,39.959999084472656,40.2400016784668,94.12,88.46
32,2019-05-21,CPRI,0.0035703182220458984,99.68647003173828,0,1,1,0,40.61999893188477,40.27999877929688,94.12,88.46
34,2019-05-23,CPRI,0.00022649765014648438,99.07305145263672,0,1,1,0,39.47999954223633,39.79999923706055,94.12,88.46
36,2019-05-28,CPRI,0.0,99.99156188964844,0,1,1,0,38.88999938964844,36.040000915527344,94.12,88.46
39,2019-05-31,CPRI,99.99845886230469,2.9802322387695312e-06,1,0,0,1,32.47999954223633,32.34999847412109,94.12,88.46
41,2019-06-04,CPRI,0.013768672943115234,91.89694213867188,0,0,1,0,35.400001525878906,36.02000045776367,94.12,88.46
42,2019-06-05,CPRI,1.7881393432617188e-05,99.9007797241211,0,1,1,0,35.060001373291016,34.889999389648445,94.12,88.46
67,2019-07-11,CPRI,99.9212417602539,8.344650268554688e-05,1,0,0,1,35.09999847412109,35.36000061035156,94.12,88.46
74,2019-07-22,CPRI,96.70092010498047,0.0002294778823852539,1,0,0,1,35.650001525878906,36.0,94.12,88.46
78,2019-07-26,CPRI,93.03800201416016,0.012516975402832031,1,0,0,1,36.08000183105469,36.0,94.12,88.46
81,2019-07-31,CPRI,0.00022649765014648438,97.06198120117188,0,1,1,0,35.59000015258789,35.59000015258789,94.12,88.46
85,2019-08-06,CPRI,99.87460327148438,0.0003606081008911133,1,0,0,1,31.59000015258789,31.56999969482422,94.12,88.46
88,2019-08-09,CPRI,0.0025480985641479492,99.48118591308594,0,1,1,0,31.0,30.53000068664551,94.12,88.46
89,2019-08-12,CPRI,99.91722106933594,0.04418790340423584,1,0,0,1,29.85000038146973,29.70000076293945,94.12,88.46
90,2019-08-13,CPRI,0.00010132789611816406,99.01012420654297,0,1,1,0,30.35000038146973,29.5,94.12,88.46
91,2019-08-14,CPRI,1.4901161193847656e-05,99.86908721923828,0,1,1,0,28.68000030517578,28.670000076293945,94.12,88.46
97,2019-08-22,CPRI,0.022274255752563477,90.33101654052734,0,0,1,0,28.01000022888184,27.540000915527344,94.12,88.46
99,2019-08-26,CPRI,0.0003069639205932617,90.27994537353516,0,0,1,0,26.739999771118164,26.88999938964844,94.12,88.46
105,2019-09-04,CPRI,98.34581756591797,5.066394805908203e-05,1,0,0,1,26.459999084472656,27.10000038146973,94.12,88.46
107,2019-09-06,CPRI,99.19811248779297,2.384185791015625e-05,1,0,0,1,28.06999969482422,28.229999542236328,94.12,88.46
108,2019-09-09,CPRI,99.96268463134766,2.384185791015625e-05,1,0,0,1,29.75,29.920000076293945,94.12,88.46
131,2019-10-10,CPRI,99.97881317138672,0.0,1,0,0,1,28.25,28.790000915527344,94.12,88.46
150,2019-11-06,CPRI,99.71629333496094,0.0,1,0,0,1,33.779998779296875,34.759998321533196,94.12,88.46
151,2019-11-07,CPRI,97.44236755371094,0.00011324882507324219,1,0,0,1,35.630001068115234,35.650001525878906,94.12,88.46
159,2019-11-19,CPRI,3.8743019104003906e-05,96.56095886230469,0,0,1,0,36.52000045776367,36.150001525878906,94.12,88.46
162,2019-11-22,CPRI,99.60322570800781,5.9604644775390625e-06,1,0,0,1,35.880001068115234,36.25,94.12,88.46
164,2019-11-26,CPRI,95.09315490722656,4.76837158203125e-05,1,0,0,1,36.349998474121094,36.7400016784668,94.12,88.46
167,2019-12-02,CPRI,0.0005453824996948242,99.11582946777344,0,1,1,0,36.45000076293945,35.560001373291016,94.12,88.46
168,2019-12-03,CPRI,99.99898529052734,2.086162567138672e-05,1,0,0,1,34.84999847412109,34.990001678466804,94.12,88.46
174,2019-12-11,CPRI,99.21690368652344,0.09691715240478516,1,0,0,1,38.099998474121094,38.18999862670898,94.12,88.46
175,2019-12-12,CPRI,0.0020503997802734375,98.17131805419922,0,1,1,0,39.31999969482422,39.18000030517578,94.12,88.46
179,2019-12-18,CPRI,0.04330277442932129,94.25943756103516,0,0,1,0,38.66999816894531,39.0,94.12,88.46
184,2019-12-26,CPRI,0.08634030818939209,96.02021789550781,0,0,1,0,38.099998474121094,38.25,94.12,88.46
187,2019-12-31,CPRI,0.0008910894393920898,91.64864349365234,0,0,1,0,38.150001525878906,39.38999938964844,94.12,88.46
