,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,ADP,Name,Sector,[],2018-01-02,2018-12-28,26929.63,89.77,27832.34,-902.71,19,2,90.48,-326.96,-1.09,1465.0,-451.0,[],21,57.14,42.86,30.83
1,ADSK,Name,Sector,[],2018-01-02,2018-12-24,39762.14,132.54,43748.06,-3985.92,34,7,82.93,-774.36,-2.58,1287.0,-569.0,[],41,36.59,63.41,10.98
2,AES,Name,Sector,[],2018-01-02,2018-12-31,-3747.3,-12.49,11539.3,-15286.6,11,10,52.38,-7713.79,-25.71,1049.0,-1529.0,[],21,47.62,52.38,0.75
3,AIV,Name,Sector,[],2018-01-03,2018-12-31,21470.18,71.57,24243.78,-2773.6,40,14,74.07,-491.64,-1.64,606.0,-198.0,[],54,35.19,64.81,8.74
4,ALLE,Name,Sector,[],2018-01-03,2018-12-21,28403.41,94.68,29206.53,-803.12,26,3,89.66,-211.68,-0.71,1123.0,-268.0,[],29,44.83,55.17,36.37
5,ALXN,Name,Sector,[],2018-01-02,2018-12-27,15891.83,52.97,30060.6,-14168.77,18,11,62.07,-2131.8,-7.11,1670.0,-1288.0,[],29,51.72,48.28,2.12
6,ANET,Name,Sector,[],2018-01-02,2018-12-28,60367.86,201.23,67140.59,-6772.73,38,8,82.61,-1870.26,-6.23,1767.0,-847.0,[],46,50.0,50.0,9.91
7,ANSS,Name,Sector,[],2018-01-02,2018-12-31,28891.5,96.3,29524.2,-632.7,18,2,90.0,-279.0,-0.93,1640.0,-316.0,[],20,45.0,55.0,46.66
8,ANTM,Name,Sector,[],2018-01-02,2018-12-28,26480.64,88.27,27983.68,-1503.04,28,2,93.33,-472.15,-1.57,999.0,-751.0,[],30,50.0,50.0,18.62
9,APTV,Name,Sector,[],2018-01-02,2018-12-31,43814.78,146.05,47040.58,-3225.8,43,11,79.63,-196.98,-0.66,1094.0,-293.0,[],54,38.89,61.11,14.58
10,BBT,Name,Sector,[],2018-01-02,2018-12-31,21722.92,72.41,23018.62,-1295.7,25,3,89.29,-265.31,-0.88,921.0,-432.0,[],28,71.43,28.57,17.77
11,BDX,Name,Sector,[],2018-01-08,2018-12-31,32810.93,109.37,33991.87,-1180.94,26,4,86.67,-522.6,-1.74,1307.0,-295.0,[],30,56.67,43.33,28.78
12,CCI,Name,Sector,[],2018-01-02,2018-12-31,1539.38,5.13,5861.24,-4321.86,10,9,52.63,-876.94,-2.92,586.0,-480.0,[],19,36.84,63.16,1.36
13,CCL,Name,Sector,[],2018-01-11,2018-12-31,35562.29,118.54,36056.33,-494.04,28,1,96.55,13.14,0.04,1288.0,-494.0,[],29,37.93,62.07,72.98
14,CMG,Name,Sector,[],2018-01-02,2018-12-31,48440.0,161.47,51942.95,-3502.95,25,3,89.29,-5.7,-0.02,2078.0,-1168.0,[],28,75.0,25.0,14.83
15,CPB,Name,Sector,[],2018-01-02,2018-12-31,33532.49,111.77,36829.46,-3296.97,39,15,72.22,-881.1,-2.94,944.0,-220.0,[],54,62.96,37.04,11.17
16,CPRI,Name,Sector,[],2018-01-12,2018-12-31,33408.62,111.36,39923.08,-6514.46,33,7,82.5,-62.44,-0.21,1210.0,-931.0,[],40,60.0,40.0,6.13
17,CRM,Name,Sector,[],2018-01-12,2018-12-31,28399.63,94.67,32911.47,-4511.84,23,6,79.31,-883.44,-2.94,1431.0,-752.0,[],29,68.97,31.03,7.29
18,CVX,Name,Sector,[],2018-01-05,2018-12-24,19901.59,66.34,20703.74,-802.15,21,5,80.77,-201.69,-0.67,986.0,-160.0,[],26,42.31,57.69,25.81
19,DE,Name,Sector,[],2018-01-02,2018-12-28,34791.34,115.97,36965.23,-2173.89,31,7,81.58,-766.0,-2.55,1192.0,-311.0,[],38,55.26,44.74,17.0
20,DISH,Name,Sector,[],2018-01-02,2018-12-31,57214.04,190.71,57214.04,0.0,24,1e-05,100.0,-685.58,-2.29,2384.0,0.0,[],24,37.5,62.5,inf
21,DLTR,Name,Sector,[],2018-01-02,2018-12-31,23397.73,77.99,26448.16,-3050.43,20,4,83.33,-640.64,-2.14,1322.0,-763.0,[],24,54.17,45.83,8.67
