iter	Passed	Remaining
0	65	65460
1	69	34777
2	73	24525
3	78	19558
4	82	16421
5	86	14280
6	89	12738
7	93	11605
8	97	10697
9	101	10013
10	104	9403
11	107	8886
12	112	8543
13	115	8162
14	119	7840
15	122	7551
16	126	7312
17	130	7103
18	133	6897
19	137	6718
20	140	6557
21	145	6459
22	148	6320
23	152	6191
24	155	6073
25	159	5963
26	163	5882
27	166	5790
28	170	5695
29	173	5610
30	177	5549
31	181	5483
32	184	5413
33	188	5353
34	192	5293
35	196	5249
36	199	5195
37	203	5139
38	206	5086
39	210	5054
40	214	5010
41	217	4965
42	221	4921
43	225	4892
44	228	4856
45	232	4820
46	236	4790
47	239	4752
48	243	4730
49	247	4698
50	250	4666
51	254	4638
52	258	4610
53	261	4585
54	265	4556
55	268	4527
56	272	4502
57	275	4478
58	279	4453
59	282	4428
60	286	4404
61	289	4385
62	293	4363
63	297	4349
64	300	4328
65	304	4307
66	308	4292
67	311	4273
68	315	4255
69	318	4236
70	322	4220
71	325	4199
72	329	4182
73	332	4164
74	336	4145
75	340	4141
76	344	4130
77	348	4116
78	351	4102
79	355	4089
80	358	4072
81	362	4057
82	365	4041
83	369	4026
84	373	4017
85	376	4002
86	380	3989
87	383	3978
88	387	3967
89	391	3956
90	395	3946
91	398	3934
92	402	3921
93	405	3912
94	409	3902
95	413	3892
96	416	3880
97	420	3871
98	424	3860
99	427	3847
100	431	3836
101	434	3827
102	439	3827
103	443	3818
104	447	3811
105	450	3801
106	455	3797
107	458	3786
108	462	3777
109	465	3767
110	469	3763
111	473	3756
112	477	3745
113	480	3735
114	484	3724
115	488	3720
116	491	3710
117	495	3704
118	499	3698
119	503	3691
120	506	3682
121	510	3674
122	514	3665
123	517	3657
124	521	3647
125	524	3638
126	528	3629
127	531	3621
128	535	3614
129	538	3606
130	542	3599
131	546	3595
132	550	3587
133	553	3578
134	557	3571
135	560	3563
136	564	3555
137	568	3548
138	571	3540
139	575	3532
140	578	3524
141	582	3517
142	586	3514
143	589	3506
144	593	3499
145	597	3493
146	600	3486
147	604	3479
148	607	3472
149	611	3466
150	615	3459
151	618	3452
152	622	3445
153	626	3439
154	630	3436
155	633	3428
156	637	3421
157	640	3414
158	644	3409
159	648	3402
160	651	3395
161	654	3387
162	658	3381
163	662	3374
164	665	3369
165	669	3361
166	672	3354
167	676	3351
168	681	3350
169	684	3343
170	688	3337
171	691	3331
172	695	3324
173	698	3317
174	702	3311
175	705	3305
176	710	3301
177	713	3295
178	717	3288
179	720	3282
180	723	3275
181	728	3272
182	731	3266
183	734	3259
184	738	3253
185	742	3248
186	746	3243
187	749	3237
188	753	3231
189	756	3226
190	760	3220
191	763	3214
192	767	3209
193	771	3203
194	774	3199
195	778	3194
196	782	3189
197	785	3183
198	789	3178
199	793	3172
200	796	3167
201	800	3161
202	803	3156
203	808	3152
204	811	3146
205	814	3140
206	818	3134
207	821	3129
208	825	3124
209	829	3122
210	833	3117
211	837	3112
212	841	3108
213	845	3103
214	848	3098
215	852	3093
216	855	3088
217	859	3082
218	862	3077
219	866	3071
220	869	3065
221	874	3063
222	877	3057
223	881	3052
224	884	3047
225	888	3042
226	891	3037
227	895	3032
228	899	3027
229	902	3021
230	906	3017
231	910	3012
232	913	3007
233	916	3001
234	921	2998
235	924	2993
236	928	2989
237	932	2984
238	935	2978
239	939	2974
240	942	2969
241	946	2965
242	950	2959
243	953	2954
244	957	2950
245	960	2945
246	964	2940
247	967	2934
248	972	2933
249	976	2928
250	980	2924
251	983	2919
252	987	2916
253	991	2911
254	994	2906
255	998	2900
256	1001	2895
257	1005	2890
258	1008	2885
259	1012	2880
260	1015	2875
261	1019	2871
262	1022	2866
263	1026	2861
264	1030	2857
265	1033	2852
266	1037	2847
267	1040	2842
268	1044	2837
269	1047	2832
270	1051	2828
271	1055	2823
272	1058	2818
273	1061	2813
274	1065	2808
275	1068	2804
276	1072	2799
277	1075	2794
278	1079	2790
279	1083	2785
280	1086	2780
281	1090	2775
282	1093	2770
283	1096	2765
284	1100	2761
285	1104	2756
286	1107	2751
287	1110	2746
288	1114	2741
289	1118	2738
290	1122	2733
291	1125	2729
292	1129	2725
293	1132	2720
294	1136	2715
295	1140	2711
296	1143	2706
297	1147	2702
298	1150	2698
299	1154	2693
300	1157	2688
301	1161	2683
302	1164	2679
303	1168	2675
304	1172	2671
305	1175	2666
306	1179	2662
307	1184	2661
308	1190	2661
309	1195	2660
310	1201	2661
311	1206	2661
312	1212	2660
313	1217	2659
314	1222	2659
315	1228	2658
316	1233	2658
317	1238	2656
318	1244	2656
319	1250	2656
320	1255	2655
321	1261	2656
322	1268	2657
323	1272	2655
324	1276	2650
325	1279	2646
326	1283	2641
327	1286	2636
328	1290	2632
329	1294	2627
330	1298	2624
331	1301	2619
332	1305	2614
333	1308	2609
334	1312	2605
335	1316	2601
336	1319	2596
337	1323	2591
338	1326	2587
339	1331	2583
340	1334	2579
341	1338	2574
342	1341	2569
343	1344	2564
344	1348	2560
345	1352	2555
346	1355	2550
347	1359	2546
348	1363	2543
349	1366	2538
350	1370	2533
351	1373	2529
352	1377	2524
353	1381	2521
354	1385	2516
355	1388	2512
356	1392	2507
357	1396	2504
358	1399	2499
359	1403	2495
360	1406	2490
361	1410	2486
362	1414	2482
363	1418	2477
364	1421	2473
365	1425	2468
366	1429	2465
367	1432	2460
368	1436	2455
369	1439	2451
370	1443	2447
371	1447	2442
372	1450	2438
373	1453	2433
374	1457	2429
375	1461	2425
376	1465	2421
377	1469	2417
378	1472	2413
379	1477	2410
380	1481	2406
381	1484	2401
382	1487	2397
383	1491	2393
384	1495	2388
385	1498	2384
386	1502	2379
387	1505	2375
388	1509	2371
389	1513	2367
390	1517	2363
391	1520	2358
392	1524	2355
393	1528	2350
394	1531	2345
395	1535	2341
396	1538	2336
397	1542	2332
398	1545	2328
399	1549	2324
400	1552	2319
401	1556	2315
402	1560	2311
403	1564	2307
404	1567	2303
405	1571	2299
406	1575	2295
407	1579	2291
408	1583	2287
409	1586	2283
410	1590	2279
411	1593	2274
412	1597	2270
413	1600	2265
414	1604	2261
415	1607	2257
416	1611	2253
417	1615	2249
418	1618	2244
419	1622	2240
420	1625	2235
421	1629	2231
422	1632	2227
423	1636	2222
424	1639	2218
425	1643	2214
426	1646	2209
427	1650	2205
428	1653	2201
429	1657	2197
430	1661	2193
431	1665	2190
432	1669	2185
433	1672	2181
434	1676	2177
435	1679	2173
436	1683	2168
437	1686	2164
438	1690	2160
439	1693	2155
440	1697	2151
441	1700	2147
442	1704	2143
443	1708	2139
444	1711	2134
445	1715	2131
446	1719	2127
447	1723	2123
448	1726	2118
449	1730	2114
450	1733	2110
451	1737	2106
452	1741	2102
453	1744	2098
454	1748	2093
455	1751	2089
456	1756	2086
457	1759	2082
458	1763	2078
459	1766	2074
460	1771	2071
461	1774	2066
462	1778	2062
463	1782	2059
464	1786	2055
465	1790	2051
466	1794	2047
467	1797	2043
468	1802	2040
469	1806	2036
470	1810	2033
471	1814	2029
472	1817	2025
473	1820	2020
474	1824	2016
475	1827	2012
476	1831	2008
477	1835	2004
478	1838	2000
479	1842	1995
480	1845	1991
481	1849	1987
482	1853	1983
483	1856	1979
484	1860	1975
485	1863	1971
486	1867	1967
487	1870	1963
488	1874	1958
489	1878	1954
490	1882	1951
491	1886	1947
492	1889	1943
493	1893	1939
494	1896	1935
495	1900	1930
496	1904	1927
497	1907	1923
498	1911	1918
499	1915	1915
500	1919	1911
501	1923	1908
502	1927	1904
503	1930	1900
504	1935	1897
505	1939	1893
506	1943	1889
507	1946	1885
508	1950	1881
509	1953	1877
510	1957	1873
511	1961	1869
512	1965	1866
513	1969	1861
514	1972	1857
515	1976	1853
516	1979	1849
517	1983	1845
518	1987	1841
519	1990	1837
520	1994	1833
521	1998	1829
522	2001	1825
523	2005	1822
524	2009	1817
525	2012	1813
526	2016	1810
527	2020	1806
528	2023	1801
529	2027	1797
530	2030	1793
531	2034	1789
532	2037	1785
533	2041	1781
534	2044	1777
535	2048	1773
536	2052	1769
537	2055	1765
538	2059	1761
539	2063	1757
540	2066	1753
541	2070	1749
542	2073	1745
543	2077	1741
544	2081	1737
545	2084	1733
546	2088	1729
547	2091	1725
548	2095	1721
549	2099	1717
550	2102	1713
551	2106	1709
