,Date,Varop_Spy,Varhl_spy,RSI,75 - RSI,RSI - 25,BBD_Delta_Up,delta5_8,delta8_10,delta10_12,delta12_15,delta15_30,delta30_35,delta35_40,delta40_45,delta45_50,delta_tsf,Forcast Oscillator,Peak,Valley,target_up,target_down,target_value
0,20140606,-7.029999999999973,7.029999999999973,,,,,,,,,,,,,,,0.0,0,0,0,1,1949.44
1,20140609,-2.2999999999999545,8.389999999999873,,,,,,,,,,,,,,,,0,0,0,0,1951.27
2,20140610,-0.4500000000000455,6.149999999999864,,,,,,,,,,,,,,,,0,0,0,0,1950.79
3,20140611,5.479999999999791,9.289999999999964,,,,,,,,,,,,,,,,0,0,0,0,1943.89
4,20140612,13.240000000000009,17.569999999999936,,,,,,,,,,,,,,,,0,0,1,0,1930.11
5,20140613,-5.360000000000127,9.6099999999999,,,,,,,,,,,,,,,,0,0,0,0,1936.16
6,20140616,-2.9400000000000546,10.240000000000009,,,,,,,,,,,,,,,,0,0,0,0,1937.78
7,20140617,-4.839999999999918,10.1400000000001,,,,,-4.692749999999933,,,,,,,,,,,0,0,0,0,1941.99
8,20140618,-14.25,18.450000000000045,,,,16.241564724224872,-3.0172499999998763,,,,,,,,,,,0,0,0,0,1956.98
9,20140619,-1.9800000000000182,7.6099999999999,,,,18.702151985480896,1.8305000000004839,-1.1415000000001783,,,,,,,,,,0,0,0,0,1959.48
10,20140620,-2.4199999999998454,4.740000000000009,,,,21.53202426935968,5.662500000000591,-0.9745000000002619,,,,,,,,,,0,0,0,0,1962.87
11,20140623,0.3100000000001728,4.849999999999909,,,,23.708378474215124,8.288500000000568,0.23149999999986903,-0.3481666666664296,,,,,,,,,0,0,0,0,1962.61
12,20140624,11.990000000000009,19.830000000000155,,,,23.5492821834971,7.402750000000651,2.7962499999998727,-0.4741666666666333,,,,,,,,,0,0,0,0,1949.98
13,20140625,-10.259999999999991,13.339999999999918,,,,20.281710303768705,4.991500000000769,4.153500000000122,0.4014999999999418,,,,,,,1958.8827472527475,,0,0,0,0,1959.53
14,20140626,2.6700000000000728,15.200000000000045,54.83229813664595,20.167701863354047,29.832298136645953,17.06844377333141,2.1095000000007076,3.8724999999999454,2.576666666666597,-0.12333333333344854,,,,,,1961.0818681318683,-0.08495454025339624,0,0,0,0,1957.22
15,20140627,-4.400000000000091,9.289999999999964,56.98451122071966,18.01548877928034,31.98451122071966,12.798951346026797,-0.643749999999045,3.7637499999998454,3.634166666666715,0.5311666666664223,,,,,,1964.4148351648348,-0.0062147178865590525,0,0,0,0,1960.96
16,20140630,0.5599999999999454,6.019999999999982,56.41941578541001,18.58058421458999,31.41941578541001,7.373815535841686,-1.5259999999989304,1.9249999999997272,3.3691666666668425,2.4438333333332594,,,,,,1967.135384615384,-0.21348694616625571,0,0,0,0,1960.23
17,20140701,-11.029999999999973,16.289999999999964,63.4237331910308,11.576266808969201,38.4237331910308,11.504489730470823,1.4120000000011714,0.5219999999999345,3.4055000000000746,4.038499999999885,,,,,,1972.0715384615362,0.3134116810560822,0,0,0,0,1973.32
18,20140702,-1.5599999999999454,4.0900000000001455,64.04183313322591,10.958166866774093,39.04183313322591,14.374985818752293,2.9612500000012005,0.2267500000000382,2.099499999999807,5.059833333333472,,,,,,1973.986043956043,0.12906085922677266,0,0,0,0,1974.62
19,20140703,-9.559999999999945,9.709999999999809,68.77195863750133,6.228041362498672,43.77195863750133,20.442490486479528,5.751500000000988,0.48450000000025284,1.0746666666666442,4.991999999999734,,,,,,1978.5883516483495,0.576897616848511,0,0,0,0,1985.44
20,20140707,6.569999999999936,9.339999999999918,62.406897314899325,12.593102685100675,37.406897314899325,21.83864668177148,5.630750000001171,2.465249999999969,0.8301666666666279,3.9484999999999673,,,,,,1979.6251648351647,-0.047447811713369564,0,0,0,0,1977.65
21,20140708,12.680000000000064,16.930000000000064,52.960738726409254,22.039261273590746,27.960738726409254,18.68617340569449,5.804250000001275,2.8777500000001055,0.5876666666665642,2.5723333333332903,,,,,,1976.1049450549456,-0.8104641130902557,0,0,0,0,1963.71
22,20140709,-7.730000000000018,9.050000000000182,57.49380076430251,17.506199235697487,32.49380076430251,17.833342056261017,3.755000000001246,2.544000000000324,2.042666666666264,1.3463333333336323,,,,,,1977.1099999999988,-0.16600239528725977,0,0,0,0,1972.83
23,20140710,1.990000000000009,16.980000000000018,52.614227716439,22.385772283561003,27.614227716438997,16.069542696528742,1.302000000001044,2.4940000000003693,2.385166666666464,1.005500000000211,,,,,,1975.7035164835138,-0.6326730052730571,0,0,0,0,1964.68
24,20140711,-1.8099999999999454,9.039999999999964,54.1018109406444,20.8981890593556,29.1018109406444,14.836795101807411,-3.189499999999043,2.376500000000533,1.9543333333328974,1.9320000000002437,,,,,,1975.5473626373616,-0.4133787607817693,0,0,0,0,1967.57
25,20140714,-7.240000000000009,9.990000000000009,58.70549312620885,16.29450687379115,33.70549312620885,13.012002816230279,-3.771999999999025,1.235000000000582,2.1041666666662877,2.4475000000002183,,,,,,1977.9134065934065,0.07853104863882855,0,0,0,0,1977.1
26,20140715,4.079999999999927,17.180000000000064,56.269167036568945,18.730832963431055,31.269167036568945,13.011577750664173,-1.6904999999990196,-0.2374999999992724,2.0708333333329847,3.074500000000171,,,,,,1976.4896703296695,-0.23480735594576352,0,0,0,0,1973.28
27,20140716,-5.220000000000027,8.269999999999982,60.13565903055527,14.864340969444733,35.13565903055527,14.088079892910855,0.5412500000009004,-1.546249999999418,1.1783333333330575,2.686000000000149,,,,,,1978.3454945054925,0.2563790161503483,0,0,0,0,1981.57
28,20140717,21.63000000000011,26.210000000000036,47.37549803344856,27.624501966551442,22.375498033448558,14.480049109919264,1.6705000000006294,-2.3374999999991815,-0.29583333333380324,2.60416666666697,,,,,,1972.3685714285684,-1.0329037293675891,0,0,0,0,1958.12
29,20140718,-16.680000000000064,19.090000000000146,55.994698369023176,19.005301630976824,30.994698369023176,14.60512543220193,1.9867500000004839,0.19825000000059845,-1.4261666666668589,1.612500000000182,10.63999999999919,,,,,1972.7624175824185,0.2957926100955201,0,0,0,0,1978.22
30,20140721,3.2999999999999545,11.160000000000082,53.826608382524164,21.173391617475836,28.826608382524164,13.776277337525244,1.1927500000003874,0.7002500000007785,-1.745666666667148,0.685333333333574,10.67833333333283,,,,,1971.1474725274716,0.043958716556883305,0,0,0,0,1973.63
