Underlying,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,
BKNG,BOT,2,2063.90,04:05:07,20190916,ISLAND,DU1640450,,,
CNC,SLD,110,45.40,04:05:07,20190916,ISLAND,DU1640450,,,
AVGO,BOT,17,290.32,04:05:08,20190916,ISLAND,DU1640450,,,
JPM,SLD,42,120.23,04:05:08,20190916,ISLAND,DU1640450,,,
KO,BOT,92,54.26,04:05:08,20190916,ISLAND,DU1640450,,,
MRK,BOT,60,82.61,04:05:09,20190916,ISLAND,DU1640450,,,
ULTA,SLD,22,226.86,04:05:09,20190916,ISLAND,DU1640450,,,
WHR,SLD,33,149.86,04:05:09,20190916,ISLAND,DU1640450,,,
FANG,BOT,52,96.73,04:05:10,20190916,ISLAND,DU1640450,,,
PG,BOT,41,122.12,04:05:11,20190916,ISLAND,DU1640450,,,
ADBE,BOT,18,278.35,04:05:27,20190916,ISLAND,DU1640450,,,
ADSK,BOT,33,153.48,20:09:37,20190915,ISLAND,DU1640450,,,
ALK,SLD,76,65.87,20:10:12,20190915,ISLAND,DU1640450,,,
ALLE,BOT,49,102.24,20:10:19,20190915,NYSE,DU1640450,,,
BK,BOT,106,46.90,20:11:44,20190915,ISLAND,DU1640450,,,
C,SLD,71,70.39,20:12:04,20190915,ISLAND,DU1640450,,,
CAH,SLD,104,48.22,20:12:07,20190915,ISLAND,DU1640450,,,
CBRE,SLD,93,54.00,20:12:15,20190915,NYSE,DU1640450,,,
CCL,BOT,99,50.55,20:12:21,20190915,ISLAND,DU1640450,,,
CHD,BOT,69,71.98,20:12:43,20190915,ISLAND,DU1640450,,,
COG,SLD,266,18.81,20:13:16,20190915,ISLAND,DU1640450,,,
CPRI,SLD,156,32.01,20:13:31,20190915,ISLAND,DU1640450,,,
DHI,BOT,101,49.49,20:14:13,20190915,ISLAND,DU1640450,,,
DISCA,BOT,179,27.89,20:14:25,20190915,ISLAND,DU1640450,,,
DISCK,BOT,190,26.30,20:14:28,20190915,ISLAND,DU1640450,,,
DISH,BOT,142,35.26,20:14:30,20190915,ISLAND,DU1640450,,,
EFX,SLD,35,141.30,20:15:00,20190915,ISLAND,DU1640450,,,
DRI,SLD,39,127.34,20:15:05,20190915,NYSE,DU1640450,,,
EMN,SLD,66,75.47,20:15:14,20190915,ISLAND,DU1640450,,,
FLS,BOT,103,48.54,20:16:17,20190915,ISLAND,DU1640450,,,
HCA,BOT,39,129.07,20:17:17,20190915,ISLAND,DU1640450,,,
HFC,BOT,97,51.38,20:17:26,20190915,ISLAND,DU1640450,,,
HRL,BOT,116,42.98,20:17:55,20190915,ISLAND,DU1640450,,,
IPGP,BOT,34,146.34,20:18:39,20190915,ISLAND,DU1640450,,,
JNPR,BOT,206,24.27,20:19:17,20190915,ISLAND,DU1640450,,,
LNC,BOT,81,61.67,20:20:29,20190915,NYSE,DU1640450,,,
LUV,BOT,89,55.79,20:20:42,20190915,ISLAND,DU1640450,,,
MAA,BOT,39,126.96,20:20:51,20190915,ISLAND,DU1640450,,,
MXIM,BOT,84,59.59,20:22:04,20190915,ISLAND,DU1640450,,,
NI,BOT,172,29.04,20:22:17,20190915,ISLAND,DU1640450,,,
NOV,BOT,219,22.81,20:22:26,20190915,ISLAND,DU1640450,,,
PHM,SLD,142,35.25,20:23:39,20190915,ISLAND,DU1640450,,,
PPG,SLD,42,119.38,20:24:05,20190915,ISLAND,DU1640450,,,
PPL,SLD,162,30.88,20:24:08,20190915,ISLAND,DU1640450,,,
RE,SLD,20,256.39,20:24:41,20190915,NYSE,DU1640450,,,
ROK,BOT,30,166.75,20:25:01,20190915,ISLAND,DU1640450,,,
SHW,SLD,9,541.52,20:25:30,20190915,ISLAND,DU1640450,,,
SEE,SLD,118,42.40,20:25:35,20190915,NYSE,DU1640450,,,
SPG,SLD,33,153.93,20:25:50,20190915,ISLAND,DU1640450,,,
TIF,SLD,51,98.28,20:26:44,20190915,ISLAND,DU1640450,,,
TRIP,BOT,122,40.82,20:26:55,20190915,ISLAND,DU1640450,,,
TROW,SLD,42,118.94,20:26:58,20190915,ISLAND,DU1640450,,,
TTWO,BOT,40,125.10,20:27:13,20190915,ISLAND,DU1640450,,,
TXT,BOT,97,51.40,20:27:22,20190915,NYSE,DU1640450,,,
UTX,BOT,36,138.06,20:27:50,20190915,ISLAND,DU1640450,,,
VMC,SLD,34,147.58,20:28:06,20190915,ISLAND,DU1640450,,,
WAB,SLD,67,75.18,20:28:22,20190915,ISLAND,DU1640450,,,
WCG,BOT,19,267.18,20:28:33,20190915,ISLAND,DU1640450,,,
WFC,BOT,102,48.92,20:28:41,20190915,ISLAND,DU1640450,,,
HPE,BOT,326,15.32,20:32:45,20190915,NYSE,DU1640450,,,
RHI,SLD,88,56.76,20:39:54,20190915,NYSE,DU1640450,,,
SWK,SLD,34,146.25,20:41:11,20190915,NYSE,DU1640450,,,
