Underlying,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,
AMZN,BOT,6,1784.00,12:19:12,20190923,ARCA,DU1507427,,,
ED,SLD,109,92.60,12:19:16,20190923,ARCA,DU1507427,,,
FCX,BOT,954,10.32,12:19:18,20190923,DRCTEDGE,DU1507427,,,
HPQ,BOT,500,18.48,12:19:20,20190923,ISLAND,DU1507427,,,
JNPR,SLD,200,24.35,12:19:20,20190923,ARCA,DU1507427,,,
LOW,BOT,90,110.90,12:19:25,20190923,ARCA,DU1507427,,,
LUV,SLD,100,54.68,12:19:25,20190923,DRCTEDGE,DU1507427,,,
NOV,BOT,400,22.55,12:19:28,20190923,DRCTEDGE,DU1507427,,,
NUE,BOT,190,52.25,12:19:29,20190923,ARCA,DU1507427,,,
MU,SLD,204,49.24,12:19:31,20190923,ARCA,DU1507427,,,
WFC,BOT,205,48.50,12:19:38,20190923,ARCA,DU1507427,,,
LUV,SLD,84,54.65,12:19:40,20190923,ARCA,DU1507427,,,
ULTA,BOT,44,228.75,12:20:23,20190923,ARCA,DU1507427,,,
CMCSA,BOT,217,46.30,12:20:49,20190923,DRCTEDGE,DU1507428,,,
FCX,BOT,954,10.32,12:20:54,20190923,DRCTEDGE,DU1507428,,,
MU,SLD,204,49.16,12:20:59,20190923,ARCA,DU1507428,,,
WFC,BOT,205,48.49,12:21:04,20190923,ARCA,DU1507428,,,
SBUX,BOT,100,90.25,12:21:32,20190923,ISLAND,DU1507428,,,
C,BOT,144,68.95,12:23:14,20190923,ARCA,DU1507427,,,
C,BOT,144,68.95,12:23:17,20190923,DRCTEDGE,DU1507428,,,
HPQ,BOT,41,18.51,12:26:58,20190923,ISLAND,DU1507427,,,
KMX,BOT,100,84.75,12:27:34,20190923,ARCA,DU1507427,,,
KMX,BOT,18,84.75,12:27:50,20190923,ISLAND,DU1507427,,,
KMX,BOT,82,84.75,12:27:50,20190923,ISLAND,DU1507428,,,
SBUX,BOT,10,90.24,12:30:03,20190923,DRCTEDGE,DU1507428,,,
TRIP,BOT,100,39.13,12:30:09,20190923,ARCA,DU1507427,,,
COF,BOT,108,92.46,12:31:49,20190923,ARCA,DU1507427,,,
PG,BOT,82,122.45,12:32:24,20190923,ARCA,DU1507427,,,
PG,BOT,18,122.45,12:32:24,20190923,ARCA,DU1507428,,,
JNPR,SLD,200,24.37,12:33:37,20190923,ISLAND,DU1507427,,,
JNPR,SLD,20,24.30,12:33:45,20190923,ISLAND,DU1507427,,,
PG,BOT,64,122.40,12:35:15,20190923,DRCTEDGE,DU1507428,,,
AMGN,BOT,51,197.33,12:37:52,20190923,ISLAND,DU1507427,,,
AMGN,BOT,100,197.33,12:37:53,20190923,ISLAND,DU1507428,,,
TRIP,BOT,100,39.13,12:39:27,20190923,ARCA,DU1507427,,,
TRIP,BOT,55,39.13,12:41:56,20190923,ARCA,DU1507427,,,
ALXN,BOT,94,106.32,12:43:48,20190923,ARCA,DU1507427,,,
FANG,SLD,13,96.63,12:43:49,20190923,DRCTEDGE,DU1507427,,,
FANG,SLD,87,96.82,12:43:49,20190923,ARCA,DU1507427,,,
ROK,BOT,62,162.38,12:43:49,20190923,ISLAND,DU1507427,,,
ADP,BOT,37,159.30,12:43:49,20190923,ARCA,DU1507427,,,
FANG,SLD,4,96.82,12:43:49,20190923,ARCA,DU1507427,,,
K,BOT,100,63.73,12:43:52,20190923,ISLAND,DU1507427,,,
ADS,BOT,77,130.19,12:43:52,20190923,ISLAND,DU1507427,,,
JNPR,SLD,100,24.30,12:39:20,20190923,ISLAND,DU1507428,,,
JNPR,SLD,200,24.30,12:39:21,20190923,ARCA,DU1507428,,,
JNPR,SLD,100,23.80,12:40:39,20190923,DRCTEDGE,DU1507428,,,
JNPR,SLD,20,23.80,12:42:28,20190923,DRCTEDGE,DU1507428,,,
CAT,BOT,10,128.16,12:43:12,20190923,DRCTEDGE,DU1507428,,,
FANG,SLD,13,96.82,12:43:49,20190923,ARCA,DU1507428,,,
ROK,BOT,38,162.38,12:43:49,20190923,ISLAND,DU1507428,,,
ADP,BOT,63,159.30,12:43:49,20190923,ARCA,DU1507428,,,
XLNX,SLD,100,96.36,13:00:43,20190923,ISLAND,DU1507427,,,
MDT,SLD,90,111.00,13:05:07,20190923,DRCTEDGE,DU1507427,,,
MPC,SLD,182,54.99,13:10:44,20190923,DRCTEDGE,DU1507427,,,
MPC,SLD,182,54.99,13:10:44,20190923,DRCTEDGE,DU1507428,,,
SWKS,BOT,125,79.91,13:11:53,20190923,ISLAND,DU1507427,,,
SWKS,BOT,125,79.91,13:11:53,20190923,ISLAND,DU1507428,,,
KMX,BOT,36,84.69,13:11:58,20190923,ARCA,DU1507428,,,
KR,BOT,100,25.73,13:12:00,20190923,ISLAND,DU1507427,,,
KR,BOT,100,25.73,13:12:00,20190923,ISLAND,DU1507427,,,
KR,BOT,100,25.73,13:12:00,20190923,ISLAND,DU1507427,,,
KR,BOT,89,25.73,13:12:00,20190923,ISLAND,DU1507427,,,
JWN,SLD,312,32.15,13:13:37,20190923,DRCTEDGE,DU1507428,,,
JWN,SLD,312,32.15,13:13:37,20190923,DRCTEDGE,DU1507427,,,
ALGN,BOT,54,186.91,13:17:58,20190923,ISLAND,DU1507427,,,
ALGN,BOT,54,186.91,13:18:55,20190923,ISLAND,DU1507428,,,
VLO,BOT,100,82.97,13:23:56,20190923,BATS,DU1507427,,,
VLO,BOT,21,82.97,13:26:06,20190923,DRCTEDGE,DU1507427,,,
VLO,BOT,79,82.97,13:26:06,20190923,DRCTEDGE,DU1507428,,,
